productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
277324,Lost Origin Booster Box,Lost Origin Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/277324_200w.jpg,3,3118,https://cpt.tcgcsv.com/vXd3,2022-09-09T04:03:39.38,1,Each Sword & Shield— Lost Origin booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,705.0,879.0,2500.0,729.81,,Normal,,,,,,,,,,,
277325,Lost Origin Booster Pack,Lost Origin Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/277325_200w.jpg,3,3118,https://cpt.tcgcsv.com/wXd3,2022-09-09T04:03:39.38,1,Each Lost Origin booster pack contains 10 random cards.,11.69,15.99,344.25,14.1,,Normal,,,,,,,,,,,
277326,Lost Origin Sleeved Booster Pack,Lost Origin Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/277326_200w.jpg,3,3118,https://cpt.tcgcsv.com/xXd3,2022-09-09T04:03:39.38,1,Each Lost Origin sleeved booster pack contains 10 random cards.,16.08,19.9,161580.17,16.58,,Normal,,,,,,,,,,,
277327,Lost Origin Single Pack Blister [Croagunk],Lost Origin Single Pack Blister Croagunk,https://tcgplayer-cdn.tcgplayer.com/product/277327_200w.jpg,3,3118,https://cpt.tcgcsv.com/zXd3,2022-09-09T04:03:39.38,1,"Each blister comes with 1 Lost Origin booster pack, a coin, and a promotional card of Croagunk.",19.85,23.77,29.95,14.98,,Normal,,,,,,,,,,,
277328,Lost Origin Single Pack Blister [Scorbunny],Lost Origin Single Pack Blister Scorbunny,https://tcgplayer-cdn.tcgplayer.com/product/277328_200w.jpg,3,3118,https://cpt.tcgcsv.com/BXd3,2022-09-09T04:03:39.38,1,"Each blister comes with 1 Lost Origin booster pack, a coin, and a promotional card of Scorbunny.",14.38,19.99,212113.09,15.6,,Normal,,,,,,,,,,,
277329,Lost Origin 3 Pack Blister [Regigigas],Lost Origin 3 Pack Blister Regigigas,https://tcgplayer-cdn.tcgplayer.com/product/277329_200w.jpg,3,3118,https://cpt.tcgcsv.com/CXd3,2022-09-09T04:03:39.38,1,"Each 3 Pack blister comes with 3 Lost Origin booster packs, 1 coin, and a promotional card of Regigigas.",53.95,53.95,53.95,54.31,,Normal,0820650850608,,,,,,,,,,
277330,Lost Origin 3 Pack Blister [Weavile],Lost Origin 3 Pack Blister Weavile,https://tcgplayer-cdn.tcgplayer.com/product/277330_200w.jpg,3,3118,https://cpt.tcgcsv.com/DXd3,2022-09-09T04:03:39.38,1,"Each 3 Pack blister comes with 3 Lost Origin booster packs, 1 coin, and a promotional card of Weavile.",69.99,73.75,75.0,52.66,,Normal,0820650850608,,,,,,,,,,
277331,Lost Origin Premium Checklane Blister [Infernape],Lost Origin Premium Checklane Blister Infernape,https://tcgplayer-cdn.tcgplayer.com/product/277331_200w.jpg,3,3118,https://cpt.tcgcsv.com/FXd3,2022-09-09T04:03:39.38,1,"Contains 1 Sword & Shield — Lost Origin booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",19.99,22.49,50.0,20.99,,Normal,,,,,,,,,,,
277334,Lost Origin Premium Checklane Blister [Torterra],Lost Origin Premium Checklane Blister Torterra,https://tcgplayer-cdn.tcgplayer.com/product/277334_200w.jpg,3,3118,https://cpt.tcgcsv.com/JXd3,2022-09-09T04:03:39.38,1,"Contains 1 Sword & Shield — Lost Origin booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",20.0,23.99,50.0,21.27,,Normal,,,,,,,,,,,
277335,Lost Origin Elite Trainer Box,Lost Origin Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/277335_200w.jpg,3,3118,https://cpt.tcgcsv.com/KXd3,2022-09-09T04:03:39.38,1,"<em><strong>(This product is not the Pokemon Center Exclusive)</em></strong>
<br><br>THE POKÉMON TCG: SWORD & SHIELD — Lost Origin ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield—Lost Origin booster packs
<br>• 65 card sleeves featuring Giratina
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",170.99,191.0,499.9,170.8,,Normal,0820650850714,,,,,,,,,,
