productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText,extAttack3,extAttack4
200300,Grookey - SWSH001,Grookey SWSH001,https://tcgplayer-cdn.tcgplayer.com/product/200300_200w.jpg,3,2545,https://cpt.tcgcsv.com/08D2,2021-08-06T15:01:02.357,1,SWSH001,Promo,Grass,60,Basic,[1G] Branch Poke (30),Rx2,None,1,2.0,2.56,5.0,2.41,,Holofoil,,,,
200301,Scorbunny - SWSH002,Scorbunny SWSH002,https://tcgplayer-cdn.tcgplayer.com/product/200301_200w.jpg,3,2545,https://cpt.tcgcsv.com/28D2,2026-02-17T15:07:57.337,1,SWSH002,Promo,Fire,60,Basic,"[R] Super Singe (10)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Burned.",Wx2,None,1,2.99,3.51,8.0,3.18,3.5,Holofoil,,,,
200302,Sobble - SWSH003,Sobble SWSH003,https://tcgplayer-cdn.tcgplayer.com/product/200302_200w.jpg,3,2545,https://cpt.tcgcsv.com/38D2,2022-06-26T05:15:50.403,1,SWSH003,Promo,Water,60,Basic,"[1W] Bind (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Lx2,None,1,2.49,3.95,34.98,4.11,34.98,Holofoil,,,,
205465,Meowth V - SWSH004,Meowth V SWSH004,https://tcgplayer-cdn.tcgplayer.com/product/205465_200w.jpg,3,2545,https://cpt.tcgcsv.com/kcG2,2026-02-25T17:00:12.69,1,SWSH004,Promo,Colorless,180,Basic,"[1] Payday (30)
<br>Draw a card.",Fx2,,2,0.75,1.78,9.98,1.52,2.29,Holofoil,[3] Slashing Claw (130),,,
205466,Meowth VMAX - SWSH005,Meowth VMAX SWSH005,https://tcgplayer-cdn.tcgplayer.com/product/205466_200w.jpg,3,2545,https://cpt.tcgcsv.com/lcG2,2026-02-17T15:05:37.887,1,SWSH005,Promo,Colorless,300,VMAX,"[4] G-Max Gold Rush (200)
<br>Draw 3 cards.",Fx2,,2,4.66,8.3,200.0,8.11,8.46,Holofoil,,,,
206418,Inteleon V - SWSH016,Inteleon V SWSH016,https://tcgplayer-cdn.tcgplayer.com/product/206418_200w.jpg,3,2545,https://cpt.tcgcsv.com/nBG2,2023-04-12T17:05:40.5,1,SWSH016,Promo,Water,200,Basic,"[W] Snipe Shot
<br>This attack does 40 damage to 1 of your opponent's Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon)</em>",Lx2,None,2,0.42,0.99,4.99,0.74,,Holofoil,"[1WW] Aqua Report (130)
<br>Your opponent reveals their hand.",,,
206419,Cinderace V - SWSH015,Cinderace V SWSH015,https://tcgplayer-cdn.tcgplayer.com/product/206419_200w.jpg,3,2545,https://cpt.tcgcsv.com/pBG2,2021-12-01T15:24:21.377,1,SWSH015,Promo,Fire,210,Basic,[1RR] Crimson Legs (140),Wx2,None,2,0.49,0.99,4.92,0.76,0.8,Holofoil,,"<strong>Ability — Field Runner</strong>
<br>If a Stadium is in play, this Pokemon has no Retreat Cost.",,
206421,Rillaboom V - SWSH014,Rillaboom V SWSH014,https://tcgplayer-cdn.tcgplayer.com/product/206421_200w.jpg,3,2545,https://cpt.tcgcsv.com/rBG2,2022-12-17T18:51:53.957,1,SWSH014,Promo,Grass,220,Basic,"[G] Forest Feast
<br>Search your deck for up to 2 Basic Grass Pokemon and put them onto your Bench. Then, shuffle your deck.",Rx2,None,3,0.2,0.98,7.77,0.75,0.99,Holofoil,"[1GGG] Wood Hammer (220)
<br>This Pokemon also does 30 damage to itself.",,,
206425,Toxtricity V - SWSH017,Toxtricity V SWSH017,https://tcgplayer-cdn.tcgplayer.com/product/206425_200w.jpg,3,2545,https://cpt.tcgcsv.com/wBG2,2021-06-15T13:01:37.43,1,SWSH017,Promo,Lightning,210,Basic,"[1] Energize
<br>Attach a Lightning Energy card from your discard pile to this Pokemon.",Fx2,None,2,0.73,1.05,7.77,1.02,0.99,Holofoil,"[1LL] Venom Slap (120)
<br>Your opponent's Active Pokemon is now Poisoned.",,,
206427,Wooloo - SWSH011,Wooloo SWSH011,https://tcgplayer-cdn.tcgplayer.com/product/206427_200w.jpg,3,2545,https://cpt.tcgcsv.com/zBG2,2025-04-09T21:03:45.39,1,SWSH011,Promo,Colorless,60,Basic,"[1] Defense Curl
<br>Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.",Fx2,None,1,0.25,1.26,6.5,1.4,0.75,Holofoil,[2] Headbutt (20),,,
