productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
83473,Aerodactyl ex,Aerodactyl ex,https://tcgplayer-cdn.tcgplayer.com/product/83473_200w.jpg,3,1392,https://cpt.tcgcsv.com/tpH,2023-12-21T21:38:54.77,1,94/100,Ultra Rare,Colorless,100,Stage 1,"<b>Poke-BODY</b> Primal Lock 
<br>As long as Aerodactyl ex is in play, your opponent can't play Pokemon Tool cards.  Remove any Pokemon Tool cards attached to your opponent's Pokemon and put them into his or her discard pile.","[1] Supersonic (10) 
<br>The Defending Pokemon is now Confused.",[3] Wing Attack (60),L,F,1,73.49,104.99,135.0,133.33,,Holofoil
83483,Aggron ex,Aggron ex,https://tcgplayer-cdn.tcgplayer.com/product/83483_200w.jpg,3,1392,https://cpt.tcgcsv.com/HpH,2023-12-21T21:39:08.323,1,95/100,Ultra Rare,Metal,150,Stage 2,,"[3] Rend (30+) 
<br>If the Defending Pokemon has any damage counters on it, this attack does 30 damage plus 30 more damage.","[3MM] Metal Surge (50) 
<br>Does 20 damage to each of your opponent's Benched Pokemon. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>",FR,G,4,92.99,118.0,118.53,68.83,,Holofoil
83557,Anorith - 27/100,Anorith 27 100,https://tcgplayer-cdn.tcgplayer.com/product/83557_200w.jpg,3,1392,https://cpt.tcgcsv.com/9rH,2023-12-21T21:20:02.14,1,27/100,Uncommon,Fighting,80,Stage 1,,"[1] Fast Evolution  
<br>Search your deck for an Evolution card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",[1F] Pierce (30),G,None,1,0.57,0.97,4.74,1.14,,Normal
83557,Anorith - 27/100,Anorith 27 100,https://tcgplayer-cdn.tcgplayer.com/product/83557_200w.jpg,3,1392,https://cpt.tcgcsv.com/9rH,2023-12-21T21:20:02.14,1,27/100,Uncommon,Fighting,80,Stage 1,,"[1] Fast Evolution  
<br>Search your deck for an Evolution card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",[1F] Pierce (30),G,None,1,5.42,9.14,30.29,6.31,,Reverse Holofoil
83558,Anorith - 28/100,Anorith 28 100,https://tcgplayer-cdn.tcgplayer.com/product/83558_200w.jpg,3,1392,https://cpt.tcgcsv.com/brH,2023-12-21T21:20:44.283,1,28/100,Uncommon,Fighting,80,Stage 1,,[F] Slash (20),"[1F] Double Scratch (40x) 
<br>Flip 2 coins.  This attack does 40 damage times the number of heads.",G,None,2,1.74,1.99,261.5,1.77,,Normal
83558,Anorith - 28/100,Anorith 28 100,https://tcgplayer-cdn.tcgplayer.com/product/83558_200w.jpg,3,1392,https://cpt.tcgcsv.com/brH,2023-12-21T21:20:44.283,1,28/100,Uncommon,Fighting,80,Stage 1,,[F] Slash (20),"[1F] Double Scratch (40x) 
<br>Flip 2 coins.  This attack does 40 damage times the number of heads.",G,None,2,3.85,6.0,8.04,6.21,,Reverse Holofoil
83567,Arbok,Arbok,https://tcgplayer-cdn.tcgplayer.com/product/83567_200w.jpg,3,1392,https://cpt.tcgcsv.com/mrH,2023-12-21T21:21:30.333,1,29/100,Uncommon,Grass,70,Stage 1,"<b>Poke-BODY</b> Intimidating Fang 
<br>As long as Arbok is your Active Pokemon, any damage done to your Pokemon by an opponent's attack is reduced by 10 <em>(before applying Weakness and Resistance).  </em>","[2G] Toxic (20) 
<br>The Defending Pokemon is now Poisoned.  Put 2 damage counters instead of one on the Defending Pokemon between turns.",,P,None,1,1.0,1.92,22.02,2.02,,Normal
83567,Arbok,Arbok,https://tcgplayer-cdn.tcgplayer.com/product/83567_200w.jpg,3,1392,https://cpt.tcgcsv.com/mrH,2023-12-21T21:21:30.333,1,29/100,Uncommon,Grass,70,Stage 1,"<b>Poke-BODY</b> Intimidating Fang 
<br>As long as Arbok is your Active Pokemon, any damage done to your Pokemon by an opponent's attack is reduced by 10 <em>(before applying Weakness and Resistance).  </em>","[2G] Toxic (20) 
<br>The Defending Pokemon is now Poisoned.  Put 2 damage counters instead of one on the Defending Pokemon between turns.",,P,None,1,8.61,11.59,19.41,13.19,,Reverse Holofoil
83579,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83579_200w.jpg,3,1392,https://cpt.tcgcsv.com/CrH,2023-12-21T21:15:06.29,1,15/100,Rare,Fire,80,Stage 1,"<b>Poke-BODY</b> Fire Veil 
<br>If Arcanine is your Active Pokemon and is damaged by an opponent's attack <em>(even if Arcanine is Knocked Out)</em>, the Attacking Pokemon is now Burned.","[2R] Burn Up (60) 
<br>Flip a Coin.  If tails, discard all R Energy cards attached to Arcanine.",,W,None,1,3.0,6.4,9.39,7.13,,Normal
83579,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83579_200w.jpg,3,1392,https://cpt.tcgcsv.com/CrH,2023-12-21T21:15:06.29,1,15/100,Rare,Fire,80,Stage 1,"<b>Poke-BODY</b> Fire Veil 
<br>If Arcanine is your Active Pokemon and is damaged by an opponent's attack <em>(even if Arcanine is Knocked Out)</em>, the Attacking Pokemon is now Burned.","[2R] Burn Up (60) 
<br>Flip a Coin.  If tails, discard all R Energy cards attached to Arcanine.",,W,None,1,46.69,225.31,251.6,158.15,,Reverse Holofoil
