productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
228821,Shining Fates Elite Trainer Box,Shining Fates Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/228821_200w.jpg,3,2754,https://cpt.tcgcsv.com/rxR2,2021-02-19T05:03:14.033,1,"Each Shining Fates Elite Trainer Box includes 10 Shining Fates booster packs, one foil promo card featuring Eevee VMAX, and various gameplay accessories.",0820650808173,110.0,133.98,500.11,113.04,,Normal,,,,,,,,,,
228822,Shining Fates V Tin [Eldegoss V],Shining Fates V Tin Eldegoss V,https://tcgplayer-cdn.tcgplayer.com/product/228822_200w.jpg,3,2754,https://cpt.tcgcsv.com/sxR2,2021-07-22T20:40:55.14,1,Each Shining Fates Tin includes six Shining Fates booster packs and one foil promo card featuring Eldegoss V.,0820650829505,53.33,64.9,125.0,55.3,,Normal,,,,,,,,,,
228823,Shining Fates V Tin [Boltund V],Shining Fates V Tin Boltund V,https://tcgplayer-cdn.tcgplayer.com/product/228823_200w.jpg,3,2754,https://cpt.tcgcsv.com/txR2,2021-07-22T20:41:00.483,1,Each Shining Fates Tin includes six Shining Fates booster packs and one foil promo card featuring  Boltund V.,0820650829505,71.0,74.92,75.0,56.17,,Normal,,,,,,,,,,
228824,Shining Fates V Tin [Cramorant V],Shining Fates V Tin Cramorant V,https://tcgplayer-cdn.tcgplayer.com/product/228824_200w.jpg,3,2754,https://cpt.tcgcsv.com/vxR2,2021-07-22T20:41:10.05,1,Each Shining Fates Tin includes six Shining Fates booster packs and one foil promo card featuring Cramorant V.,0820650829505,51.23,71.0,100.0,54.99,,Normal,,,,,,,,,,
228825,Shining Fates Collection [Pikachu V],Shining Fates Collection Pikachu V,https://tcgplayer-cdn.tcgplayer.com/product/228825_200w.jpg,3,2754,https://cpt.tcgcsv.com/wxR2,2021-02-21T14:00:17.567,1,"Each Shining Fates Collection—Pikachu V includes four Shining Fates booster packs, as well as one foil promo card and one foil oversize promo card featuring Pikachu V.",0820650828690,40.0,55.0,250.0,49.34,,Normal,,,,,,,,,,
228826,Shining Fates Mad Party Pin Collection [Bunnelby],Shining Fates Mad Party Pin Collection Bunnelby,https://tcgplayer-cdn.tcgplayer.com/product/228826_200w.jpg,3,2754,https://cpt.tcgcsv.com/xxR2,2021-07-21T19:06:47.67,1,Each Shining Fates Mad Party Pin Collection includes three Shining Fates booster packs; one foil promo card featuring Bunnelby.,00820650818684,32.7,52.5,80.0,33.97,,Normal,,,,,,,,,,
228827,Shining Fates Mad Party Pin Collection [Dedenne],Shining Fates Mad Party Pin Collection Dedenne,https://tcgplayer-cdn.tcgplayer.com/product/228827_200w.jpg,3,2754,https://cpt.tcgcsv.com/zxR2,2021-07-21T19:06:55.977,1,Each Shining Fates Mad Party Pin Collection includes three Shining Fates booster packs; one foil promo card featuring Dedenne.,0820650818684,40.49,47.97,50.0,44.76,,Normal,,,,,,,,,,
228828,Shining Fates Mad Party Pin Collection [Galarian Mr. Rime],Shining Fates Mad Party Pin Collection Galarian Mr Rime,https://tcgplayer-cdn.tcgplayer.com/product/228828_200w.jpg,3,2754,https://cpt.tcgcsv.com/BxR2,2021-07-21T19:07:01.86,1,Each Shining Fates Mad Party Pin Collection includes three Shining Fates booster packs; one foil promo card featuring Galarian Mr. Rime.,0820650818684,41.0,41.0,41.0,38.11,,Normal,,,,,,,,,,
228829,Shining Fates Mad Party Pin Collection [Polteageist],Shining Fates Mad Party Pin Collection Polteageist,https://tcgplayer-cdn.tcgplayer.com/product/228829_200w.jpg,3,2754,https://cpt.tcgcsv.com/CxR2,2021-07-21T19:07:07.737,1,Each Shining Fates Mad Party Pin Collection includes three Shining Fates booster packs; one foil promo card featuring Polteageist.,0820650818684,34.98,40.0,75.0,38.66,,Normal,,,,,,,,,,
230391,Shining Fates Premium Collection [Shiny Crobat],Shining Fates Premium Collection Shiny Crobat,https://tcgplayer-cdn.tcgplayer.com/product/230391_200w.jpg,3,2754,https://cpt.tcgcsv.com/R9S2,2021-03-11T13:18:13.527,1,Includes seven Shining Fates booster packs; one foil promo card featuring either Shiny Crobat V or Shiny Dragapult V; one foil promo card and one foil oversize promo card featuring either Shiny Crobat VMAX or Shiny Dragapult VMAX; and one corresponding metallic coin.,0820650828713,77.49,99.99,150.0,73.65,,Normal,,,,,,,,,,
230392,Shining Fates Premium Collection [Shiny Dragapult],Shining Fates Premium Collection Shiny Dragapult,https://tcgplayer-cdn.tcgplayer.com/product/230392_200w.jpg,3,2754,https://cpt.tcgcsv.com/S9S2,2021-03-06T18:10:21.227,1,Includes seven Shining Fates booster packs; one foil promo card featuring either Shiny Crobat V or Shiny Dragapult V; one foil promo card and one foil oversize promo card featuring either Shiny Crobat VMAX or Shiny Dragapult VMAX; and one corresponding metallic coin.,0820650828713,85.0,122.5,247.0,84.69,,Normal,,,,,,,,,,
230956,Shining Fates Mini Tin [Reshiram],Shining Fates Mini Tin Reshiram,https://tcgplayer-cdn.tcgplayer.com/product/230956_200w.jpg,3,2754,https://cpt.tcgcsv.com/8pS2,2021-03-19T04:03:34.1,1,"Each Pokemon Shining Fates Mini Tin includes:
<br>• 2 Pokemon TCG: Shining Fates booster packs
<br>• 1 metallic Pokemon coin
<br>• 1 Pokémon art card showing the art from this Mini Tin [Reshiram]",820650818677,31.01,33.97,39.0,31.22,,Normal,,,,,,,,,,
230957,Shining Fates Mini Tin [Zarude],Shining Fates Mini Tin Zarude,https://tcgplayer-cdn.tcgplayer.com/product/230957_200w.jpg,3,2754,https://cpt.tcgcsv.com/9pS2,2021-03-19T04:03:34.1,1,"Each Pokemon Shining Fates Mini Tin includes:
<br>• 2 Pokemon TCG: Shining Fates booster packs
<br>• 1 metallic Pokemon coin
<br>• 1 Pokémon art card showing the art from this Mini Tin [Zarude]",820650818677,23.92,28.26,44.98,23.48,,Normal,,,,,,,,,,
230958,Shining Fates Mini Tin [Celebi],Shining Fates Mini Tin Celebi,https://tcgplayer-cdn.tcgplayer.com/product/230958_200w.jpg,3,2754,https://cpt.tcgcsv.com/bpS2,2021-03-19T04:03:34.1,1,"Each Pokemon Shining Fates Mini Tin includes:
<br>• 2 Pokemon TCG: Shining Fates booster packs
<br>• 1 metallic Pokemon coin
<br>• 1 Pokémon art card showing the art from this Mini Tin [Celebi]",820650818677,30.5,32.95,35.55,30.63,,Normal,,,,,,,,,,
230959,Shining Fates Mini Tin [Manaphy],Shining Fates Mini Tin Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/230959_200w.jpg,3,2754,https://cpt.tcgcsv.com/cpS2,2021-03-19T04:03:34.1,1,"Each Pokemon Shining Fates Mini Tin includes:
<br>• 2 Pokemon TCG: Shining Fates booster packs
<br>• 1 metallic Pokemon coin
<br>• 1 Pokémon art card showing the art from this Mini Tin [Manaphy]",820650818677,24.0,30.8,54.98,26.38,,Normal,,,,,,,,,,
230960,Shining Fates Mini Tin [Kyogre],Shining Fates Mini Tin Kyogre,https://tcgplayer-cdn.tcgplayer.com/product/230960_200w.jpg,3,2754,https://cpt.tcgcsv.com/dpS2,2021-03-19T04:03:34.1,1,"Each Pokemon Shining Fates Mini Tin includes:
<br>• 2 Pokemon TCG: Shining Fates booster packs
<br>• 1 metallic Pokemon coin
<br>• 1 Pokémon art card showing the art from this Mini Tin [Kyogre]",820650818677,28.97,29.97,32.93,27.39,,Normal,,,,,,,,,,
230961,Shining Fates Mini Tin Display,Shining Fates Mini Tin Display,https://tcgplayer-cdn.tcgplayer.com/product/230961_200w.jpg,3,2754,https://cpt.tcgcsv.com/fpS2,2025-01-22T12:54:38.64,1,"Featuring 2 of each Shining Fates Mini Tins (for a total of 10). Each tin contains two booster packs, a metallic Pokemon coin, and featured Pokemon art card.",820650828676,299.99,347.5,500.0,242.85,,Normal,,,,,,,,,,
