productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3,extUPC
145847,Shining Legends Elite Trainer Box,Shining Legends Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/145847_200w.jpg,3,2054,https://cpt.tcgcsv.com/Zlb2,2017-09-20T17:36:37.09,1,"Inside this Shining Legends Elite Trainer Box, you'll find:
<br>• 10 Shining Legends booster packs
<br>• 1 foil promo card featuring Shining Ho-Oh
<br>• 65 card sleeves featuring Ho-Oh
<br>• 45 Energy cards
<br>• 1 player's guide to the Shining Legends expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers and 1 acrylic GX marker
<br>• Product can also be used as a collector's box to hold everything, with 4 dividers to keep it organized
<br>• 1 code card for the Pokémon Trading Card Game Online",829.99,849.48,1500.0,806.09,,Normal,,,,,,,,,,,,
145848,Shining Legends Pin Collection: Mewtwo,Shining Legends Pin Collection Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/145848_200w.jpg,3,2054,https://cpt.tcgcsv.com/-lb2,2018-02-22T19:10:53.727,1,"Each Shining Legends Pin Collection [Mewtwo] contains:
<br>• 1 Promo card of Mewtwo
<br>• 1 Collector's pin of Mewtwo
<br>• 3 Shining Legends Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",364.99,364.99,364.99,361.95,,Normal,,,,,,,,,,,,
145849,Shining Legends Pin Collection: Pikachu,Shining Legends Pin Collection Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/145849_200w.jpg,3,2054,https://cpt.tcgcsv.com/_lb2,2018-02-22T19:10:59.697,1,"Each Shining Legends Pin Collection [Pikachu] contains:
<br>• 1 Promo card of Pikachu
<br>• 1 Collector's pin of Pikachu
<br>• 3 Shining Legends Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",276.02,314.0,1000.0,261.24,,Normal,,,,,,,,,,,,
146653,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/146653_200w.jpg,3,2054,https://cpt.tcgcsv.com/5Hb2,2023-10-11T07:50:18.71,1,,0.11,0.41,999.99,0.46,0.48,Normal,1/73,Common,Grass,70,Basic,[1G] Razor Leaf (30),Rx2,None,2,,,
146653,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/146653_200w.jpg,3,2054,https://cpt.tcgcsv.com/5Hb2,2023-10-11T07:50:18.71,1,,0.9,1.23,4.95,1.16,,Reverse Holofoil,1/73,Common,Grass,70,Basic,[1G] Razor Leaf (30),Rx2,None,2,,,
146654,Ivysaur,Ivysaur,https://tcgplayer-cdn.tcgplayer.com/product/146654_200w.jpg,3,2054,https://cpt.tcgcsv.com/6Hb2,2025-02-05T21:25:23.163,1,,0.07,0.33,2.99,0.34,,Normal,2/73,Common,Grass,100,Stage 1,[1G] Razor Leaf (30),Rx2,None,4,"[2GG] Toxic Whip (50)
<br>Your opponent's Active Pokemon is now Confused and Poisoned.",,
146654,Ivysaur,Ivysaur,https://tcgplayer-cdn.tcgplayer.com/product/146654_200w.jpg,3,2054,https://cpt.tcgcsv.com/6Hb2,2025-02-05T21:25:23.163,1,,0.35,0.89,4.74,0.83,,Reverse Holofoil,2/73,Common,Grass,100,Stage 1,[1G] Razor Leaf (30),Rx2,None,4,"[2GG] Toxic Whip (50)
<br>Your opponent's Active Pokemon is now Confused and Poisoned.",,
146655,Venusaur,Venusaur,https://tcgplayer-cdn.tcgplayer.com/product/146655_200w.jpg,3,2054,https://cpt.tcgcsv.com/7Hb2,2025-11-21T03:55:08.787,1,"<strong>Ability — Jungle Totem</strong>
<br>Each basic G Energy attached to your Pokemon provides GG Energy. You can't apply more than 1 Jungle Totem Ability at a time.",0.1,1.09,75.0,1.07,1.66,Normal,3/73,Uncommon,Grass,160,Stage 2,[2GG] Solar Beam (90),Rx2,None,4,,,
146655,Venusaur,Venusaur,https://tcgplayer-cdn.tcgplayer.com/product/146655_200w.jpg,3,2054,https://cpt.tcgcsv.com/7Hb2,2025-11-21T03:55:08.787,1,"<strong>Ability — Jungle Totem</strong>
<br>Each basic G Energy attached to your Pokemon provides GG Energy. You can't apply more than 1 Jungle Totem Ability at a time.",1.0,2.27,5.99,2.16,,Reverse Holofoil,3/73,Uncommon,Grass,160,Stage 2,[2GG] Solar Beam (90),Rx2,None,4,,,
146656,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/146656_200w.jpg,3,2054,https://cpt.tcgcsv.com/8Hb2,2025-02-05T21:25:23.22,1,,0.03,0.18,1.5,0.17,,Normal,4/73,Common,Grass,60,Basic,"[2] Absorb (20)
<br>Heal 20 damage from this Pokemon.",Rx2,None,1,,,
146656,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/146656_200w.jpg,3,2054,https://cpt.tcgcsv.com/8Hb2,2025-02-05T21:25:23.22,1,,0.14,0.35,1.5,0.37,,Reverse Holofoil,4/73,Common,Grass,60,Basic,"[2] Absorb (20)
<br>Heal 20 damage from this Pokemon.",Rx2,None,1,,,
146657,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/146657_200w.jpg,3,2054,https://cpt.tcgcsv.com/9Hb2,2025-11-21T03:51:29.51,1,,0.03,0.22,2.19,0.25,,Normal,5/73,Common,Grass,110,Stage 1,"[G] Hibernation Spore
<br>Your opponent's Active Pokemon is now Asleep. Your opponent flips 2 coins instead of 1 between turns. If either of them is tails, that Pokemon is still Asleep.",Rx2,None,2,[3] Magnum Punch (80),,
