productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extRetreatCost,extResistance,extCardText,extUPC
46466,Mew,Mew,https://tcgplayer-cdn.tcgplayer.com/product/46466_200w.jpg,3,648,https://cpt.tcgcsv.com/lCn,2022-12-05T18:33:12.977,1,01/18,Promo,Psychic,30,Basic,"[P] Rainbow Wave
<br>Choose a type of Energy other than Colorless attached to Mew. This attack does 20 damage to each of your opponent's Pokémon of that type <em>(including Benched Pokémon)</em>. Don't apply Weakness and Resistance.",P,349.99,372.94,699.99,324.96,,Reverse Holofoil,,,,,
46467,Tentacruel,Tentacruel,https://tcgplayer-cdn.tcgplayer.com/product/46467_200w.jpg,3,648,https://cpt.tcgcsv.com/mCn,2024-10-14T18:19:04.307,1,10/18,Promo,Water,60,Stage 1,"[W] Tentacle Grip
<br>Flip a number of coins equal to the number of Water Energy attached to Tentacruel. For each heads, draw 2 cards.",L,35.78,49.99,53.3,36.13,,Normal,"[WW] Poison Sting (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",1,,,
46468,Marill,Marill,https://tcgplayer-cdn.tcgplayer.com/product/46468_200w.jpg,3,648,https://cpt.tcgcsv.com/nCn,2022-12-05T18:31:23.403,1,11/18,Promo,Water,40,Basic,"[W] Squirt
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance.",L,79.15,100.0,164.94,116.18,,Reverse Holofoil,[2] Rolling Tackle (20),1,,,
46469,Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/46469_200w.jpg,3,648,https://cpt.tcgcsv.com/pCn,2022-12-05T18:27:14.473,1,12/18,Promo,Water,70,Basic,"[1] Gentle Song
<br>If Lapras has any damage counters on it, remove 2 of them from it. (1 if it only has 1). If the Defending Pokémon has any damage counters on it, remove 2 of them from it (1 if it only has 1). The Defending Pokémon is now Asleep.",L,45.37,49.95,72.5,47.79,,Normal,"[WW] Ice Beam (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",1,,,
46470,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/46470_200w.jpg,3,648,https://cpt.tcgcsv.com/qCn,2022-12-05T18:23:11.707,1,13/18,Promo,Grass,70,Stage 1,"[G] Sharpshooter
<br>Choose 1 of your opponent's Pokémon. Flip a number of coins equal to the number of Grass Energy attached to Exeggutor. This attack does 10 damage times the number of heads to that Pokémon. Don't apply Weakness and Resistance.",R,19.67,21.99,59.75,22.53,,Normal,,2,,,
46471,Slowking,Slowking,https://tcgplayer-cdn.tcgplayer.com/product/46471_200w.jpg,3,648,https://cpt.tcgcsv.com/rCn,2022-12-05T18:42:09.59,1,14/18,Promo,Psychic,70,Stage 1,"[P] Revelation
<br>Flip a coin. If heads, search your deck for a Trainer card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",P,94.99,125.15,171.99,158.32,,Reverse Holofoil,"[1P] Psychic (10+)
<br>Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.",2,,,
46472,Wartortle,Wartortle,https://tcgplayer-cdn.tcgplayer.com/product/46472_200w.jpg,3,648,https://cpt.tcgcsv.com/sCn,2022-12-05T18:49:48.873,1,15/18,Promo,Water,60,Stage 1,"[WW] Water Gun (20+)
<br>Does 20 damage plus 10 more damage for each Water Energy attached to Wartortle but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.",L,54.0,64.92,99.99,56.93,,Normal,,1,,,
46473,Lickitung,Lickitung,https://tcgplayer-cdn.tcgplayer.com/product/46473_200w.jpg,3,648,https://cpt.tcgcsv.com/tCn,2022-12-05T18:29:58.347,1,16/18,Rare,,70,Basic,"[1] Lick Wounds
<br>Flip a coin. If heads, choose 1 Pokémon <em>(yours or your opponent's)</em> with damage counters on it and remove 2 damage counters from it (1 if it only has 1).",F,27.99,35.97,70.0,31.16,,Normal,"[2] Tongue Stretch
<br>Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. Don't apply Weakness and Resistance.",2,P-30,,
46474,Vileplume,Vileplume,https://tcgplayer-cdn.tcgplayer.com/product/46474_200w.jpg,3,648,https://cpt.tcgcsv.com/vCn,2022-12-05T18:48:40.517,1,17/18,Promo,Grass,70,Stage 2,"[G] Paradise Pollen
<br>Flip a coin. If heads, remove 2 damage counters from Vileplume (1 if it only has 1). Then, if you have any Benched Pokémon with damage counters on them, choose 1 of them and remove 2 damage counters from it (1 if it only has 1).",R,59.99,106.05,150.0,89.9,,Reverse Holofoil,"[1GG] Horrid Pollen (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, the Defending Pokémon is now Confused.",2,,,
46475,Primeape,Primeape,https://tcgplayer-cdn.tcgplayer.com/product/46475_200w.jpg,3,648,https://cpt.tcgcsv.com/wCn,2022-12-05T18:39:41.507,1,18/18,Promo,Fighting,60,Stage 1,[F] Low Kick (20),P,18.95,37.71,40.99,30.84,,Normal,"[FF] Rampage (20+)
<br>Does 20 damage plus 10 more damage for each damage counter on Primeape. Flip a coin. If tails, Primeape is now Confused <em>(after doing damage)</em>.",1,,,
46476,Pidgeot,Pidgeot,https://tcgplayer-cdn.tcgplayer.com/product/46476_200w.jpg,3,648,https://cpt.tcgcsv.com/xCn,2022-12-05T18:37:32.78,1,02/18,Promo,Colorless,70,Stage 2,"[2] Supersonic Flight (40)
<br>Flip a coin. If tails, this attack does nothing.",L,29.11,41.9,60.0,32.65,,Normal,[4] Slicing Wind (50),,F-30,,
46477,Onix,Onix,https://tcgplayer-cdn.tcgplayer.com/product/46477_200w.jpg,3,648,https://cpt.tcgcsv.com/zCn,2022-12-05T18:35:45.55,1,03/18,Promo,Fighting,90,Basic,"[2] Slam (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",G,32.65,52.0,60.0,34.92,,Normal,"[FFFF] Body Slam (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",3,,,
46478,Togepi,Togepi,https://tcgplayer-cdn.tcgplayer.com/product/46478_200w.jpg,3,648,https://cpt.tcgcsv.com/BCn,2022-12-05T18:47:23.567,1,04/18,Promo,Colorless,40,Basic,"[1] Bawl (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",,105.0,168.41,219.99,123.3,,Reverse Holofoil,,1,P-30,,
46479,Ivysaur,Ivysaur,https://tcgplayer-cdn.tcgplayer.com/product/46479_200w.jpg,3,648,https://cpt.tcgcsv.com/CCn,2022-12-05T18:24:13.27,1,05/18,Promo,Grass,60,Stage 1,"[G] Strange Scent
<br>Each player flips a coin. Each player who gets heads chooses a total of 3 damage counters from among his or her Pokémon and removes them. <em>(If that player's Pokémon have fewer total damage counters than that, he or she removers all of them.)</em>",R,38.25,43.73,100.31,40.16,,Normal,[GG] Razor Leaf (30),1,,,
