productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack3
83441,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83441_200w.jpg,3,1369,https://cpt.tcgcsv.com/RnH,2023-11-07T20:57:45.663,1,12/100,Rare,Water,100,Stage 1,"<strong>Poké-BODY — Snow Veil</strong>
<br>
As long as Abomasnow is your Active Pokémon, any damage done to your Pokémon by an opponent's attack is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[2] Snow Play (20)
<br>
Does 20 damage to each of your opponent's Benched Pokémon, excluding Grass Pokemon and Water Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2W] Below Zero (60)
<br>
If Abomasnow evolved from Snover during this turn, the Defending Pokémon is now Paralyzed.",R+30,3,0.29,1.0,5.0,1.5,,Normal,,
83441,Abomasnow,Abomasnow,https://tcgplayer-cdn.tcgplayer.com/product/83441_200w.jpg,3,1369,https://cpt.tcgcsv.com/RnH,2023-11-07T20:57:45.663,1,12/100,Rare,Water,100,Stage 1,"<strong>Poké-BODY — Snow Veil</strong>
<br>
As long as Abomasnow is your Active Pokémon, any damage done to your Pokémon by an opponent's attack is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[2] Snow Play (20)
<br>
Does 20 damage to each of your opponent's Benched Pokémon, excluding Grass Pokemon and Water Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2W] Below Zero (60)
<br>
If Abomasnow evolved from Snover during this turn, the Defending Pokémon is now Paralyzed.",R+30,3,1.63,2.67,4.95,1.88,,Reverse Holofoil,,
83698,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83698_200w.jpg,3,1369,https://cpt.tcgcsv.com/-tH,2023-11-07T21:06:12.407,1,53/100,Common,Colorless,50,Basic,,"[1] Scary Face
<br>
Flip a coin. If heads, the Defending Pokémon can't attack or retreat during your opponent's next turn.",[2] Headbutt (30),C+10,1,0.17,0.3,1.25,0.42,,Normal,F-20,
83698,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83698_200w.jpg,3,1369,https://cpt.tcgcsv.com/-tH,2023-11-07T21:06:12.407,1,53/100,Common,Colorless,50,Basic,,"[1] Scary Face
<br>
Flip a coin. If heads, the Defending Pokémon can't attack or retreat during your opponent's next turn.",[2] Headbutt (30),C+10,1,0.96,1.25,2.0,7.43,,Reverse Holofoil,F-20,
83818,Bibarel,Bibarel,https://tcgplayer-cdn.tcgplayer.com/product/83818_200w.jpg,3,1369,https://cpt.tcgcsv.com/nxH,2025-11-11T23:49:26.073,1,32/100,Uncommon,Water,100,Stage 1,"<strong>Poké-BODY — Unaware</strong>
<br>
Prevent all effects of attacks, excluding damage, done to Bibarel.","[2] Amnesia (20)
<br>
Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.",[WW] Surf (60),F+30,3,0.1,0.35,19.5,0.4,0.25,Normal,,
83818,Bibarel,Bibarel,https://tcgplayer-cdn.tcgplayer.com/product/83818_200w.jpg,3,1369,https://cpt.tcgcsv.com/nxH,2025-11-11T23:49:26.073,1,32/100,Uncommon,Water,100,Stage 1,"<strong>Poké-BODY — Unaware</strong>
<br>
Prevent all effects of attacks, excluding damage, done to Bibarel.","[2] Amnesia (20)
<br>
Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.",[WW] Surf (60),F+30,3,0.5,1.19,1.99,0.69,,Reverse Holofoil,,
83827,Bidoof,Bidoof,https://tcgplayer-cdn.tcgplayer.com/product/83827_200w.jpg,3,1369,https://cpt.tcgcsv.com/zxH,2025-11-11T23:49:59.113,1,54/100,Common,Colorless,60,Basic,,"[1] Yawn
<br>
The Defending Pokémon is now Asleep.","[1] Self-abandonment
<br>
Flip a coin. If heads, this attack does 30 damage to the Defending Pokémon. If tails, Bidoof does 10 damage to itself.",F+10,2,0.95,2.89,29.99,2.86,29.99,Normal,,
83827,Bidoof,Bidoof,https://tcgplayer-cdn.tcgplayer.com/product/83827_200w.jpg,3,1369,https://cpt.tcgcsv.com/zxH,2025-11-11T23:49:59.113,1,54/100,Common,Colorless,60,Basic,,"[1] Yawn
<br>
The Defending Pokémon is now Asleep.","[1] Self-abandonment
<br>
Flip a coin. If heads, this attack does 30 damage to the Defending Pokémon. If tails, Bidoof does 10 damage to itself.",F+10,2,13.45,19.25,26.24,15.0,,Reverse Holofoil,,
83994,Bronzong,Bronzong,https://tcgplayer-cdn.tcgplayer.com/product/83994_200w.jpg,3,1369,https://cpt.tcgcsv.com/VCH,2025-11-11T23:50:47.66,1,13/100,Rare,Psychic,90,Stage 1,"<strong>Poké-POWER — Cycler</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may choose a card from your hand and put it on top of your deck. Then, search your deck for up to 2 basic Energy cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward. This power can't be used if Bronzong is affected by a Special Condition.","[1P] Strange Spin (20+)
<br>
If you have the same number of cards in your hand as your opponent, this attack does 20 damage plus 40 more damage and the Defending Pokémon is now Confused.","[2P] Heavy Potential
<br>
Put a number of damage counters on each of your Pokémon equal to the number of Colorless Energy in that Pokémon's Retreat Cost (after applying effects to the Retreat Cost).",P+20,3,0.4,0.77,5.0,0.77,0.85,Normal,R-20,
83994,Bronzong,Bronzong,https://tcgplayer-cdn.tcgplayer.com/product/83994_200w.jpg,3,1369,https://cpt.tcgcsv.com/VCH,2025-11-11T23:50:47.66,1,13/100,Rare,Psychic,90,Stage 1,"<strong>Poké-POWER — Cycler</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may choose a card from your hand and put it on top of your deck. Then, search your deck for up to 2 basic Energy cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward. This power can't be used if Bronzong is affected by a Special Condition.","[1P] Strange Spin (20+)
<br>
If you have the same number of cards in your hand as your opponent, this attack does 20 damage plus 40 more damage and the Defending Pokémon is now Confused.","[2P] Heavy Potential
<br>
Put a number of damage counters on each of your Pokémon equal to the number of Colorless Energy in that Pokémon's Retreat Cost (after applying effects to the Retreat Cost).",P+20,3,0.83,1.49,2.66,1.91,,Reverse Holofoil,R-20,
