productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3,extUPC
83457,Absol G,Absol G,https://tcgplayer-cdn.tcgplayer.com/product/83457_200w.jpg,3,1384,https://cpt.tcgcsv.com/9pH,2022-09-01T07:02:10.443,1,1,Holo Rare,Darkness,70,Basic,"[D] Feint Attack - Chose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",[2D] Doom News - Return all Energy Cards attached to Absol G to your hand.  The Defending Pokemon is Knocked Out at the end of your opponent's next turn.,Fx2,P-20,1,15.2,20.34,25.0,17.66,,Holofoil,,,
83457,Absol G,Absol G,https://tcgplayer-cdn.tcgplayer.com/product/83457_200w.jpg,3,1384,https://cpt.tcgcsv.com/9pH,2022-09-01T07:02:10.443,1,1,Holo Rare,Darkness,70,Basic,"[D] Feint Attack - Chose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",[2D] Doom News - Return all Energy Cards attached to Absol G to your hand.  The Defending Pokemon is Knocked Out at the end of your opponent's next turn.,Fx2,P-20,1,16.98,18.77,39.0,24.03,,Reverse Holofoil,,,
83458,Absol G Lv.X,Absol G LvX,https://tcgplayer-cdn.tcgplayer.com/product/83458_200w.jpg,3,1384,https://cpt.tcgcsv.com/bpH,2023-06-14T11:35:49.133,1,141,Ultra Rare,Darkness,100,Level Up,"[1D] Darkness Slugger (30+) You may discard a card from your hand.  If you do, this attack does 30 damage plus 30 more damage.",,Fx2,P-20,1,48.0,69.86,99.99,81.61,,Holofoil,"<b>Poke-POWER</b> Darkness Send 
<br>Once during your turn (before your attack), when you put Absol G LV.X from your hand onto your Active Absol G, you may flip 3 coins.  For each heads, put the top card from your opponent's deck into the Lost Zone.",,
83523,Altaria C,Altaria C,https://tcgplayer-cdn.tcgplayer.com/product/83523_200w.jpg,3,1384,https://cpt.tcgcsv.com/tqH,2022-09-21T18:12:27.227,1,49,Uncommon,Colorless,80,Basic,[2] Sing (20) The Defending Pokemon is now Asleep.,[2] Sonic Wing (30) This attack's damage isn't affected by Resistance.,Cx2,F-20,1,0.97,1.25,19.0,1.43,,Normal,,,
83523,Altaria C,Altaria C,https://tcgplayer-cdn.tcgplayer.com/product/83523_200w.jpg,3,1384,https://cpt.tcgcsv.com/tqH,2022-09-21T18:12:27.227,1,49,Uncommon,Colorless,80,Basic,[2] Sing (20) The Defending Pokemon is now Asleep.,[2] Sonic Wing (30) This attack's damage isn't affected by Resistance.,Cx2,F-20,1,13.19,14.2,30.0,2.25,,Reverse Holofoil,,,
83587,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83587_200w.jpg,3,1384,https://cpt.tcgcsv.com/MrH,2022-08-20T13:17:36.477,1,50,Uncommon,Fire,80,Stage 1,[2] Overrun (20) Does 10 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[3R] Combustion (40),W+20,,3,1.73,2.53,8.5,3.13,,Normal,,,
83587,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83587_200w.jpg,3,1384,https://cpt.tcgcsv.com/MrH,2022-08-20T13:17:36.477,1,50,Uncommon,Fire,80,Stage 1,[2] Overrun (20) Does 10 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[3R] Combustion (40),W+20,,3,5.11,5.11,5.11,8.51,,Reverse Holofoil,,,
83591,Arcanine G,Arcanine G,https://tcgplayer-cdn.tcgplayer.com/product/83591_200w.jpg,3,1384,https://cpt.tcgcsv.com/RrH,2023-06-23T14:13:04.81,1,15,Rare,Fire,90,Basic,[2R] Overrun (40) Does 20 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Wx2,,2,15.0,20.16,25.0,17.67,20.32,Normal,Extreme Speed - Arcanine G's Retreat Cost is 1 less for each R Energy attached to Arcanine G.  (Poke-BODY),,
83591,Arcanine G,Arcanine G,https://tcgplayer-cdn.tcgplayer.com/product/83591_200w.jpg,3,1384,https://cpt.tcgcsv.com/RrH,2023-06-23T14:13:04.81,1,15,Rare,Fire,90,Basic,[2R] Overrun (40) Does 20 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Wx2,,2,38.24,38.99,56.22,14.09,,Reverse Holofoil,Extreme Speed - Arcanine G's Retreat Cost is 1 less for each R Energy attached to Arcanine G.  (Poke-BODY),,
83650,Articuno (16),Articuno 16,https://tcgplayer-cdn.tcgplayer.com/product/83650_200w.jpg,3,1384,https://cpt.tcgcsv.com/0tH,2025-11-11T21:22:37.857,1,16,Rare,Water,100,Basic,"[2W] Sharp Beak (30+) Flip a coin.  If heads, this attack does 30 damage plus 10 more damage.","[2WW] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",M+30,F-20,2,5.0,7.25,25.0,9.17,,Normal,,,
