productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
83450,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83450_200w.jpg,3,1377,https://cpt.tcgcsv.com/0pH,2022-11-17T20:59:18.253,1,96/95,Secret Rare,Darkness,70,Basic,"[2] Quick Attack (10+) 
<br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.","[1DD] Feint Attack 
<br>Choose 1 of your opponent's Pokemon.  This attack does 30 damage to that Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies or any other effects on that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,114.99,139.99,150.0,161.65,,Holofoil,,
83565,Aqua Energy,Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/83565_200w.jpg,3,1377,https://cpt.tcgcsv.com/krH,2024-04-01T21:21:07.207,1,86/95,Uncommon,Special Multi Energy,,,,,,,,1.25,3.08,23.34,3.54,,Normal,"Aqua Energy can be attached only to a Pokemon with Team Aqua in its name.  Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Aqua Energy.",
83565,Aqua Energy,Aqua Energy,https://tcgplayer-cdn.tcgplayer.com/product/83565_200w.jpg,3,1377,https://cpt.tcgcsv.com/krH,2024-04-01T21:21:07.207,1,86/95,Uncommon,Special Multi Energy,,,,,,,,12.0,22.0,32.0,19.99,,Reverse Holofoil,"Aqua Energy can be attached only to a Pokemon with Team Aqua in its name.  Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Aqua Energy.",
83612,Archie,Archie,https://tcgplayer-cdn.tcgplayer.com/product/83612_200w.jpg,3,1377,https://cpt.tcgcsv.com/gsH,2024-04-01T21:21:07.6,1,71/95,Uncommon,Trainer - Supporter,,,,,,,,1.65,3.86,6.99,3.55,,Normal,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for a Pokemon with Team Aqua in its name and put it onto your Bench.  Shuffle your deck afterward.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
83612,Archie,Archie,https://tcgplayer-cdn.tcgplayer.com/product/83612_200w.jpg,3,1377,https://cpt.tcgcsv.com/gsH,2024-04-01T21:21:07.6,1,71/95,Uncommon,Trainer - Supporter,,,,,,,,3.59,4.58,7.0,5.36,,Reverse Holofoil,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for a Pokemon with Team Aqua in its name and put it onto your Bench.  Shuffle your deck afterward.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
83912,Blaziken ex,Blaziken ex,https://tcgplayer-cdn.tcgplayer.com/product/83912_200w.jpg,3,1377,https://cpt.tcgcsv.com/gBH,2024-04-01T21:21:03.937,1,89/95,Ultra Rare,Fire,150,Stage 2,"[1R] Blaze Kick (30+) 
<br>Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.  If tails, this attack does 30 damage and the Defending Pokemon is now Burned.","[2RR] Volcanic Ash
<br>Discard 2 Fire Energy attached to Blaziken ex and then choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",PW,None,2,120.0,131.11,199.99,206.47,,Holofoil,,
84028,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84028_200w.jpg,3,1377,https://cpt.tcgcsv.com/BDH,2025-12-01T23:50:46.307,1,39/95,Common,Grass,50,Basic,"[1] Growth
<br>Attach a Grass Energy card from your hand to Bulbasaur.",[G] Razor Leaf (10),R,None,1,15.0,20.0,25.0,15.82,,Normal,,
84028,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/84028_200w.jpg,3,1377,https://cpt.tcgcsv.com/BDH,2025-12-01T23:50:46.307,1,39/95,Common,Grass,50,Basic,"[1] Growth
<br>Attach a Grass Energy card from your hand to Bulbasaur.",[G] Razor Leaf (10),R,None,1,50.0,50.0,50.0,66.74,,Reverse Holofoil,,
84457,Cradily ex,Cradily ex,https://tcgplayer-cdn.tcgplayer.com/product/84457_200w.jpg,3,1377,https://cpt.tcgcsv.com/9PH,2024-04-01T21:21:05.04,1,90/95,Ultra Rare,Grass,150,Stage 2,"[2] Eerie Light (30) 
<br>The Defending Pokemon is now Confused.","[2GG] Acidic Poison (60) 
<br>The Defending Pokemon is now Poisoned and Burned.",RW,None,2,86.05,94.65,100.0,74.99,,Holofoil,"<strong>Poké-BODY</strong> — Primal Vibes <br>
As long as Cradily ex is your Active Pokemon, your opponent can't play a Pokemon from his or her hand to evolve his or her Active Pokemon.",
84530,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84530_200w.jpg,3,1377,https://cpt.tcgcsv.com/DQH,2024-04-01T21:20:59.193,1,40/95,Common,Fighting,50,Basic,"[F] Bone Attack (20) 
<br>Flip a coin.  If tails, this attack does nothing.",,G,None,1,1.44,1.44,1.44,8.32,,Normal,,
84895,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84895_200w.jpg,3,1377,https://cpt.tcgcsv.com/WZH,2024-04-01T21:21:07.307,1,88/95,Rare,Special Rainbow Energy,,,,,,,,6.46,8.0,24.99,6.99,,Normal,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy when not in play and has no effect other than providing Energy.) </em>Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10<em> (after applying Weakness and Resistance).</em>  <br>
When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",
84895,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84895_200w.jpg,3,1377,https://cpt.tcgcsv.com/WZH,2024-04-01T21:21:07.307,1,88/95,Rare,Special Rainbow Energy,,,,,,,,19.98,36.67,49.95,16.39,,Reverse Holofoil,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy when not in play and has no effect other than providing Energy.) </em>Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10<em> (after applying Weakness and Resistance).</em>  <br>
When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",
84985,Dual Ball,Dual Ball,https://tcgplayer-cdn.tcgplayer.com/product/84985_200w.jpg,3,1377,https://cpt.tcgcsv.com/K_H,2024-04-01T21:21:05.343,1,72/95,Uncommon,Trainer - Item,,,,,,,,0.66,1.15,2.95,1.1,,Normal,"Flip 2 coins.  For each heads, search your deck for a Basic Pokemon card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",
84985,Dual Ball,Dual Ball,https://tcgplayer-cdn.tcgplayer.com/product/84985_200w.jpg,3,1377,https://cpt.tcgcsv.com/K_H,2024-04-01T21:21:05.343,1,72/95,Uncommon,Trainer - Item,,,,,,,,1.22,3.44,5.94,3.26,,Reverse Holofoil,"Flip 2 coins.  For each heads, search your deck for a Basic Pokemon card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",
85278,Entei ex,Entei ex,https://tcgplayer-cdn.tcgplayer.com/product/85278_200w.jpg,3,1377,https://cpt.tcgcsv.com/B7J,2024-04-01T21:21:04.093,1,91/95,Ultra Rare,Fire,100,Basic,"[R] Searing Flame (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Burned.","[1RR] Bright Flame (90) 
<br>Discard 2 Energy attached to Entei ex.",W,None,2,139.99,269.99,399.99,272.41,,Holofoil,,
86314,Jigglypuff,Jigglypuff,https://tcgplayer-cdn.tcgplayer.com/product/86314_200w.jpg,3,1377,https://cpt.tcgcsv.com/jxJ,2026-02-17T16:13:28.083,1,41/95,Common,Colorless,50,Basic,"[1] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.","[2] Rest 
<br>Remove all Special Conditions and 3 damage counters from Jigglypuff <i>(all if there are less than 3)</i>.  Jigglypuff is now Asleep.",F,None,1,4.36,5.0,96.95,4.87,96.95,Normal,,
