productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83445,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83445_200w.jpg,3,1373,https://cpt.tcgcsv.com/WnH,2025-12-29T15:03:48.967,1,49/82,Common,Psychic,40,Basic,"[P] Vanish
<br>Shuffle Abra into your deck. <em>(Discard all cards attached to Abra.)</em>","[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,1,0.71,2.07,19.99,2.43,1.54,1st Edition,,
83445,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83445_200w.jpg,3,1373,https://cpt.tcgcsv.com/WnH,2025-12-29T15:03:48.967,1,49/82,Common,Psychic,40,Basic,"[P] Vanish
<br>Shuffle Abra into your deck. <em>(Discard all cards attached to Abra.)</em>","[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,1,0.19,0.55,45.0,0.76,0.38,Unlimited,,
84159,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84159_200w.jpg,3,1373,https://cpt.tcgcsv.com/cHH,2026-02-24T22:55:27.303,1,74/82,Uncommon,Trainer,,,,,,,1.31,2.57,96.95,2.92,2.62,1st Edition,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",
84159,Challenge!,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/84159_200w.jpg,3,1373,https://cpt.tcgcsv.com/cHH,2026-02-24T22:55:27.303,1,74/82,Uncommon,Trainer,,,,,,,0.44,1.03,22859.93,1.21,0.96,Unlimited,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. <em>(A player can't do this if his or her Bench is full.)</em> When you both have finished, shuffle your decks and turn those cards face up.",
84204,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84204_200w.jpg,3,1373,https://cpt.tcgcsv.com/6JH,2026-02-24T22:56:44.53,1,50/82,Common,Fire,40,Basic,[R] Fire Tail (20),,W,1,3.59,10.0,29.99,10.87,,1st Edition,"<strong>Pokémon Power: Gather Fire</strong> Once during your turn <em>(before your attack)</em>, you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",
84204,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84204_200w.jpg,3,1373,https://cpt.tcgcsv.com/6JH,2026-02-24T22:56:44.53,1,50/82,Common,Fire,40,Basic,[R] Fire Tail (20),,W,1,0.35,1.67,96.95,2.91,0.5,Unlimited,"<strong>Pokémon Power: Gather Fire</strong> Once during your turn <em>(before your attack)</em>, you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",
84559,Dark Alakazam (1),Dark Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/84559_200w.jpg,3,1373,https://cpt.tcgcsv.com/cRH,2026-02-16T19:27:25.387,1,01/82,Holo Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,72.0,110.78,143.36,139.88,,1st Edition Holofoil,,
84559,Dark Alakazam (1),Dark Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/84559_200w.jpg,3,1373,https://cpt.tcgcsv.com/cRH,2026-02-16T19:27:25.387,1,01/82,Holo Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,44.0,69.99,9999.0,56.6,69.99,Unlimited Holofoil,,
84560,Dark Alakazam (18),Dark Alakazam 18,https://tcgplayer-cdn.tcgplayer.com/product/84560_200w.jpg,3,1373,https://cpt.tcgcsv.com/dRH,2026-02-17T21:03:08.543,1,18/82,Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,16.0,24.08,30.0,27.29,,1st Edition,,
84560,Dark Alakazam (18),Dark Alakazam 18,https://tcgplayer-cdn.tcgplayer.com/product/84560_200w.jpg,3,1373,https://cpt.tcgcsv.com/dRH,2026-02-17T21:03:08.543,1,18/82,Rare,Psychic,60,Stage 2,"[1PP] Teleport Blast (30)
<br>You may switch Dark Alakazam with 1 of your Benched Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[PPP] Mind Shock (40)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",P,3,7.99,11.38,111.49,13.08,14.48,Unlimited,,
