productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
505942,Trick or Trade BOOster Bundle 2023 (50 ct),Trick or Trade BOOster Bundle 2023 50 ct,https://tcgplayer-cdn.tcgplayer.com/product/505942_200w.jpg,3,23266,https://cpt.tcgcsv.com/Sn36,2024-08-19T16:57:04.903,1,"Spooky Surprises Lurk Inside!
<br>Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs! Inside you’ll find 50 mini packs, each containing three colorful cards from the Pokémon Trading Card Game.",0820650862571,60.0,60.0,99.99,45.35,,Normal,,,,,,,,,,
505943,Trick or Trade BOOster Bundle 2023 Case,Trick or Trade BOOster Bundle 2023 Case,https://tcgplayer-cdn.tcgplayer.com/product/505943_200w.jpg,3,23266,https://cpt.tcgcsv.com/Tn36,2023-09-01T04:03:11.297,1,"Spooky Surprises Lurk Inside!
<br>Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs! Inside you’ll find 50 mini packs, each containing three colorful cards from the Pokémon Trading Card Game.
<br>Display Contains:
<br>•12 Trick or Trade BOOster Bundles",0820650872570,1499.99,1499.99,1499.99,272.48,,Normal,,,,,,,,,,
505945,Trick or Trade BOOster Bundle 2023 - Mini Booster Pack,Trick or Trade BOOster Bundle 2023 Mini Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/505945_200w.jpg,3,23266,https://cpt.tcgcsv.com/Wn36,2023-09-01T04:03:11.297,1,"Spooky Surprises Lurk Inside!
<br>Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs!
<br>Each Booster Pack Contains: 
<br>•3 Colorful cards from the Pokémon Trading Card Game",0820650852572,0.01,0.99,5.0,1.0,,Normal,,,,,,,,,,
515647,Phantump,Phantump,https://tcgplayer-cdn.tcgplayer.com/product/515647_200w.jpg,3,23266,https://cpt.tcgcsv.com/Zg86,2025-11-21T16:26:43.663,1,,,0.01,0.15,1.33,0.1,0.15,Normal,016/196,Common,Grass,70,Basic,[1] Hook (10),Rx2,2,,
515648,Trevenant,Trevenant,https://tcgplayer-cdn.tcgplayer.com/product/515648_200w.jpg,3,23266,https://cpt.tcgcsv.com/-g86,2023-09-26T20:11:50.543,1,"<strong>Ability — Elder Tree Barrier</strong>
<br>
If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon V, your opponent can't take any Prize cards for it.",,0.01,0.15,4.0,0.07,0.04,Holofoil,017/196,Holo Rare,Grass,120,Stage 1,"[1GG] Giga Impact (150)
<br>
During your next turn, this Pokémon can't attack.",Rx2,3,,
515649,Dhelmise,Dhelmise,https://tcgplayer-cdn.tcgplayer.com/product/515649_200w.jpg,3,23266,https://cpt.tcgcsv.com/_g86,2023-09-12T12:09:13.737,1,,,0.04,0.15,1.49,0.1,,Normal,019/185,Uncommon,Grass,130,Basic,[1] Hook (20),Rx2,3,"[2G] Special Anchor (60+)
<br>If this Pokémon has any Special Energy attached, this attack does 60 more damage.",None
515650,Houndoom,Houndoom,https://tcgplayer-cdn.tcgplayer.com/product/515650_200w.jpg,3,23266,https://cpt.tcgcsv.com/0h86,2023-09-08T13:52:47.59,1,,,0.01,0.17,2.0,0.1,,Holofoil,034/198,Common,Fire,120,Stage 1,[1] Sharp Fang (30),Wx2,2,"[1RR] Fire Blast (150)
<br>Discard a [R] Energy attached to this Pokemon.",None
515651,Litwick,Litwick,https://tcgplayer-cdn.tcgplayer.com/product/515651_200w.jpg,3,23266,https://cpt.tcgcsv.com/2h86,2025-11-21T16:20:49.113,1,,,0.01,0.15,20.0,0.09,,Normal,024/196,Common,Fire,60,Basic,"[R] Kindling Panic
<br>
Discard the top card of your opponent's deck.",Wx2,1,,
515652,Lampent,Lampent,https://tcgplayer-cdn.tcgplayer.com/product/515652_200w.jpg,3,23266,https://cpt.tcgcsv.com/3h86,2025-11-21T16:23:20.583,1,,,0.03,0.15,20.0,0.11,0.15,Normal,025/196,Uncommon,Fire,80,Stage 1,"[R] Flickering Glow (20)
<br>
Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Wx2,1,,
515653,Chandelure,Chandelure,https://tcgplayer-cdn.tcgplayer.com/product/515653_200w.jpg,3,23266,https://cpt.tcgcsv.com/5h86,2025-11-21T05:08:30.667,1,"<strong>Ability — Mountain Roasting</strong>
<br>
When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 3 cards of your opponent's deck.",,0.01,0.18,2.0,0.15,0.06,Holofoil,026/196,Holo Rare,Fire,150,Stage 2,[1R] Heat Blast (90),Wx2,2,,
