productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
558713,Trick or Trade BOOster Bundle 2024 (35 mini packs),Trick or Trade BOOster Bundle 2024 35 mini packs,https://tcgplayer-cdn.tcgplayer.com/product/558713_200w.jpg,3,23561,https://cpt.tcgcsv.com/hvt6,2024-10-21T14:03:07.783,1,"Spooky Surprises Lurk Inside! <br>
Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs! Inside you’ll find 35 mini packs, each containing three colorful cards from the Pokémon Trading Card Game.
<br><br>
Each Bundle Includes: <br>
• 35 mini packs of Pokémon TCG cards<br>
• Each mini pack contains 3 cards.",0820650858338,29.95,36.99,49.99,33.9,,Normal,,,,,,,,,,
558714,Trick or Trade BOOster Bundle 2024 Case,Trick or Trade BOOster Bundle 2024 Case,https://tcgplayer-cdn.tcgplayer.com/product/558714_200w.jpg,3,23561,https://cpt.tcgcsv.com/jvt6,2024-09-03T15:22:16.293,1,"Spooky Surprises Lurk Inside! <br>
Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs! 
<br><br>
• Case Includes 12 BOOster Bundles <br>
• Each bundle includes 35 mini packs of Pokémon TCG cards <br>
• Each mini pack contains 3 cards.",0820650878336,538.0,1019.0,1499.99,276.43,,Normal,,,,,,,,,,
566954,Trick or Trade BOOster Bundle 2024 (80 mini packs),Trick or Trade BOOster Bundle 2024 80 mini packs,https://tcgplayer-cdn.tcgplayer.com/product/566954_200w.jpg,3,23561,https://cpt.tcgcsv.com/6Px6,2024-10-30T13:36:34.687,1,"Spooky Surprises Lurk Inside! <br>
Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs! Inside you’ll find 80 mini packs per bag, each containing three colorful cards from the Pokémon Trading Card Game.
<br><br>
Each Bundle Includes: <br>
• 80 mini packs of Pokémon TCG cards<br>
• Each mini pack contains 3 cards.",,120.0,122.5,125.0,63.1,,Normal,,,,,,,,,,
568512,Sprigatito - 012/193,Sprigatito 012 193,https://tcgplayer-cdn.tcgplayer.com/product/568512_200w.jpg,3,23561,https://cpt.tcgcsv.com/gqz6,2024-08-30T15:25:14.53,1,,,0.01,0.14,1.6,0.13,,Normal,012/193,Common,Grass,60,Basic,"[G] Gather Sunlight
<br>Search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",[G] Seed Bomb (10),Fx2,None,1
568513,Quaxly - 050/193,Quaxly 050 193,https://tcgplayer-cdn.tcgplayer.com/product/568513_200w.jpg,3,23561,https://cpt.tcgcsv.com/hqz6,2024-08-30T15:24:54.71,1,,,0.01,0.1,5.0,0.08,,Normal,050/193,Common,Water,70,Basic,"[W] Reckless Charge (30)
<br>This Pokemon does 10 damage to itself.",,Lx2,None,1
568704,Umbreon,Umbreon,https://tcgplayer-cdn.tcgplayer.com/product/568704_200w.jpg,3,23561,https://cpt.tcgcsv.com/6vz6,2024-08-30T15:25:37.04,1,,,0.1,0.35,25.0,0.35,,Normal,130/197,Uncommon,Darkness,110,Stage 1,"[D] Feint Attack
<br>This attack does 50 damage to 1 of your opponent's Pokemon. This attack's damage isn't affected by Weakness or Resistance, or by effects of your opponent's Active Pokemon.","[2D] Pitch-Black Blade (140)
<br>During your next turn, this Pokémon can’t attack.",Gx2,None,1
568705,Houndour - 131/197,Houndour 131 197,https://tcgplayer-cdn.tcgplayer.com/product/568705_200w.jpg,3,23561,https://cpt.tcgcsv.com/7vz6,2026-02-13T19:40:54.27,1,,,0.01,0.12,5.0,0.1,,Normal,131/197,Common,Darkness,50,Basic,"[D] Coordinated Pack
<br>For each of your Benched Houndour, search your deck for a D Energy card and attach it to that Houndour. Then, shuffle your deck.","[1D] Focus Fang (30)
<br>Flip a coin. If tails, this attack does nothing.",Gx2,None,1
568748,Houndoom,Houndoom,https://tcgplayer-cdn.tcgplayer.com/product/568748_200w.jpg,3,23561,https://cpt.tcgcsv.com/-vz6,2024-08-30T15:21:18.373,1,,,0.01,0.12,5.0,0.08,,Normal,133/197,Uncommon,Darkness,130,Stage 1,"[1D] Resolute Assault (50+)
<br>If your opponent’s Active Pokémon is an Evolution Pokémon, this attack does 70 more damage.","[2D] Shadow Slash (130)
<br>Discard an Energy from this Pokémon.",Gx2,None,2
568826,Darkrai (Cosmos Holo),Darkrai Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/568826_200w.jpg,3,23561,https://cpt.tcgcsv.com/xxz6,2025-11-13T14:55:30.813,1,,,0.03,0.26,10.0,0.25,0.18,Holofoil,136/197,Holo Rare,Darkness,130,Basic,"[D] Dark Slumber (20)
<br>Your opponent’s Active Pokémon is now Asleep.","[1DD] Night Cyclone (120)
<br>Move all Energy from this Pokémon to your Benched Pokémon in any way you like.",Gx2,None,2
568941,Fuecoco,Fuecoco,https://tcgplayer-cdn.tcgplayer.com/product/568941_200w.jpg,3,23561,https://cpt.tcgcsv.com/RBz6,2024-08-30T15:15:56.423,1,,,0.01,0.1,5.0,0.08,,Normal,023/182,Common,Fire,80,Basic,[R] Live Coal (10),[RR] Ram (30),Wx2,None,2
