productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
280301,Trick or Trade BOOster Bundle - Mini Booster Pack,Trick or Trade BOOster Bundle Mini Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/280301_200w.jpg,3,3179,https://cpt.tcgcsv.com/28g3,2022-09-06T17:28:03.503,1,"Each Pokémon TCG: Trick or Trade BOOster Bundle mini booster packs each contain three cards that highlight a spooky Pokémon — such as Zubat, Gengar, Pumpkaboo, Mimikyu and Polteageist — and feature a Pikachu jack-o’-lantern stamp on every card. 
<br><br><em>(Pokemon TCG booster packs vary by product.)</em>",0.82,1.1,7.89,1.07,,Normal,,,,,,,,,,
280302,Trick or Trade BOOster Bundle (40 ct),Trick or Trade BOOster Bundle 40 ct,https://tcgplayer-cdn.tcgplayer.com/product/280302_200w.jpg,3,3179,https://cpt.tcgcsv.com/38g3,2024-11-11T17:09:59.547,1,"Make an unforgettable impression on the spookiest night of the year with the Pokémon TCG: Trick or Trade BOOster Bundle. Featuring 40 mini packs, each containing three cards boasting gourdgeous art, the Trick or Trade BOOster Bundle contains plenty of goodies for trick-or-treaters. Creep it real with a surprise that lasts longer than candy by merging the magic of Pokémon with all the delightful thrills and chills of Halloween.
<br><br><em>(Pokemon TCG booster packs vary by product.)</em>",35.0,40.45,199.99,35.63,,Normal,,,,,,,,,,
283766,Gengar (2021 Copyright Date),Gengar 2021 Copyright Date,https://tcgplayer-cdn.tcgplayer.com/product/283766_200w.jpg,3,3179,https://cpt.tcgcsv.com/lwh3,2025-10-31T19:12:19.657,1,"<strong>Ability — Last Gift</strong>
<br>
If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",0.15,0.67,20.39,0.65,0.4,Holofoil,057/198,Promo,Psychic,130,Stage 2,"[3] Pain Burst (10+)
<br>
This attack does 40 more damage for each damage counter on your opponent's Active Pokémon.",Dx2,F-30,1,
283785,Mewtwo,Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/283785_200w.jpg,3,3179,https://cpt.tcgcsv.com/Kwh3,2025-11-21T05:04:40.723,1,,0.03,0.4,164.99,0.36,,Holofoil,056/172,Promo,Psychic,130,Basic,"[P] Life Sucker (20)
<br>
Heal 20 damage from this Pokémon.",Dx2,F-30,2,[1PP] Psyburn (110)
283786,Mismagius,Mismagius,https://tcgplayer-cdn.tcgplayer.com/product/283786_200w.jpg,3,3179,https://cpt.tcgcsv.com/Lwh3,2025-11-22T02:44:51.24,1,,0.01,0.19,4.39,0.12,0.1,Holofoil,059/189,Promo,Psychic,90,Stage 1,"[P] Ominous Prose
<br>
Your opponent reveals their hand. If they have 4 or more cards in their hand, choose all but 3, and your opponent shuffles the chosen cards into their deck.",Dx2,F-30,1,[1P] Psybeam (50)
283787,Dusknoir,Dusknoir,https://tcgplayer-cdn.tcgplayer.com/product/283787_200w.jpg,3,3179,https://cpt.tcgcsv.com/Mwh3,2025-11-21T05:05:13.47,1,"<strong>Ability — Special Transfer</strong>
<br>
As often as you like during your turn, you may move a Special Energy from 1 of your Pokémon to another of your Pokémon.",0.01,0.19,5.39,0.14,0.13,Holofoil,062/172,Promo,Psychic,160,Stage 2,[2P] Devour Soul (120),Dx2,F-30,3,
283788,Darkrai,Darkrai,https://tcgplayer-cdn.tcgplayer.com/product/283788_200w.jpg,3,3179,https://cpt.tcgcsv.com/Nwh3,2025-11-21T05:10:18.163,1,"<strong>Ability — Darkness Guard</strong>
<br>
If this Pokémon Has any Darkness Energy attached, it takes 20 less damage from attacks <em>(after applying Weakness and Resistance)</em>.",0.05,0.23,19.5,0.19,0.12,Holofoil,105/189,Promo,Darkness,120,Basic,"[3] Vortex of Darkness (60+)
<br>
This attack does 20 more damage for each Darkness Energy attached to this Pokémon.",Gx2,,2,
283790,Chandelure,Chandelure,https://tcgplayer-cdn.tcgplayer.com/product/283790_200w.jpg,3,3179,https://cpt.tcgcsv.com/Qwh3,2022-12-23T08:17:37.493,1,"<strong>Ability — Protective Glow</strong>
<br>
All of your Pokémon that have Energy attached have no Weakness.",0.01,0.2,6.39,0.13,,Holofoil,033/192,Promo,Fire,140,Stage 2,"[1R] Mirage Flare (110)
<br>
Your opponent's Active Pokémon is now Confused.",Wx2,,2,
283793,Trevenant,Trevenant,https://tcgplayer-cdn.tcgplayer.com/product/283793_200w.jpg,3,3179,https://cpt.tcgcsv.com/Twh3,2025-11-21T05:13:59.023,1,,0.01,0.16,19.5,0.12,0.12,Holofoil,015/192,Promo,Grass,130,Stage 1,[G] Seed Bomb (40),Rx2,,3,"[1GG] Shadow Cage (120)
<br>
During your opponent's next turn, the Defending Pokémon can't retreat."
283795,Gourgeist,Gourgeist,https://tcgplayer-cdn.tcgplayer.com/product/283795_200w.jpg,3,3179,https://cpt.tcgcsv.com/Wwh3,2025-11-21T04:17:43.537,1,,0.01,0.2,5.39,0.13,0.05,Holofoil,077/203,Promo,Psychic,120,Stage 1,"[2] Pandemonium (60x)
<br>
Reveal the top 6 cards of your deck. This attack does 60 damage for each Psychic Pokémon you find there. Then, shuffle those Pokémon back into your deck and discard the other cards.",Dx2,F-30,2,
