productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extAttack4
83488,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83488_200w.jpg,3,1398,https://cpt.tcgcsv.com/NpH,2021-08-03T20:10:47.45,1,34/115,Uncommon,Colorless,50,Basic,"<b>Poke-POWER</b> Snappy Move  
<br>Once during your turn <em>(before your attack)</em>, if Aipom is on your Bench, you may draw a card.  Then, discard all cards attached to Aipom and put Aipom on the bottom of your deck.  You can't use more than 1 Snappy Move Poke-Power each turn.","[1] Snap Tail 
<br>Choose 1 of your opponent's Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,1.5,17.12,96.95,2.85,25.26,Normal,,,
83488,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83488_200w.jpg,3,1398,https://cpt.tcgcsv.com/NpH,2021-08-03T20:10:47.45,1,34/115,Uncommon,Colorless,50,Basic,"<b>Poke-POWER</b> Snappy Move  
<br>Once during your turn <em>(before your attack)</em>, if Aipom is on your Bench, you may draw a card.  Then, discard all cards attached to Aipom and put Aipom on the bottom of your deck.  You can't use more than 1 Snappy Move Poke-Power each turn.","[1] Snap Tail 
<br>Choose 1 of your opponent's Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",F,None,1,24.44,38.32,99.99,19.66,99.99,Reverse Holofoil,,,
83540,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83540_200w.jpg,3,1398,https://cpt.tcgcsv.com/QqH,2021-08-03T20:10:55.07,1,1/115,Holo Rare,Lightning,120,Stage 2,"<b>Poke-POWER</b> Energy Connect 
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a basic Energy card attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Ampharos is affected by a Special Condition.","[2L] Miraculous Thunder (50) 
<br>You may discard all L Energy attached to Ampharos.  If you do, the Defending Pokemon is now Burned and Confused.",F,M,2,35.0,75.72,129.99,63.28,,Holofoil,,,
83540,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83540_200w.jpg,3,1398,https://cpt.tcgcsv.com/QqH,2021-08-03T20:10:55.07,1,1/115,Holo Rare,Lightning,120,Stage 2,"<b>Poke-POWER</b> Energy Connect 
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a basic Energy card attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Ampharos is affected by a Special Condition.","[2L] Miraculous Thunder (50) 
<br>You may discard all L Energy attached to Ampharos.  If you do, the Defending Pokemon is now Burned and Confused.",F,M,2,71.23,98.88,150.0,26.54,,Reverse Holofoil,,,
83616,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83616_200w.jpg,3,1398,https://cpt.tcgcsv.com/lsH,2025-11-11T01:36:54.017,1,2/115,Holo Rare,Grass,70,Stage 1,,"[1] Reactive Poison (10+) 
<br>Does 10 damage plus 30 more damage for each Special Condition affecting the Defending Pokemon.",P,None,1,7.47,15.0,33.99,13.59,,Holofoil,"[G] Spider Trap 
<br>The defending Pokemon is now Asleep and Poisoned.  Before applying this effect, you may switch 1 of your opponent's Benched Pokemon with 1 of the Defending Pokemon.  If you do, the new Defending Pokemon is now Asleep and Poisoned.  Your opponent chooses the Defending Pokemon to switch.",,
83616,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83616_200w.jpg,3,1398,https://cpt.tcgcsv.com/lsH,2025-11-11T01:36:54.017,1,2/115,Holo Rare,Grass,70,Stage 1,,"[1] Reactive Poison (10+) 
<br>Does 10 damage plus 30 more damage for each Special Condition affecting the Defending Pokemon.",P,None,1,19.95,44.97,69.99,13.87,,Reverse Holofoil,"[G] Spider Trap 
<br>The defending Pokemon is now Asleep and Poisoned.  Before applying this effect, you may switch 1 of your opponent's Benched Pokemon with 1 of the Defending Pokemon.  If you do, the new Defending Pokemon is now Asleep and Poisoned.  Your opponent chooses the Defending Pokemon to switch.",,
83746,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83746_200w.jpg,3,1398,https://cpt.tcgcsv.com/XvH,2021-09-22T14:17:58.443,1,35/115,Uncommon,Grass,70,Stage 1,,"[1] Soothing Scent (10) 
<br>The Defending Pokemon is now Asleep.",R,W,1,0.4,0.93,4.02,0.94,,Normal,[1GG] Razor Leaf (50),,
83746,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83746_200w.jpg,3,1398,https://cpt.tcgcsv.com/XvH,2021-09-22T14:17:58.443,1,35/115,Uncommon,Grass,70,Stage 1,,"[1] Soothing Scent (10) 
<br>The Defending Pokemon is now Asleep.",R,W,1,40.0,67.7,99.99,16.8,,Reverse Holofoil,[1GG] Razor Leaf (50),,
83799,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83799_200w.jpg,3,1398,https://cpt.tcgcsv.com/_wH,2022-06-06T03:07:44.073,1,3/115,Holo Rare,Grass,90,Stage 2,,"[G] Green Dance 
<br>Search your deck for up to 2 Grass Pokemon, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.  If you put any Grass Pokemon into your hand, you may switch Bellossom with 1 of your Benched Pokemon.",R,W,1,14.97,18.0,51.94,21.95,,Holofoil,"[3] Full Bloom (50+) 
<br>If you have at least 3 Bellossom in play, this attack does 50 damage plus 50 more damage.",,
83799,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83799_200w.jpg,3,1398,https://cpt.tcgcsv.com/_wH,2022-06-06T03:07:44.073,1,3/115,Holo Rare,Grass,90,Stage 2,,"[G] Green Dance 
<br>Search your deck for up to 2 Grass Pokemon, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.  If you put any Grass Pokemon into your hand, you may switch Bellossom with 1 of your Benched Pokemon.",R,W,1,13.24,13.82,30.78,26.77,,Reverse Holofoil,"[3] Full Bloom (50+) 
<br>If you have at least 3 Bellossom in play, this attack does 50 damage plus 50 more damage.",,
