productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText
83578,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83578_200w.jpg,3,1418,https://cpt.tcgcsv.com/BrH,2024-09-05T08:07:21.567,1,06/53,Promo,Fire,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[RR] Flames of Rage (40+)
<br>Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.",W,1,17.85,29.0,9999.0,25.46,17.85,Normal,,
83647,Articuno (22),Articuno 22,https://tcgplayer-cdn.tcgplayer.com/product/83647_200w.jpg,3,1418,https://cpt.tcgcsv.com/ZsH,2025-01-07T20:58:00.16,1,22/53,Promo,Water,70,Basic,"[WWW] Diamond Dust (20)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed, and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,,1,7.0,14.09,9999.0,13.31,,Normal,F,
83648,Articuno (48),Articuno 48,https://tcgplayer-cdn.tcgplayer.com/product/83648_200w.jpg,3,1418,https://cpt.tcgcsv.com/-sH,2022-12-05T18:56:02.89,1,48/53,Promo,Water,80,Basic,"[2WW] Ice Beam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,2,85.0,123.49,9999.0,64.45,249.99,Normal,F,"<strong>Pokemon Power: Aurora Veil</strong> As long as Articuno is your Active Pokémon, your Benched Pokémon are not affected by attacks. This power cannot be used if Articuno is affected by a Special Condition."
84143,Celebi,Celebi,https://tcgplayer-cdn.tcgplayer.com/product/84143_200w.jpg,3,1418,https://cpt.tcgcsv.com/TGH,2022-12-05T18:54:36.98,1,50/53,Promo,Grass,50,Basic,"[1G] Leaf Slice (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",,R,1,23.9,31.95,40.0,39.15,,Normal,,
84363,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84363_200w.jpg,3,1418,https://cpt.tcgcsv.com/hMH,2023-02-16T09:31:00.45,1,31/53,Promo,Colorless,30,Basic,"[1] Eek
<br>Draw 2 cards.",,,,6.0,9.0,96.95,8.11,12.99,Normal,,"<em>If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.</em>"
84414,Computer Error (Rocket's Secret Machine),Computer Error Rockets Secret Machine,https://tcgplayer-cdn.tcgplayer.com/product/84414_200w.jpg,3,1418,https://cpt.tcgcsv.com/jNH,2026-02-17T14:36:23.823,1,16/53,Promo,Trainer,,,,,,,3.0,5.3,96.95,5.21,5.56,Normal,,"You may draw up to 5 cards, then your opponent may draw up to 5 cards. Your turn is over now (you don't get to attack)."
84422,Cool Porygon,Cool Porygon,https://tcgplayer-cdn.tcgplayer.com/product/84422_200w.jpg,3,1418,https://cpt.tcgcsv.com/sNH,2022-12-05T19:09:01.233,1,15/53,Promo,Colorless,50,Basic,"[3] Texture Magic
<br>You may change Cool Porygon's Resistance to a type of your choice other than Colorless.  If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless. <em>(Benching either Pokémon ends the effect on that Pokémon.)</em>","[3] 3-D Attack (20x)
<br>Flip 3 coins. This attack does 20 damage times the number of heads.",F,1,56.12,90.01,172.49,75.56,,Holofoil,P-30,
84638,Dark Persian,Dark Persian,https://tcgplayer-cdn.tcgplayer.com/product/84638_200w.jpg,3,1418,https://cpt.tcgcsv.com/NSH,2025-11-21T18:40:02.937,1,17/53,Promo,Colorless,60,Stage 1,"[1] Tempt
<br>If your opponent has any Benched Pokémon, flip a coin. If heads, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.","[2] Poison Claws (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",F,,50.0,65.0,9999.0,77.37,,Holofoil,P-30,
84909,Dragonite (Movie Promo),Dragonite Movie Promo,https://tcgplayer-cdn.tcgplayer.com/product/84909_200w.jpg,3,1418,https://cpt.tcgcsv.com/c-H,2026-02-16T12:18:19.867,1,05/53,Promo,Colorless,90,Stage 2,"[3] Supersonic Flight (60)
<br>Flip a coin. If tails, this attack does nothing.",,,2,27.0,49.49,9999.0,45.24,32.99,Normal,F-30,"<strong>Pokémon Power: Special Delivery</strong> Once during your turn <em>(before your attack)</em>, you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed."
85074,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85074_200w.jpg,3,1418,https://cpt.tcgcsv.com/v2J,2026-02-27T22:28:41.7,1,11/53,Promo,Colorless,30,Basic,[1] Bite (20),,F,,32.99,49.94,9999.0,46.39,43.95,Holofoil,P-30,"<strong>Pokémon Power: Chain Reaction</strong> This power can only be used when a Pokémon evolves. Search your deck for a card that evolves from Eevee and attach it to Eevee. This counts as evolving Eevee. Shuffle your deck afterward. This power can't be used if Eevee is Asleep, Confused, or Paralyzed."
