productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
111278,XY BREAKpoint Booster Box,XY BREAKpoint Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/111278_200w.jpg,3,1701,https://cpt.tcgcsv.com/BwV,2016-02-04T23:22:34.927,1,9499.99,9499.99,9499.99,,,Normal,,,,,,,,,,,
111279,XY BREAKpoint Booster Pack,XY BREAKpoint Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/111279_200w.jpg,3,1701,https://cpt.tcgcsv.com/CwV,2016-01-18T16:45:29.383,1,38.3,45.0,59.99,37.34,,Normal,,,,,,,,,,,
111280,XY BREAKpoint Elite Trainer Box,XY BREAKpoint Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/111280_200w.jpg,3,1701,https://cpt.tcgcsv.com/DwV,2016-02-04T23:22:39.24,1,899.99,1197.5,3999.99,724.76,,Normal,,,,,,,,,,,
111504,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/111504_200w.jpg,3,1701,https://cpt.tcgcsv.com/6DV,2025-10-31T18:34:20.91,1,0.05,0.26,4.0,0.26,,Normal,1/122,Common,Grass,60,Basic,[C] Tackle (10),"[1G] Blot (10)
<br>Heal 10 damage from this Pokemon.",Rx2,None,1,
111504,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/111504_200w.jpg,3,1701,https://cpt.tcgcsv.com/6DV,2025-10-31T18:34:20.91,1,0.24,0.58,1.99,0.59,,Reverse Holofoil,1/122,Common,Grass,60,Basic,[C] Tackle (10),"[1G] Blot (10)
<br>Heal 10 damage from this Pokemon.",Rx2,None,1,
111505,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/111505_200w.jpg,3,1701,https://cpt.tcgcsv.com/7DV,2022-12-15T16:25:46.787,1,0.15,0.49,4.0,0.5,,Normal,2/122,Uncommon,Grass,90,Stage 1,"[C] Body Slam (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",[1G] Vine Whip (30),Rx2,None,2,
111505,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/111505_200w.jpg,3,1701,https://cpt.tcgcsv.com/7DV,2022-12-15T16:25:46.787,1,0.73,1.95,5.98,2.31,,Reverse Holofoil,2/122,Uncommon,Grass,90,Stage 1,"[C] Body Slam (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",[1G] Vine Whip (30),Rx2,None,2,
111506,Meganium,Meganium,https://tcgplayer-cdn.tcgplayer.com/product/111506_200w.jpg,3,1701,https://cpt.tcgcsv.com/8DV,2026-01-30T00:08:09.013,1,0.75,1.66,4.99,1.57,,Holofoil,3/122,Holo Rare,Grass,150,Stage 2,"[1GG] Green Force (50)
<br>Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.",,Rx2,None,3,"<b>Ability — Overgrow</b>
<br>If this Pokemon's HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>."
111506,Meganium,Meganium,https://tcgplayer-cdn.tcgplayer.com/product/111506_200w.jpg,3,1701,https://cpt.tcgcsv.com/8DV,2026-01-30T00:08:09.013,1,1.24,2.8,8.7,3.62,,Reverse Holofoil,3/122,Holo Rare,Grass,150,Stage 2,"[1GG] Green Force (50)
<br>Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.",,Rx2,None,3,"<b>Ability — Overgrow</b>
<br>If this Pokemon's HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>."
111507,Seedot,Seedot,https://tcgplayer-cdn.tcgplayer.com/product/111507_200w.jpg,3,1701,https://cpt.tcgcsv.com/9DV,2025-11-21T23:30:30.8,1,0.02,0.2,4.0,0.12,0.04,Normal,4/122,Common,Grass,50,Basic,[1] Ram (10),,Rx2,None,1,
111507,Seedot,Seedot,https://tcgplayer-cdn.tcgplayer.com/product/111507_200w.jpg,3,1701,https://cpt.tcgcsv.com/9DV,2025-11-21T23:30:30.8,1,0.19,0.46,2.95,0.51,,Reverse Holofoil,4/122,Common,Grass,50,Basic,[1] Ram (10),,Rx2,None,1,
111508,Kricketot,Kricketot,https://tcgplayer-cdn.tcgplayer.com/product/111508_200w.jpg,3,1701,https://cpt.tcgcsv.com/bDV,2025-11-21T23:34:05.74,1,0.02,0.2,19.5,0.18,0.1,Normal,5/122,Common,Grass,60,Basic,"[G] Bug Hunch
<br>Search your deck for up to 3 Grass Pokemon, reveal them, and put them into your hand. Shuffle your deck afterward.",,Rx2,None,1,
111508,Kricketot,Kricketot,https://tcgplayer-cdn.tcgplayer.com/product/111508_200w.jpg,3,1701,https://cpt.tcgcsv.com/bDV,2025-11-21T23:34:05.74,1,0.1,0.51,1.5,0.54,,Reverse Holofoil,5/122,Common,Grass,60,Basic,"[G] Bug Hunch
<br>Search your deck for up to 3 Grass Pokemon, reveal them, and put them into your hand. Shuffle your deck afterward.",,Rx2,None,1,
111509,Kricketune,Kricketune,https://tcgplayer-cdn.tcgplayer.com/product/111509_200w.jpg,3,1701,https://cpt.tcgcsv.com/cDV,2022-12-15T16:26:18.44,1,0.04,0.2,4.0,0.15,,Normal,6/122,Uncommon,Grass,90,Stage 1,"[1] Screech 
<br>During your next turn, any damage done to the Defending Pokemon by attacks is increased by 60 <i>(after applying Weakness and Resistance)</i>.",,Rx2,None,1,
111509,Kricketune,Kricketune,https://tcgplayer-cdn.tcgplayer.com/product/111509_200w.jpg,3,1701,https://cpt.tcgcsv.com/cDV,2022-12-15T16:26:18.44,1,0.14,0.5,2.0,0.52,0.75,Reverse Holofoil,6/122,Uncommon,Grass,90,Stage 1,"[1] Screech 
<br>During your next turn, any damage done to the Defending Pokemon by attacks is increased by 60 <i>(after applying Weakness and Resistance)</i>.",,Rx2,None,1,
111510,Petilil,Petilil,https://tcgplayer-cdn.tcgplayer.com/product/111510_200w.jpg,3,1701,https://cpt.tcgcsv.com/dDV,2025-02-05T21:21:03.327,1,0.02,0.15,4.0,0.11,,Normal,7/122,Common,Grass,50,Basic,"[G] Aromatherapy
<br>Heal 10 damage from each of your Pokemon.",,Rx2,None,1,
111510,Petilil,Petilil,https://tcgplayer-cdn.tcgplayer.com/product/111510_200w.jpg,3,1701,https://cpt.tcgcsv.com/dDV,2025-02-05T21:21:03.327,1,0.26,0.47,5.0,0.47,,Reverse Holofoil,7/122,Common,Grass,50,Basic,"[G] Aromatherapy
<br>Heal 10 damage from each of your Pokemon.",,Rx2,None,1,
111511,Lilligant,Lilligant,https://tcgplayer-cdn.tcgplayer.com/product/111511_200w.jpg,3,1701,https://cpt.tcgcsv.com/fDV,2026-01-29T20:48:25.467,1,0.15,0.39,4.97,0.39,,Normal,8/122,Rare,Grass,80,Stage 1,"[G] Boo-Hoo (20)
<br>If your opponent attaches an Energy card from his or her hand to the Defending Pokemon during his or her next turn, that Pokemon will be Asleep.","[2] Leaf Slice (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",Rx2,None,1,
111511,Lilligant,Lilligant,https://tcgplayer-cdn.tcgplayer.com/product/111511_200w.jpg,3,1701,https://cpt.tcgcsv.com/fDV,2026-01-29T20:48:25.467,1,0.35,0.67,2.45,0.67,0.9,Reverse Holofoil,8/122,Rare,Grass,80,Stage 1,"[G] Boo-Hoo (20)
<br>If your opponent attaches an Energy card from his or her hand to the Defending Pokemon during his or her next turn, that Pokemon will be Asleep.","[2] Leaf Slice (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",Rx2,None,1,
111512,Durant,Durant,https://tcgplayer-cdn.tcgplayer.com/product/111512_200w.jpg,3,1701,https://cpt.tcgcsv.com/gDV,2025-11-21T23:38:59.42,1,0.02,0.2,4.0,0.13,,Normal,9/122,Uncommon,Grass,70,Basic,"[G] Mountain Munch (10)
<br>Discard the top card of your opponent's deck.","[1G] Scrape Down
<br>If this Pokemon has any damage counters on it, discard the top 4 cards of your opponent's deck.",Rx2,None,1,
111512,Durant,Durant,https://tcgplayer-cdn.tcgplayer.com/product/111512_200w.jpg,3,1701,https://cpt.tcgcsv.com/gDV,2025-11-21T23:38:59.42,1,0.16,0.4,2.31,0.37,,Reverse Holofoil,9/122,Uncommon,Grass,70,Basic,"[G] Mountain Munch (10)
<br>Discard the top card of your opponent's deck.","[1G] Scrape Down
<br>If this Pokemon has any damage counters on it, discard the top 4 cards of your opponent's deck.",Rx2,None,1,
111513,Growlithe,Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/111513_200w.jpg,3,1701,https://cpt.tcgcsv.com/hDV,2025-02-05T21:21:03.373,1,0.03,0.24,4.0,0.19,,Normal,10/122,Common,Fire,70,Basic,[2] Bite (20),,Wx2,None,2,
111513,Growlithe,Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/111513_200w.jpg,3,1701,https://cpt.tcgcsv.com/hDV,2025-02-05T21:21:03.373,1,0.05,0.43,3.5,0.46,,Reverse Holofoil,10/122,Common,Fire,70,Basic,[2] Bite (20),,Wx2,None,2,
111514,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/111514_200w.jpg,3,1701,https://cpt.tcgcsv.com/jDV,2022-12-15T16:26:55.853,1,0.15,0.41,1.53,0.43,0.41,Normal,11/122,Uncommon,Fire,110,Stage 1,[1] Flop (30),"[1RR] Flamethrower (90)
<br>Discard an Energy attached to this Pokemon.",Wx2,None,2,
111514,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/111514_200w.jpg,3,1701,https://cpt.tcgcsv.com/jDV,2022-12-15T16:26:55.853,1,0.75,2.0,32.99,3.14,1.48,Reverse Holofoil,11/122,Uncommon,Fire,110,Stage 1,[1] Flop (30),"[1RR] Flamethrower (90)
<br>Discard an Energy attached to this Pokemon.",Wx2,None,2,
111515,Numel,Numel,https://tcgplayer-cdn.tcgplayer.com/product/111515_200w.jpg,3,1701,https://cpt.tcgcsv.com/kDV,2025-02-05T21:21:03.433,1,0.01,0.22,4.0,0.22,,Normal,12/122,Common,Fire,80,Basic,[1] Tackle (10),[1RR] Combustion (40),Wx2,None,3,
111515,Numel,Numel,https://tcgplayer-cdn.tcgplayer.com/product/111515_200w.jpg,3,1701,https://cpt.tcgcsv.com/kDV,2025-02-05T21:21:03.433,1,0.1,0.44,4.09,0.52,,Reverse Holofoil,12/122,Common,Fire,80,Basic,[1] Tackle (10),[1RR] Combustion (40),Wx2,None,3,
111516,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/111516_200w.jpg,3,1701,https://cpt.tcgcsv.com/lDV,2022-12-31T07:57:16.853,1,0.09,0.25,2.5,0.23,,Normal,13/122,Rare,Fire,130,Stage 1,[2] Ram (30),"[1RR] Eruption (80+)
<br>Each player discards the top card of his or her deck. This attack does 60 more damage for each Energy card discarded this way.",Wx2,None,4,
111516,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/111516_200w.jpg,3,1701,https://cpt.tcgcsv.com/lDV,2022-12-31T07:57:16.853,1,0.13,0.45,3.49,0.37,,Reverse Holofoil,13/122,Rare,Fire,130,Stage 1,[2] Ram (30),"[1RR] Eruption (80+)
<br>Each player discards the top card of his or her deck. This attack does 60 more damage for each Energy card discarded this way.",Wx2,None,4,
111517,Emboar EX,Emboar EX,https://tcgplayer-cdn.tcgplayer.com/product/111517_200w.jpg,3,1701,https://cpt.tcgcsv.com/mDV,2026-01-29T20:02:53.56,1,1.66,2.28,22.49,2.2,14.99,Holofoil,14/122,Ultra Rare,Fire,180,Basic,"[1R] Spiral Punch (20+)
<br>Flip a coin until you get tails. This attack does 20 more damage for each heads.","[2RR] Strong Flare (150)
<br>Discard 2 Energy attached to this Pokemon.",Wx2,None,3,
111518,Heatmor,Heatmor,https://tcgplayer-cdn.tcgplayer.com/product/111518_200w.jpg,3,1701,https://cpt.tcgcsv.com/nDV,2025-02-05T21:21:03.48,1,0.01,0.2,1.49,0.11,,Normal,15/122,Uncommon,Fire,100,Basic,"[R] Reinforced Flame (20+)
<br>If this Pokmeon has a Pokemon Tool card attached to it, this attack does 20 more damage.",[2R] Heat Blast (70),Wx2,None,2,
111518,Heatmor,Heatmor,https://tcgplayer-cdn.tcgplayer.com/product/111518_200w.jpg,3,1701,https://cpt.tcgcsv.com/nDV,2025-02-05T21:21:03.48,1,0.1,0.37,2.31,0.4,,Reverse Holofoil,15/122,Uncommon,Fire,100,Basic,"[R] Reinforced Flame (20+)
<br>If this Pokmeon has a Pokemon Tool card attached to it, this attack does 20 more damage.",[2R] Heat Blast (70),Wx2,None,2,
111519,Psyduck,Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/111519_200w.jpg,3,1701,https://cpt.tcgcsv.com/pDV,2025-10-31T18:34:21.02,1,0.15,0.4,19.5,0.47,0.44,Normal,16/122,Common,Water,60,Basic,[2] Stampede (20),,Gx2,None,1,
111519,Psyduck,Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/111519_200w.jpg,3,1701,https://cpt.tcgcsv.com/pDV,2025-10-31T18:34:21.02,1,8.69,19.99,39.0,3.68,,Reverse Holofoil,16/122,Common,Water,60,Basic,[2] Stampede (20),,Gx2,None,1,
111520,Golduck,Golduck,https://tcgplayer-cdn.tcgplayer.com/product/111520_200w.jpg,3,1701,https://cpt.tcgcsv.com/qDV,2025-02-05T21:21:03.527,1,0.1,0.29,1.95,0.3,,Normal,17/122,Rare,Water,100,Stage 1,"[W] Derail (20)
<br>Discard a Special Energy attached to your opponent's Active Pokemon.",[2W] Hydro Splash (70),Gx2,None,1,
111520,Golduck,Golduck,https://tcgplayer-cdn.tcgplayer.com/product/111520_200w.jpg,3,1701,https://cpt.tcgcsv.com/qDV,2025-02-05T21:21:03.527,1,0.38,0.75,2.95,0.94,,Reverse Holofoil,17/122,Rare,Water,100,Stage 1,"[W] Derail (20)
<br>Discard a Special Energy attached to your opponent's Active Pokemon.",[2W] Hydro Splash (70),Gx2,None,1,
111521,Golduck BREAK,Golduck BREAK,https://tcgplayer-cdn.tcgplayer.com/product/111521_200w.jpg,3,1701,https://cpt.tcgcsv.com/rDV,2022-12-15T16:27:38.097,1,2.29,4.43,18.84,4.61,5.96,Holofoil,18/122,Rare BREAK,Water,140,BREAK Evolution,,,None,None,0,"<em>Golduck <b>BREAK</b> retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution.</em>
<br>
<br><b>Ability — Hyper Transfer </b>
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a basic Energy from 1 of your Pokemon to another of your Pokemon."
111522,Slowpoke,Slowpoke,https://tcgplayer-cdn.tcgplayer.com/product/111522_200w.jpg,3,1701,https://cpt.tcgcsv.com/sDV,2026-01-29T21:04:05.44,1,0.01,0.24,4.0,0.23,,Normal,19/122,Common,Water,70,Basic,[1] Headbutt (10),"[2] Tail Lure
<br>Search your deck for a Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.",Gx2,None,2,
