productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3,extUPC
123446,XY Evolutions Booster Box,XY Evolutions Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/123446_200w.jpg,3,1842,https://cpt.tcgcsv.com/Xn_,2016-11-03T11:12:14.257,1,2473.49,2499.95,10000.0,1901.83,,Normal,,,,,,,,,,,,,
123447,XY Evolutions Elite Trainer Box [Mega Charizard Y],XY Evolutions Elite Trainer Box Mega Charizard Y,https://tcgplayer-cdn.tcgplayer.com/product/123447_200w.jpg,3,1842,https://cpt.tcgcsv.com/Zn_,2016-11-03T11:12:26.27,1,675.0,837.5,1000.0,571.29,,Normal,"This XY Evolutions Elite Trainer Box features Mega Charizard Y that doubles as a collector's box to store cards in. Each Elite Trainer Box comes with:
<br>
<br><b>-</b> 8 XY Evolutions Booster Packs
<br><b>-</b> 1 pack of Exclusive Mega Charizard Y themed card sleeves. <em>(Standard size)</em>
<br><b>-</b> 45 Retro Energy cards
<br><b>-</b> An Evolutions player guide
<br><b>-</b> 6 Damage counter dice
<br><b>-</b> 1 Flip coin die
<br><b>-</b> 2 acrylic condition markers",,,,,,,,,,,,
123448,XY Evolutions Elite Trainer Box [Mega Blastoise],XY Evolutions Elite Trainer Box Mega Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/123448_200w.jpg,3,1842,https://cpt.tcgcsv.com/-n_,2016-11-03T11:12:19.143,1,500.0,559.04,1000.0,503.51,,Normal,"This XY Evolutions Elite Trainer Box features Mega Blastoise that doubles as a collector's box to store cards in. Each Elite Trainer Box comes with:
<br>
<br><b>-</b> 8 XY Evolutions Booster Packs
<br><b>-</b> 1 pack of Exclusive Mega Blastoise themed card sleeves. <em>(Standard size)</em>
<br><b>-</b> 45 Retro Energy cards
<br><b>-</b> An Evolutions player guide
<br><b>-</b> 6 Damage counter dice
<br><b>-</b> 1 Flip coin die
<br><b>-</b> 2 acrylic condition markers",,,,,,,,,,,,
123449,"Evolutions Theme Deck - ""Pikachu Power"" [Pikachu]",Evolutions Theme Deck Pikachu Power Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/123449_200w.jpg,3,1842,https://cpt.tcgcsv.com/_n_,2020-06-26T19:51:01.677,1,31.58,38.48,49.95,33.68,,Normal,"This Pikachu Theme Deck includes damage counters, a custom coin, one two-player mat, a Pikachu deckbox and a TCGO deck assess code. 
<br>
<br>Focuses on Lightning and Grass type Pokemon from <a href=""http://shop.tcgplayer.com/pokemon/xy-evolutions?ProductType=All"">XY - Evolutions</a>.",,,,,,,,,,,,
123450,"Evolutions Theme Deck - ""Mewtwo Mayhem"" [Mewtwo]",Evolutions Theme Deck Mewtwo Mayhem Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/123450_200w.jpg,3,1842,https://cpt.tcgcsv.com/0p_,2018-10-03T13:09:09.233,1,39.99,54.98,99.95,35.45,,Normal,"This Mewtwo Theme Deck includes damage counters, a custom coin, one two-player mat, a Mewtwo deckbox and a TCGO deck assess code. 
<br>
<br>Focuses on Psychic-type Pokemon from <a href=""http://shop.tcgplayer.com/pokemon/xy-evolutions?ProductType=All"">XY - Evolutions</a>.",,,,,,,,,,,,
124014,Venusaur EX,Venusaur EX,https://tcgplayer-cdn.tcgplayer.com/product/124014_200w.jpg,3,1842,https://cpt.tcgcsv.com/jD_,2026-02-17T20:58:32.033,1,1.99,4.0,96.95,3.94,4.23,Holofoil,,1/108,Ultra Rare,Grass,180,Basic,"[2G] Poison Powder (60)
<br>Your opponent's Active Pokemon is now Poisoned.","[2GG] Jungle Hammer (90)
<br>Heal 30 damage from this Pokemon.",Rx2,None,4,,
124015,M Venusaur EX,M Venusaur EX,https://tcgplayer-cdn.tcgplayer.com/product/124015_200w.jpg,3,1842,https://cpt.tcgcsv.com/kD_,2026-02-10T23:21:08.52,1,5.99,12.99,4321.0,11.87,9.9,Holofoil,"When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.
<br>
<br>When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.",2/108,Ultra Rare,Grass,230,Mega,"[1GGG] Crisis Vine (120)
<br>Your opponent's Active Pokemon is now Paralyzed and Poisoned.",,Rx2,None,4,,
124016,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/124016_200w.jpg,3,1842,https://cpt.tcgcsv.com/lD_,2026-03-09T14:50:51.65,1,0.01,0.16,3.0,0.17,,Normal,,3/108,Common,Grass,40,Basic,"[G] String Shot (10)
<br>Flip a coin. If heads, the Defending Pokemon is now Paralyzed.",,Rx2,None,1,,
124016,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/124016_200w.jpg,3,1842,https://cpt.tcgcsv.com/lD_,2026-03-09T14:50:51.65,1,0.08,0.36,4.5,0.36,,Reverse Holofoil,,3/108,Common,Grass,40,Basic,"[G] String Shot (10)
<br>Flip a coin. If heads, the Defending Pokemon is now Paralyzed.",,Rx2,None,1,,
124017,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/124017_200w.jpg,3,1842,https://cpt.tcgcsv.com/mD_,2026-02-17T23:15:50.94,1,0.01,0.2,2.0,0.18,,Normal,,4/108,Uncommon,Grass,70,Stage 1,"[2] Stiffen
<br>During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 40 <i>(after applying Weakness and Resistance)</i>.","[GG] Stun Spore (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Rx2,None,2,,
124017,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/124017_200w.jpg,3,1842,https://cpt.tcgcsv.com/mD_,2026-02-17T23:15:50.94,1,0.14,0.39,15.0,0.39,,Reverse Holofoil,,4/108,Uncommon,Grass,70,Stage 1,"[2] Stiffen
<br>During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 40 <i>(after applying Weakness and Resistance)</i>.","[GG] Stun Spore (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Rx2,None,2,,
124018,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/124018_200w.jpg,3,1842,https://cpt.tcgcsv.com/nD_,2026-03-09T15:38:13.437,1,0.01,0.15,19.5,0.11,0.08,Normal,,5/108,Common,Grass,40,Basic,"[G] Poison Sting (10)
<br>Flip a coin. If heads, the Defending Pokemon is now Poisoned.",,Rx2,None,1,,
124018,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/124018_200w.jpg,3,1842,https://cpt.tcgcsv.com/nD_,2026-03-09T15:38:13.437,1,0.08,0.35,4.29,0.32,,Reverse Holofoil,,5/108,Common,Grass,40,Basic,"[G] Poison Sting (10)
<br>Flip a coin. If heads, the Defending Pokemon is now Poisoned.",,Rx2,None,1,,
