productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3
98026,XY Roaring Skies Booster Box,XY Roaring Skies Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/98026_200w.jpg,3,1534,https://cpt.tcgcsv.com/xdP,2019-08-26T13:46:42.5,1,Pokemon roaring skies 36 sealed packs per Booster box.,4500.0,5199.0,19999.99,4799.99,,Normal,,,,,,,,,,,
98028,XY Roaring Skies Elite Trainer Box,XY Roaring Skies Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/98028_200w.jpg,3,1534,https://cpt.tcgcsv.com/BdP,2015-05-05T17:40:56.74,1,,4899.99,4899.99,4899.99,4599.99,,Normal,,,,,,,,,,,
98029,"Roaring Skies Theme Deck - ""Aurora Blast"" [Articuno]",Roaring Skies Theme Deck Aurora Blast Articuno,https://tcgplayer-cdn.tcgplayer.com/product/98029_200w.jpg,3,1534,https://cpt.tcgcsv.com/CdP,2018-10-03T13:56:06.677,1,"<em>Overwhelm your opponents with the shimmering majesty of the Aurora Blast theme deck! Let the Freeze Pokemon Articuno lead the way with a Freezing Wind, while Victini paralyzes the foe with a Psy Bolt or two! Then let Salamence swoop in with Power Howl and Steam Blast to ramp up your offense. Combine these with Swellow's Delta-Plus Ancient Trait for extra Prize Cards, and you can knock out your opponent's northern lights!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,,,,,,,
98030,"Roaring Skies Theme Deck - ""Storm Rider"" [Zapdos]",Roaring Skies Theme Deck Storm Rider Zapdos,https://tcgplayer-cdn.tcgplayer.com/product/98030_200w.jpg,3,1534,https://cpt.tcgcsv.com/DdP,2018-10-03T13:58:47.577,1,"<em>The Storm Rider theme deck goes BOOM in more ways than one! Strike from above with bolts of lightning while keeping your opponent off balance with some twisty Grass-type tricks! Zapdos can bring the Raging Thunder while Dragonite makes a Heavy Impact - and picks up extra Prize cards with its Delta-Plus Ancient Trait! To really crank up the noise, call on Shedinja for a Hopeless Scream that can make your opponent howl in despair as you sound your victory cry!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",,,,,,,,,,,,,,,,,
98031,Roaring Skies 3 Pack Blister [Pangoro],Roaring Skies 3 Pack Blister Pangoro,https://tcgplayer-cdn.tcgplayer.com/product/98031_200w.jpg,3,1534,https://cpt.tcgcsv.com/FdP,2018-10-10T17:02:58.997,1,"Each blister comes with 3 XY—Roaring Skies booster packs, 1 coin, and a promotional card of Pangoro.",,,,,,,,,,,,,,,,,
98032,Roaring Skies 3 Pack Blister [Regirock],Roaring Skies 3 Pack Blister Regirock,https://tcgplayer-cdn.tcgplayer.com/product/98032_200w.jpg,3,1534,https://cpt.tcgcsv.com/GdP,2018-10-10T17:03:09.727,1,"Each blister comes with 3 XY—Roaring Skies booster packs, 1 coin, and a promotional card of Regirock.",,,,,,,,,,,,,,,,,
98037,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/98037_200w.jpg,3,1534,https://cpt.tcgcsv.com/MdP,2024-01-28T10:44:01.773,1,,0.04,0.23,10.24,0.2,0.15,Normal,1/108,Common,Grass,40,Basic,"[1] Loathe
<br>Flip a coin. If heads, switch this Pokemon with 1 of your Benched Pokemon.",[G] Ram (10),Rx2,None,1,
98037,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/98037_200w.jpg,3,1534,https://cpt.tcgcsv.com/MdP,2024-01-28T10:44:01.773,1,,0.15,0.56,2.99,0.66,,Reverse Holofoil,1/108,Common,Grass,40,Basic,"[1] Loathe
<br>Flip a coin. If heads, switch this Pokemon with 1 of your Benched Pokemon.",[G] Ram (10),Rx2,None,1,
98038,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/98038_200w.jpg,3,1534,https://cpt.tcgcsv.com/NdP,2022-12-19T20:03:30.937,1,,0.05,0.21,4.0,0.2,,Normal,2/108,Uncommon,Grass,120,Stage 1,"[G] Shake It Off (20x)
<br>This attack does 20 damage times the number of Colorless Pokemon your opponent has in play.",[2G] Seed Bomb (80),Rx2,None,3,
98038,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/98038_200w.jpg,3,1534,https://cpt.tcgcsv.com/NdP,2022-12-19T20:03:30.937,1,,0.08,0.45,4.95,0.68,0.15,Reverse Holofoil,2/108,Uncommon,Grass,120,Stage 1,"[G] Shake It Off (20x)
<br>This attack does 20 damage times the number of Colorless Pokemon your opponent has in play.",[2G] Seed Bomb (80),Rx2,None,3,
