productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
120076,Steam Siege Booster Box,Steam Siege Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/120076_200w.jpg,3,1815,https://cpt.tcgcsv.com/x2-,2016-08-04T11:44:13.83,1,1150.0,1499.95,2349.0,1118.33,,Normal,,,,,,,,,,,
120150,Talonflame BREAK,Talonflame BREAK,https://tcgplayer-cdn.tcgplayer.com/product/120150_200w.jpg,3,1815,https://cpt.tcgcsv.com/05-,2022-12-19T18:37:51.757,1,2.09,3.2,12.0,3.06,,Holofoil,21/114,Rare BREAK,Fire,170,BREAK Evolution,"<em>BREAK Evolution Rules: Talonflame BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution.</em>","[RR] Flare Blitz (150)
<br>Discard all Fire Energy attached to this Pokemon.",None,None,0,
120151,Volcanion EX,Volcanion EX,https://tcgplayer-cdn.tcgplayer.com/product/120151_200w.jpg,3,1815,https://cpt.tcgcsv.com/25-,2026-01-06T16:11:02.163,1,1.49,2.49,19.99,2.16,2.48,Holofoil,26/114,Ultra Rare,Fire Water,180,Basic,"<b>Ability — Steam Up</b>
<br>Once during your turn <em>(before your attack)</em>, you may discard a Fire Energy card from your hand. If you do, during this turn, your Basic Fire Pokemon's attacks do 30 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>.","[1RR] Volcanic Heat (130)
<br>This Pokemon can't attack during your next turn.",Wx2,None,3,
120152,Bisharp,Bisharp,https://tcgplayer-cdn.tcgplayer.com/product/120152_200w.jpg,3,1815,https://cpt.tcgcsv.com/35-,2026-02-02T18:30:06.213,1,0.34,0.66,5.0,0.93,,Holofoil,64/114,Holo Rare,Darkness Metal,100,Stage 1,,"[1] Retaliate (30+)
<br>If any of your Pokemon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 60 more damage.",Fx2,P-20,2,"[1D] Mach Claw (60]
<br>This attack's damage isn't affected by Resistance."
120152,Bisharp,Bisharp,https://tcgplayer-cdn.tcgplayer.com/product/120152_200w.jpg,3,1815,https://cpt.tcgcsv.com/35-,2026-02-02T18:30:06.213,1,0.48,1.27,4.0,1.28,1.29,Reverse Holofoil,64/114,Holo Rare,Darkness Metal,100,Stage 1,,"[1] Retaliate (30+)
<br>If any of your Pokemon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 60 more damage.",Fx2,P-20,2,"[1D] Mach Claw (60]
<br>This attack's damage isn't affected by Resistance."
120153,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/120153_200w.jpg,3,1815,https://cpt.tcgcsv.com/55-,2026-03-09T14:00:58.517,1,0.35,0.9,4.5,0.94,0.73,Normal,77/114,Uncommon,Fairy Water,100,Stage 1,,"[2] Play Rough (30+)
<br>Flip a coin. If heads, this attack does 30 more damage.",Mx2,D-20,2,"[1YY] Bubble Drain (80)
<br>Heal 30 damage from this Pokemon."
120153,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/120153_200w.jpg,3,1815,https://cpt.tcgcsv.com/55-,2026-03-09T14:00:58.517,1,5.55,11.35,19.99,9.36,,Reverse Holofoil,77/114,Uncommon,Fairy Water,100,Stage 1,,"[2] Play Rough (30+)
<br>Flip a coin. If heads, this attack does 30 more damage.",Mx2,D-20,2,"[1YY] Bubble Drain (80)
<br>Heal 30 damage from this Pokemon."
120154,Gardevoir EX,Gardevoir EX,https://tcgplayer-cdn.tcgplayer.com/product/120154_200w.jpg,3,1815,https://cpt.tcgcsv.com/65-,2026-02-17T22:53:09.75,1,2.49,4.35,96.95,4.46,5.74,Holofoil,78/114,Ultra Rare,Fairy,170,Basic,,"[1Y] Link Blast (30+)
<br>If this Pokemon and your opponent's Active Pokemon have the same amount of Energy attached to them, this attack does 70 more damage.",Mx2,D-20,2,"[1YY] Luminous Blade (120)
<br>Discard an Energy attached to this Pokemon."
120155,M Gardevoir EX,M Gardevoir EX,https://tcgplayer-cdn.tcgplayer.com/product/120155_200w.jpg,3,1815,https://cpt.tcgcsv.com/75-,2026-01-14T17:34:23.627,1,13.32,19.67,1399.0,17.4,,Holofoil,79/114,Ultra Rare,Fairy Psychic,210,Mega Evolution,,"[1Y] Despair Ray (110+)
<br>Discard as many of your Benched Pokemon as you like. This attack does 10 more damage for each Benched Pokemon you discarded this way.",Mx2,D-20,2,
120156,Talonflame,Talonflame,https://tcgplayer-cdn.tcgplayer.com/product/120156_200w.jpg,3,1815,https://cpt.tcgcsv.com/85-,2025-11-20T22:29:38.863,1,0.21,0.42,1.59,0.42,0.42,Normal,96/114,Rare,Colorless,130,Stage 2,"<b>Ability — Gale Wings</b>
<br>If this Pokemon is in your hand when you are setting up to play, you may put it face down as your Active Pokemon.","[1] Aero Blitz (40)
<br>Search your deck for up to 2 cards and put them into your hand. Shuffle your deck afterward.",Lx2,F-20,0,
