productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText,extAttack3
84270,Chespin - XY01,Chespin XY01,https://tcgplayer-cdn.tcgplayer.com/product/84270_200w.jpg,3,1451,https://cpt.tcgcsv.com/qKH,2021-10-20T12:58:05.303,1,XY01,Promo,Grass,60,Basic,[G] Vine Whip (10),[1G] Seed Bomb (20),Rx2,1,1.5,2.99,5.16,4.08,,Holofoil,,,
85410,Fennekin,Fennekin,https://tcgplayer-cdn.tcgplayer.com/product/85410_200w.jpg,3,1451,https://cpt.tcgcsv.com/dbJ,2016-06-06T14:59:40.453,1,XY02,Promo,Fire,60,Basic,[R] Scratch (10),[1R] Live Coal (20),Wx2,1,2.0,3.12,4.49,3.94,,Holofoil,,,
85568,Froakie - XY03,Froakie XY03,https://tcgplayer-cdn.tcgplayer.com/product/85568_200w.jpg,3,1451,https://cpt.tcgcsv.com/nfJ,2021-08-17T21:43:05.19,1,XY03,Promo,Water,60,Basic,[W] Pound (10),[1W] Water Drip (20),Gx2,1,4.0,5.06,11.5,7.5,,Holofoil,,,
89729,Sylveon - XY04,Sylveon XY04,https://tcgplayer-cdn.tcgplayer.com/product/89729_200w.jpg,3,1451,https://cpt.tcgcsv.com/CVK,2020-06-26T18:18:10.857,1,XY04,Promo,Fairy,90,Stage 1,"[Y] Disarming Voice (20) 
<br>Your opponent's Active Pokemon is now Confused.",[2Y] Fairy Wind (60),Mx2,1,9.9,16.79,149.99,24.11,149.99,Holofoil,D-20,,
90670,Xerneas - XY05,Xerneas XY05,https://tcgplayer-cdn.tcgplayer.com/product/90670_200w.jpg,3,1451,https://cpt.tcgcsv.com/qhL,2021-08-05T14:21:29.503,1,XY05,Promo,Fairy,130,Basic,"[Y] Geomancy
<br>Choose 2 of your Benched Pokemon.  For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon.  Shuffle your deck afterward.","[1YY] Rainbow Spear (100) 
<br>Discard an Energy attached to this Pokemon.",Mx2,2,4.0,5.99,14.99,8.18,,Holofoil,D-20,,
90673,Xerneas EX - XY07,Xerneas EX XY07,https://tcgplayer-cdn.tcgplayer.com/product/90673_200w.jpg,3,1451,https://cpt.tcgcsv.com/thL,2022-12-25T10:41:36.743,1,XY07,Promo,Fairy,170,Basic,"[2Y] Break Through (60) 
<br>This attack does 30 damage to 1 of your opponent's Benched Pokemon.  <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>","[2YY] X Blast (140) 
<br>This Pokemon can't use X Blast during your next turn.",Mx2,2,2.88,3.73,8.51,5.19,,Holofoil,D-20,,
90698,Yveltal - XY06,Yveltal XY06,https://tcgplayer-cdn.tcgplayer.com/product/90698_200w.jpg,3,1451,https://cpt.tcgcsv.com/-hL,2025-11-13T16:52:42.417,1,XY06,Promo,Darkness,130,Basic,"[D] Oblivion Wing (30) 
<br>Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokemon.","[1DD] Darkness Blade (100) Flip a coin.  If tails, this Pokemon can't attack during your next turn.",Lx2,2,5.39,9.0,117.58,11.52,12.95,Holofoil,F-20,,
90701,Yveltal EX - XY08,Yveltal EX XY08,https://tcgplayer-cdn.tcgplayer.com/product/90701_200w.jpg,3,1451,https://cpt.tcgcsv.com/2jL,2025-10-27T20:43:52.953,1,XY08,Promo,Darkness,170,Basic,[1D] Evil Ball (20+) This attack does 20 more damage times the amount of Energy attached to both Active Pokemon.,[2D] Y Cyclone (90) Move an Energy from this Pokemon to 1 of your Benched Pokemon.,Lx2,2,3.0,10.53,222.6,10.55,222.6,Holofoil,F-20,,
96369,Garchomp EX,Garchomp EX,https://tcgplayer-cdn.tcgplayer.com/product/96369_200w.jpg,3,1451,https://cpt.tcgcsv.com/pzN,2023-09-19T16:51:53.953,1,XY09,Promo,Dragon,170,Basic,"[F1] Dual Chop (30x)
<br>Flilp 2 coins. This attack does 30 damage times the number of heads.","[1WF] Power Blast (120)
<br>Discard an Energy attached to this Pokemon.",Yx2,2,3.49,8.2,18.42,12.83,,Holofoil,None,,
96370,Dragalge - XY10 (Prerelease) [Staff],Dragalge XY10 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/96370_200w.jpg,3,1451,https://cpt.tcgcsv.com/qzN,2024-04-08T15:48:02.393,1,XY10,Promo,Dragon,100,Stage 1,"[WP1] Poison Breath (60)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.",,Yx2,1,79.99,80.97,81.94,70.65,,Holofoil,None,"<strong>Ability - Poison Barrier</strong>
<br>Your opponent's Poisoned Pokemon can't retreat.",
96371,Dragalge - XY10 (Prerelease),Dragalge XY10 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/96371_200w.jpg,3,1451,https://cpt.tcgcsv.com/rzN,2024-04-08T15:47:57.2,1,XY10,Promo,Dragon,100,Stage 1,"[WP1] Poison Breath (60)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.",,Yx2,1,7.99,9.22,11.43,11.87,,Holofoil,None,"<b>Ability - Poison Barrier</b>
<br>Your opponent's Poisoned Pokemon can't retreat.",
96372,Skiddo - XY11,Skiddo XY11,https://tcgplayer-cdn.tcgplayer.com/product/96372_200w.jpg,3,1451,https://cpt.tcgcsv.com/szN,2020-06-26T18:17:36.723,1,XY11,Promo,Grass,70,Basic,"[GG] Take Down (30)
<br>This Pokemon does 10 damage to itself.",,Rx2,2,0.5,0.94,2.0,1.5,,Holofoil,None,,
96373,Honedge - XY12,Honedge XY12,https://tcgplayer-cdn.tcgplayer.com/product/96373_200w.jpg,3,1451,https://cpt.tcgcsv.com/tzN,2020-06-26T18:11:44.233,1,XY12,Promo,Grass,50,Basic,"[1] Swords Dance
<br>During your next turn, this Pokemon's Slash attack's base damage is 40.",[1M] Slash (20),Rx2,2,1.02,1.5,4.0,3.29,,Holofoil,P-20,,
96374,Machamp - XY13 (Prerelease),Machamp XY13 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/96374_200w.jpg,3,1451,https://cpt.tcgcsv.com/vzN,2024-04-08T15:48:31.037,1,XY13,Promo,Fighting,150,Stage 2,"[FFF] Machamp Crush (80)
<br>During your opponent's next turn, any damage done by attacks from Defending Pokemon is reduced by 40 <i>(before applying Weakness and Resistance)</i>.",,Px2,2,18.1,24.0,9999.0,12.59,,Holofoil,None,"<b>Ability - Fighting Fury</b>
<br>Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon. <em>(before applying Weakness and Resistance)</em>.",
96375,Machamp - XY13 (Prerelease) [Staff],Machamp XY13 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/96375_200w.jpg,3,1451,https://cpt.tcgcsv.com/wzN,2024-04-08T15:48:37.21,1,XY13,Promo,Fighting,150,Stage 2,"[FFF] Machamp Crush (80)
<br>During your opponent's next turn, any damage done by attacks from Defending Pokemon is reduced by 40 <em>(before applying Weakness and Resistance)</em>.",,Px2,2,89.99,89.99,89.99,98.33,,Holofoil,None,"<strong>Ability - Fighting Fury</strong>
<br>Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon. <em>(before applying Weakness and Resistance)</em>.",
