productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
97792,XY Trainer Kit: Bisharp & Wigglytuff,XY Trainer Kit Bisharp and Wigglytuff,https://tcgplayer-cdn.tcgplayer.com/product/97792_200w.jpg,3,1533,https://cpt.tcgcsv.com/S7P,2021-07-02T21:31:47.07,1,,,,,,,,,,,,,,,,,
98147,Fletchling,Fletchling,https://tcgplayer-cdn.tcgplayer.com/product/98147_200w.jpg,3,1533,https://cpt.tcgcsv.com/ZgP,2022-12-16T15:56:51.053,0,1/30,Common,Colorless,50,Basic,"[1] Me First
<br>Draw a card.",[2] Peck (20),Lx2,F-20,1,3.29,4.15,5.0,2.7,,Normal,
98148,Metal Energy (#2),Metal Energy 2,https://tcgplayer-cdn.tcgplayer.com/product/98148_200w.jpg,3,1533,https://cpt.tcgcsv.com/-gP,2022-12-16T15:57:04.213,0,2/30,Common,Basic Energy,,,,,,,,,,,,,,
98149,Metal Energy (#3),Metal Energy 3,https://tcgplayer-cdn.tcgplayer.com/product/98149_200w.jpg,3,1533,https://cpt.tcgcsv.com/_gP,2022-12-16T15:57:25.953,0,3/30,Common,Basic Energy,,,,,,,,,,,,,,
98150,Metal Energy (#5),Metal Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/98150_200w.jpg,3,1533,https://cpt.tcgcsv.com/0hP,2022-12-16T15:58:34.837,0,5/30,Common,Basic Energy,,,,,,,,0.75,0.75,0.75,0.2,,Normal,
98151,Metal Energy (#6),Metal Energy 6,https://tcgplayer-cdn.tcgplayer.com/product/98151_200w.jpg,3,1533,https://cpt.tcgcsv.com/2hP,2022-12-16T15:58:46.827,0,6/30,Common,Basic Energy,,,,,,,,,,,,,,
98152,Metal Energy (#7),Metal Energy 7,https://tcgplayer-cdn.tcgplayer.com/product/98152_200w.jpg,3,1533,https://cpt.tcgcsv.com/3hP,2022-12-16T15:58:59.057,0,7/30,Common,Basic Energy,,,,,,,,,,,,,,
98153,Metal Energy (#8),Metal Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/98153_200w.jpg,3,1533,https://cpt.tcgcsv.com/5hP,2022-12-16T15:59:19.39,0,8/30,Common,Basic Energy,,,,,,,,,,,,,,
98154,Metal Energy (#9),Metal Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/98154_200w.jpg,3,1533,https://cpt.tcgcsv.com/6hP,2022-12-16T15:59:29.627,0,9/30,Common,Basic Energy,,,,,,,,,,,,,,
98155,Metal Energy (#10),Metal Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/98155_200w.jpg,3,1533,https://cpt.tcgcsv.com/7hP,2022-12-16T15:59:40.343,0,10/30,Common,Basic Energy,,,,,,,,,,,,,,
98156,Metal Energy (#18),Metal Energy 18,https://tcgplayer-cdn.tcgplayer.com/product/98156_200w.jpg,3,1533,https://cpt.tcgcsv.com/8hP,2022-12-16T16:11:08.347,0,18/30,Common,Basic Energy,,,,,,,,,,,,,,
98157,Metal Energy (#22),Metal Energy 22,https://tcgplayer-cdn.tcgplayer.com/product/98157_200w.jpg,3,1533,https://cpt.tcgcsv.com/9hP,2022-12-16T16:13:02.827,0,22/30,Common,Basic Energy,,,,,,,,,,,,,,
98158,Metal Energy (#24),Metal Energy 24,https://tcgplayer-cdn.tcgplayer.com/product/98158_200w.jpg,3,1533,https://cpt.tcgcsv.com/bhP,2022-12-16T16:13:26.41,0,24/30,Common,Basic Energy,,,,,,,,,,,,,,
98159,Vigoroth (#4),Vigoroth 4,https://tcgplayer-cdn.tcgplayer.com/product/98159_200w.jpg,3,1533,https://cpt.tcgcsv.com/chP,2022-12-16T15:58:00.947,0,4/30,Common,Colorless,90,Stage 1,[1] Scratch (20),"[2] Reckless Charge (70)
<br>Flip a coin. If tails, this Pokemon does 20 damage to itself.",Fx2,None,0,0.41,1.63,4.0,1.63,,Normal,
98160,Honedge (#11),Honedge 11,https://tcgplayer-cdn.tcgplayer.com/product/98160_200w.jpg,3,1533,https://cpt.tcgcsv.com/dhP,2022-12-16T16:00:30.36,0,11/30,Common,Metal,60,Basic,[M] Pierce (10),,Rx2,P-20,2,0.36,4.0,19.96,0.25,,Normal,
98161,Bidoof,Bidoof,https://tcgplayer-cdn.tcgplayer.com/product/98161_200w.jpg,3,1533,https://cpt.tcgcsv.com/fhP,2022-12-16T16:01:01.1,0,12/30,Common,Colorless,60,Basic,"[2] Hyper Fang (40)
<br>Flip a coin. If tails, this attack does nothing.",,Fx2,None,3,,,,,,,
98162,Pawniard (#13),Pawniard 13,https://tcgplayer-cdn.tcgplayer.com/product/98162_200w.jpg,3,1533,https://cpt.tcgcsv.com/ghP,2022-12-16T16:01:28.387,0,13/30,Common,Metal,60,Basic,[M] Pierce (10),[2] Cut (20),Rx2,P-20,1,0.49,0.5,5.0,0.49,,Normal,
98163,Doublade (#14),Doublade 14,https://tcgplayer-cdn.tcgplayer.com/product/98163_200w.jpg,3,1533,https://cpt.tcgcsv.com/hhP,2022-12-16T16:09:59.62,0,14/30,Common,Metal,80,Stage 1,"[1M] Dual Blades (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",,Rx2,P-20,2,0.25,3.0,5.99,2.11,,Normal,
98164,Slakoth (#15),Slakoth 15,https://tcgplayer-cdn.tcgplayer.com/product/98164_200w.jpg,3,1533,https://cpt.tcgcsv.com/jhP,2022-12-16T16:10:29.42,0,15/30,Common,Colorless,60,Basic,"[2] Big Yawn
<br>Both Active Pokemon are now Asleep.",,Fx2,None,3,1.0,3.0,5.99,1.0,,Normal,
98165,Bisharp (#16 Non-Holo),Bisharp 16 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/98165_200w.jpg,3,1533,https://cpt.tcgcsv.com/khP,2022-12-16T16:10:36.56,0,16/30,Common,Metal,90,Stage 1,"[M] Wicked Jab (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",[2M] Metal Claw (70),Rx2,P-20,1,0.7,0.94,4.0,0.89,,Normal,
