productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
118797,XY Trainer Kit: Pikachu Libre & Suicune,XY Trainer Kit Pikachu Libre and Suicune,https://tcgplayer-cdn.tcgplayer.com/product/118797_200w.jpg,3,1796,https://cpt.tcgcsv.com/ZwZ,2021-07-02T21:34:53.817,1,"Featuring Pikachu Libre and the Water Legendary, Suicune. This Trainer Kit includes:
<br>
<br><b>-</b> Two 30-card decks, each with its own specially selected foil.
<br><b>-</b> Two guide books to teach you how to play the Pokemon TCG.
<br><b>-</b> A 2-player playmat that includes game tips and rules on the reverse side
<br><b>-</b> Damage counters and Special Condition markers
<br><b>-</b> A Pokemon designed game coin
<br><b>-</b> An illustrated deck box
<br><b>-</b> A code card for the Pokemon TCG Online",240.0,240.0,240.0,99.99,,Normal,,,,,,,,,,
118798,Glameow (1),Glameow 1,https://tcgplayer-cdn.tcgplayer.com/product/118798_200w.jpg,3,1796,https://cpt.tcgcsv.com/-wZ,2022-12-19T16:59:27.367,1,,0.1,0.25,1.0,0.26,,Normal,1/30,Common,Colorless,60,Basic,"[1] Act Cute
<br>Your opponent puts a card from his or her hand on the bottom of his or her deck.",[2] Scratch (20),Fx2,None,1
118799,Glameow (27),Glameow 27,https://tcgplayer-cdn.tcgplayer.com/product/118799_200w.jpg,3,1796,https://cpt.tcgcsv.com/_wZ,2022-12-19T17:12:01.693,1,,0.01,0.25,4.0,0.24,,Normal,27/30,Common,Colorless,60,Basic,"[1] Act Cute
<br>Your opponent puts a card from his or her hand on the bottom of his or her deck.",[2] Scratch (20),Fx2,None,1
118800,Lightning Energy (2),Lightning Energy 2,https://tcgplayer-cdn.tcgplayer.com/product/118800_200w.jpg,3,1796,https://cpt.tcgcsv.com/0xZ,2022-12-19T16:59:33.637,1,,0.05,0.25,1.24,0.08,,Normal,2/30,Common,Basic Lightning Energy,,,,,,,
118801,Lightning Energy (3),Lightning Energy 3,https://tcgplayer-cdn.tcgplayer.com/product/118801_200w.jpg,3,1796,https://cpt.tcgcsv.com/2xZ,2022-12-19T16:59:45.173,1,,0.05,0.23,0.4,0.09,,Normal,3/30,Common,Basic Lightning Energy,,,,,,,
118802,Lightning Energy (5),Lightning Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/118802_200w.jpg,3,1796,https://cpt.tcgcsv.com/3xZ,2022-12-19T17:00:16.9,1,,0.05,0.2,1.01,0.05,,Normal,5/30,Common,Basic Lightning Energy,,,,,,,
118803,Lightning Energy (6),Lightning Energy 6,https://tcgplayer-cdn.tcgplayer.com/product/118803_200w.jpg,3,1796,https://cpt.tcgcsv.com/5xZ,2022-12-19T17:00:41.713,1,,0.06,0.25,1.01,0.05,,Normal,6/30,Common,Basic Lightning Energy,,,,,,,
118804,Lightning Energy (8),Lightning Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/118804_200w.jpg,3,1796,https://cpt.tcgcsv.com/6xZ,2022-12-19T17:01:19.547,1,,0.05,0.19,1.01,0.05,,Normal,8/30,Common,Basic Lightning Energy,,,,,,,
118805,Lightning Energy (9),Lightning Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/118805_200w.jpg,3,1796,https://cpt.tcgcsv.com/7xZ,2022-12-19T17:01:42.347,1,,0.05,0.18,0.25,0.16,,Normal,9/30,Common,Basic Lightning Energy,,,,,,,
118806,Lightning Energy (10),Lightning Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/118806_200w.jpg,3,1796,https://cpt.tcgcsv.com/8xZ,2022-12-19T17:02:02.523,1,,0.08,0.25,1.01,0.08,,Normal,10/30,Common,Basic Lightning Energy,,,,,,,
