productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
97728,XY Trainer Kit: Sylveon & Noivern,XY Trainer Kit Sylveon and Noivern,https://tcgplayer-cdn.tcgplayer.com/product/97728_200w.jpg,3,1532,https://cpt.tcgcsv.com/B6P,2021-07-02T21:36:43.437,1,"XY Trainer kit comes with 2 pre-constructed half decks- Sylveon (Fairy)  and Noivern (Darkness and Psychic).  It also provides 2 guides, a coin, an exclusive deck box, and a code to unlock the cards for the Pokemon Trading Card Game Online.",,,,,,,,,,,,,,,,
97966,Fletchling (#1),Fletchling 1,https://tcgplayer-cdn.tcgplayer.com/product/97966_200w.jpg,3,1532,https://cpt.tcgcsv.com/lcP,2022-12-19T17:21:52.383,1,,1/30,Common,Colorless,50,Basic,"[1] Razor Wind (20)
<br>Flip a coin. If tails, this attack does nothing.",Lx2,F-20,1,0.3,0.59,0.99,0.35,,Normal,
97967,Fairy Energy (#2),Fairy Energy 2,https://tcgplayer-cdn.tcgplayer.com/product/97967_200w.jpg,3,1532,https://cpt.tcgcsv.com/mcP,2022-12-19T17:22:06.393,1,,2/30,Common,Basic Energy,,,,,,,0.31,0.33,0.35,0.25,,Normal,
97968,Fairy Energy (#3),Fairy Energy 3,https://tcgplayer-cdn.tcgplayer.com/product/97968_200w.jpg,3,1532,https://cpt.tcgcsv.com/ncP,2022-12-19T17:22:31.263,1,,3/30,Common,Basic Energy,,,,,,,0.18,0.4,1.51,1.08,,Normal,
97969,Switch (Sylveon),Switch Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97969_200w.jpg,3,1532,https://cpt.tcgcsv.com/pcP,2022-12-19T17:22:52.363,1,Switch your Active Pokemon with 1 of your Benched Pokemon.,4/30,Common,Item,,,,,,,0.04,0.26,2.59,0.42,,Normal,
97970,Fairy Energy (#5),Fairy Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/97970_200w.jpg,3,1532,https://cpt.tcgcsv.com/qcP,2022-12-19T17:22:58.047,1,,5/30,Common,Basic Energy,,,,,,,0.33,0.4,1.79,0.42,,Normal,
97971,Fairy Energy (#6),Fairy Energy 6,https://tcgplayer-cdn.tcgplayer.com/product/97971_200w.jpg,3,1532,https://cpt.tcgcsv.com/rcP,2022-12-19T17:23:11.803,1,,6/30,Common,Basic Energy,,,,,,,0.4,2.42,2.99,2.2,,Normal,
97972,Fairy Energy (#7),Fairy Energy 7,https://tcgplayer-cdn.tcgplayer.com/product/97972_200w.jpg,3,1532,https://cpt.tcgcsv.com/scP,2022-12-19T17:23:23.057,1,,7/30,Common,Basic Energy,,,,,,,0.23,0.23,0.23,0.35,,Normal,
97973,Fairy Energy (#8),Fairy Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/97973_200w.jpg,3,1532,https://cpt.tcgcsv.com/tcP,2022-12-19T17:23:35.323,1,,8/30,Common,Basic Energy,,,,,,,0.19,0.22,5.0,0.25,,Normal,
97974,Fairy Energy (#9),Fairy Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/97974_200w.jpg,3,1532,https://cpt.tcgcsv.com/vcP,2022-12-19T17:23:52.813,1,,9/30,Common,Basic Energy,,,,,,,0.35,2.69,5.0,0.31,,Normal,
