productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
644279,Mega Evolution Elite Trainer Box [Mega Gardevoir],Mega Evolution Elite Trainer Box Mega Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/644279_200w.jpg,3,24380,https://cpt.tcgcsv.com/CK97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br><br>

The Pokémon TCG: Mega Evolution Elite Trainer Box includes:<br>
• 9 Pokémon TCG: Mega Evolution booster packs<br>
• 1 full-art foil promo card featuring Riolu or Alakazam<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Mega Evolution expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Liv<br>",0196214114845,77.0,92.99,269.0,83.89,,Normal,,,,,,,,,,
644282,Mega Evolution Pokemon Center Elite Trainer Box (Exclusive) [Mega Lucario],Mega Evolution Pokemon Center Elite Trainer Box Exclusive Mega Lucario,https://tcgplayer-cdn.tcgplayer.com/product/644282_200w.jpg,3,24380,https://cpt.tcgcsv.com/GK97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br><br>
The Pokémon TCG: Mega Evolution Pokémon Center Elite Trainer Box includes:<br>

• 11 Pokémon TCG: Mega Evolution booster packs<br>
• 1 full-art foil promo card featuring Riolu or Alakazam with a Pokémon Center logo<br>
• 1 full-art foil promo card featuring Riolu or Alakazam<br>
• 65 card sleeves<br>
• 40 Pokémon TCG Energy cards<br>
• A player’s guide to the Mega Evolution expansion<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 1 plastic coin<br>
• A collector’s box to hold everything, with 6 dividers to keep it organized<br>
• A code card for Pokémon Trading Card Game Live",,195.01,235.0,999.0,187.14,,Normal,,,,,,,,,,
644298,Mega Evolution Booster Box,Mega Evolution Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/644298_200w.jpg,3,24380,https://cpt.tcgcsv.com/-K97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!

Each box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>",1096214136144,275.0,299.99,500.0,285.43,,Normal,,,,,,,,,,
644300,Mega Evolution Enhanced Booster Box,Mega Evolution Enhanced Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/644300_200w.jpg,3,24380,https://cpt.tcgcsv.com/0L97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!


<br><br>Each Mega Evolution booster box contains 36 booster packs.
<br>1 stamped illustration rare-style promo card featuring Bulbasaur",,270.0,300.0,999.0,288.17,,Normal,,,,,,,,,,
644351,Mega Evolution Half Booster Box,Mega Evolution Half Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/644351_200w.jpg,3,24380,https://cpt.tcgcsv.com/2M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!,br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!

<br><br>Each Scarlet & Violet— Mega Evolution half booster box contains 18 booster packs. <em>(Each pack contains 10 random cards)</em>",,,,,,,,,,,,,,,,,
644352,Mega Evolution Booster Pack,Mega Evolution Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/644352_200w.jpg,3,24380,https://cpt.tcgcsv.com/3M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!
<br><br>
Each pack contains 10 cards.",0196214136113,6.0,7.5,99.99,7.28,,Normal,,,,,,,,,,
644354,Mega Evolution Sleeved Booster Pack,Mega Evolution Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/644354_200w.jpg,3,24380,https://cpt.tcgcsv.com/6M97,2025-09-26T18:44:52.18,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br><br>

Each Mega Evolution sleeved booster pack contains 10 random cards.",0196214115637,7.0,9.0,216.0,8.67,,Normal,,,,,,,,,,
644355,Mega Evolution Sleeved Booster Pack Art Bundle [Set of 4],Mega Evolution Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/644355_200w.jpg,3,24380,https://cpt.tcgcsv.com/7M97,2025-09-26T04:11:11.67,1,"Collect each of the 4 unique art packs Mega Evolution.<br>
Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!<br>

<br>Each Mega Evolution Sleeved Booster Pack contains 10 random cards.",,32.5,36.99,67.0,34.62,,Normal,,,,,,,,,,
644356,Mega Evolution 3 Pack Blister [Golduck],Mega Evolution 3 Pack Blister Golduck,https://tcgplayer-cdn.tcgplayer.com/product/644356_200w.jpg,3,24380,https://cpt.tcgcsv.com/8M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!
<br><br>
Each blister comes with 3 Mega Evolution booster packs and a promotional card of Golduck.",0196214136106,25.0,29.99,37.0,26.75,,Normal,,,,,,,,,,
644357,Mega Evolution 3 Pack Blister [Psyduck],Mega Evolution 3 Pack Blister Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/644357_200w.jpg,3,24380,https://cpt.tcgcsv.com/9M97,2025-09-26T04:11:11.67,1,"Mega Evolve Your Strength to the Next Stage!<br>
Striving to become stronger, Pokémon of all types are putting everything on the line to become Mega Evolution Pokémon ex! Harness the strong aura of Mega Lucario ex, embrace the overflowing power of Mega Gardevoir ex, and team up with more of these powerful Pokémon that boast devastating attacks and massive HP. But consider your strategy carefully—extra power brings extra risks! Choose your Pokémon partners and prepare for the biggest battles you’ve ever seen in the Pokémon TCG: Mega Evolution expansion!
<br><br>
Each blister comes with 3 Mega Evolution booster packs and a promotional card of Psyduck.",0196214136106,27.0,34.25,99.0,31.23,,Normal,,,,,,,,,,
