productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText
684444,Chaos Rising Booster Box,Chaos Rising Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/684444_200w.jpg,3,24655,https://cpt.tcgcsv.com/VNt7,2026-03-17T17:01:36.933,2,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>• Each Chaos Rising Booster Box contains 36 booster packs <em>(contents vary by product)</em>"
684445,Chaos Rising Booster Box Case,Chaos Rising Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/684445_200w.jpg,3,24655,https://cpt.tcgcsv.com/WNt7,2026-03-17T17:02:24.063,0,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>• Each sealed Chaos Rising Booster Box Case contains 6 Booster Boxes."
684446,Chaos Rising Booster Pack,Chaos Rising Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/684446_200w.jpg,3,24655,https://cpt.tcgcsv.com/XNt7,2026-03-17T17:01:48.4,2,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>• Each sealed Chaos Rising Booster Pack contains 10 random cards <em>(contents vary by product)</em>"
684447,Chaos Rising Booster Pack Art Bundle [Set of 4],Chaos Rising Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/684447_200w.jpg,3,24655,https://cpt.tcgcsv.com/ZNt7,2026-03-17T17:01:54.193,0,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>• Collect each of the 4 unique art packs for Chaos Rising
<br>• Each sealed Chaos Rising Booster Pack contains 10 random cards <em>(contents vary by product)</em>"
684448,Chaos Rising Sleeved Booster Pack,Chaos Rising Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/684448_200w.jpg,3,24655,https://cpt.tcgcsv.com/-Nt7,2026-03-17T17:02:14.08,2,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>• Each sealed Chaos Rising Booster Pack in a cardboard guard contains 10 random cards <em>(contents vary by product)</em>"
684449,Chaos Rising Sleeved Booster Pack Art Bundle [Set of 4],Chaos Rising Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/684449_200w.jpg,3,24655,https://cpt.tcgcsv.com/_Nt7,2026-03-17T17:02:19.417,0,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>• Collect each of the 4 unique art packs for Chaos Rising
<br>• Each sealed Chaos Rising Booster Pack in a cardboard guard contains 10 random cards <em>(contents vary by product)</em>"
684450,Chaos Rising Elite Trainer Box,Chaos Rising Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/684450_200w.jpg,3,24655,https://cpt.tcgcsv.com/0Pt7,2026-03-17T17:02:00.297,1,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>The Pokémon TCG: Mega Evolution—Chaos Rising Elite Trainer Box includes:
<br>• 9 Pokémon TCG: Mega Evolution—Chaos Rising booster packs <em>(contents vary by product)</em>
<br>• 1 full-art foil promo card featuring Fennekin
<br>• 65 card sleeves
<br>• 40 Pokémon TCG Energy cards
<br>• A player’s guide to the Mega Evolution—Chaos Rising expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 1 plastic coin
<br>• A collector’s box to hold everything, with 6 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live"
684451,Chaos Rising Elite Trainer Box Case,Chaos Rising Elite Trainer Box Case,https://tcgplayer-cdn.tcgplayer.com/product/684451_200w.jpg,3,24655,https://cpt.tcgcsv.com/2Pt7,2026-03-17T17:02:05.017,0,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>Each sealed Pokémon TCG: Mega Evolution—Chaos Rising Elite Trainer Box Case contains 10 Chaos Rising Elite Trainer Boxes."
684452,Chaos Rising Pokemon Center Elite Trainer Box,Chaos Rising Pokemon Center Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/684452_200w.jpg,3,24655,https://cpt.tcgcsv.com/3Pt7,2026-03-17T17:02:09.333,1,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br><em>(coming soon)</em>"
684453,Chaos Rising Pokemon Center Elite Trainer Box Case,Chaos Rising Pokemon Center Elite Trainer Box Case,https://tcgplayer-cdn.tcgplayer.com/product/684453_200w.jpg,3,24655,https://cpt.tcgcsv.com/5Pt7,2026-03-17T17:03:13.783,0,"The hustle and bustle of the city turns into havoc as Mega Floette ex brings turmoil to the streets! Filled with courage and determination, Mega Greninja ex gathers other powerful Mega Evolution Pokémon ex, including Mega Pyroar ex and Mega Dragalge ex, to ward off this growing threat. As night falls, danger blossoms in the Pokémon TCG: Mega Evolution—Chaos Rising expansion!
<br><br>
<strong>Product Configurations:</strong>
<br>Each sealed Pokémon TCG: Mega Evolution—Chaos Rising Pokémon Center Elite Trainer Box Case contains 4 Chaos Rising Pokémon Center Elite Trainer Boxes."
