productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
270708,Pokemon GO Elite Trainer Box,Pokemon GO Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/270708_200w.jpg,3,3064,https://cpt.tcgcsv.com/bjb3,2022-07-01T04:03:10.78,1,"Gear up for battle like never before as Pokémon GO meets the Pokémon Trading Card Game! Dragonite VSTAR and Mewtwo VSTAR show off immense powers, while Melmetal VMAX in its Gigantamax form smashes the competition. Appearing as sought-after Shiny Pokémon, Radiant Venusaur, Radiant Charizard, and Radiant Blastoise bring dazzling new strategies to the battlefield. Meanwhile, the leaders of Team Instinct, Team Mystic, and Team Valor are ready to show their support in the Pokémon TCG: Pokémon GO expansion!The Pokémon TCG: Pokémon GO Elite Trainer Box includes:
<br><br>• 10 Pokémon TCG: Pokémon GO booster packs
<br>• 1 foil promo card featuring Mewtwo V
<br>• 65 card sleeves featuring Mewtwo
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Pokémon GO expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic VSTAR marker
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",820650850509,112.0,149.99,999.99,125.93,,Normal,,,,,,,,,,
270709,Pokemon GO Pokemon Center Elite Trainer Box Plus (Exclusive),Pokemon GO Pokemon Center Elite Trainer Box Plus Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/270709_200w.jpg,3,3064,https://cpt.tcgcsv.com/cjb3,2022-07-29T04:03:24.727,1,"This Pokémon TCG: Pokémon GO Pokémon Center Elite Trainer Box Plus can be found only at Pokémon Center and comes with exclusive accessories—a deck box, metal dice, metal coin, and metal condition markers—plus 12 booster packs (two more than in a standard Pokémon GO Elite Trainer Box).
<br><br>• 12 Pokémon TCG: Pokémon GO booster packs
<br>• 1 full-art foil promo card featuring Mewtwo V
<br>• 65 card sleeves featuring Mewtwo
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Pokémon GO expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic VSTAR marker
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",,178.0,249.99,1799.99,188.34,,Normal,,,,,,,,,,
270713,Pokemon GO Special Collection - Team Instinct,Pokemon GO Special Collection Team Instinct,https://tcgplayer-cdn.tcgplayer.com/product/270713_200w.jpg,3,3064,https://cpt.tcgcsv.com/hjb3,2022-07-01T04:03:10.78,1,"Nothing beats exploring the world with your teammates by your side! Proudly let other Trainers know which team you’re on with the eye-catching pin in this collection. You’ll also find your favorite team leader as a playable Supporter card that helps you draw cards and get Energy into play, as well as a stack of booster packs from the special Pokémon GO expansion.
<br>Each Pokémon TCG: Pokémon GO Special Team Collection includes:
<br>• A full-art foil promo card featuring Spark, Blanche, or Candela
<br>• A deluxe pin featuring the emblem of Team Instinct, Team Mystic, or Team Valor
<br>• 6 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,81.0,210.0,7200.0,58.16,,Normal,,,,,,,,,,
270714,Pokemon GO Special Collection - Team Mystic,Pokemon GO Special Collection Team Mystic,https://tcgplayer-cdn.tcgplayer.com/product/270714_200w.jpg,3,3064,https://cpt.tcgcsv.com/jjb3,2022-07-01T04:03:10.78,1,"Nothing beats exploring the world with your teammates by your side! Proudly let other Trainers know which team you’re on with the eye-catching pin in this collection. You’ll also find your favorite team leader as a playable Supporter card that helps you draw cards and get Energy into play, as well as a stack of booster packs from the special Pokémon GO expansion.
<br>Each Pokémon TCG: Pokémon GO Special Team Collection includes:
<br>• A full-art foil promo card featuring Spark, Blanche, or Candela
<br>• A deluxe pin featuring the emblem of Team Instinct, Team Mystic, or Team Valor
<br>• 6 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,237.0,237.0,237.0,63.77,,Normal,,,,,,,,,,
270715,Pokemon GO Special Collection - Team Valor,Pokemon GO Special Collection Team Valor,https://tcgplayer-cdn.tcgplayer.com/product/270715_200w.jpg,3,3064,https://cpt.tcgcsv.com/kjb3,2022-07-01T04:03:10.78,1,"Nothing beats exploring the world with your teammates by your side! Proudly let other Trainers know which team you’re on with the eye-catching pin in this collection. You’ll also find your favorite team leader as a playable Supporter card that helps you draw cards and get Energy into play, as well as a stack of booster packs from the special Pokémon GO expansion.
<br>Each Pokémon TCG: Pokémon GO Special Team Collection includes:
<br>• A full-art foil promo card featuring Spark, Blanche, or Candela
<br>• A deluxe pin featuring the emblem of Team Instinct, Team Mystic, or Team Valor
<br>• 6 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,210.0,223.5,237.0,66.3,,Normal,,,,,,,,,,
270716,Pokemon GO Collection [Alolan Exeggutor V],Pokemon GO Collection Alolan Exeggutor V,https://tcgplayer-cdn.tcgplayer.com/product/270716_200w.jpg,3,3064,https://cpt.tcgcsv.com/ljb3,2022-07-01T04:03:10.78,1,"Growing taller and stronger in the tropical sunshine, Alolan Exeggutor V surveys its surroundings and then swings in to strike! This powerful Grass-type Pokémon makes it easy to get Energy into play so you can land a big hit. Here you’ll find a ready-to-play copy of Alolan Exeggutor V, plus an oversize version to show off in your collection, as well as a handful of booster packs from the special Pokémon GO expansion.
<br>The Pokémon TCG: Pokémon GO Collection—Alolan Exeggutor V includes:
<br>• A foil promo card featuring Alolan Exeggutor V
<br>• An oversize foil card featuring Alolan Exeggutor V
<br>• 4 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",820650870545,35.99,39.75,164.0,35.98,,Normal,,,,,,,,,,
270717,Pokemon GO Premium Collection [Radiant Eevee],Pokemon GO Premium Collection Radiant Eevee,https://tcgplayer-cdn.tcgplayer.com/product/270717_200w.jpg,3,3064,https://cpt.tcgcsv.com/mjb3,2022-07-01T04:03:10.78,1,"A Shining Smile & Fluffy Fur—Radiant Eevee Is Here!
<br>With their unique coloration, Shiny Pokémon are usually tough to find, but the adorable Radiant Eevee is eager to join your team in this collection filled with tons of treasures! In addition to a playable foil card featuring Radiant Eevee, you also get a glossy enamel pin and a playmat that shows off beautiful artwork of this rare Pokémon. Then, find even more awesome Pokémon and Trainer cards in a stack of Pokémon GO booster packs!
<br>The Pokémon TCG: Pokémon GO Premium Collection—Radiant Eevee includes:
<br>• A foil promo card featuring Radiant Eevee
<br>• A deluxe pin featuring Radiant Eevee
<br>• A playmat with artwork featuring Radiant Eevee
<br>• 8 Pokémon GO booster packs
<br>• A code card for Pokémon TCG Live",,90.0,129.99,999.0,98.57,,Normal,,,,,,,,,,
270728,Pokemon GO Mini Tin [Magikarp],Pokemon GO Mini Tin Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/270728_200w.jpg,3,3064,https://cpt.tcgcsv.com/Bjb3,2022-08-05T04:03:07.72,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all five!”",0820650850462,54.99,54.99,54.99,25.63,,Normal,,,,,,,,,,
270729,Pokemon GO Mini Tin [Blissey],Pokemon GO Mini Tin Blissey,https://tcgplayer-cdn.tcgplayer.com/product/270729_200w.jpg,3,3064,https://cpt.tcgcsv.com/Cjb3,2022-08-05T04:03:07.72,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all five!”",0820650850462,24.99,27.0,49.99,26.34,,Normal,,,,,,,,,,
270730,Pokemon GO Mini Tin [Pikachu],Pokemon GO Mini Tin Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/270730_200w.jpg,3,3064,https://cpt.tcgcsv.com/Djb3,2022-08-05T04:03:07.72,1,"Each mini tin comes with two booster packs, a metallic Pokemon coin, and “a Pokemon art card showing the art from this Mini Tin — you can collect and combine all five!”",0820650850462,23.84,37.99,64.95,24.26,,Normal,,,,,,,,,,
