productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
164296,Forbidden Light Booster Box,Forbidden Light Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/164296_200w.jpg,3,2209,https://cpt.tcgcsv.com/XKk2,2018-04-05T18:29:56.94,1,"Each booster box contains 36 packs. Each pack contains 10 cards.
<br>Taking the Pokemon world by surprise, Necrozma has absorbed a Legendary Pokemon and taken on a new form as Ultra Necrozma-GX! Other Pokemon gather to welcome this new light...or to resist it. Lucario-GX, Greninja-GX, Zygarde-GX, Yveltal-GX, Naganadel-GX, even Volcanion and the majestic Arceus must choose a side. Discover awesome Pokemon and mysterious treasures in the Pokemon TCG: Sun & Moon - Forbidden Light expansion!
<br>
<br><strong>Details:</strong> 
<br>• Over 130 cards 
<br>• 5 Prism Star cards featuring a new game mechanic 
<br>• 8 Pokemon-GX and 6 Ultra Beasts 
<br>• 15 Trainer cards and 2 Special Energy cards",0820650814211,1398.0,1595.99,1999.97,1401.67,,Normal,,,,,,,,,,,
164297,Forbidden Light Booster Pack,Forbidden Light Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/164297_200w.jpg,3,2209,https://cpt.tcgcsv.com/ZKk2,2018-04-05T18:36:33.897,1,"Each pack contains 10 cards.
<br>Taking the Pokemon world by surprise, Necrozma has absorbed a Legendary Pokemon and taken on a new form as Ultra Necrozma-GX! Other Pokemon gather to welcome this new light...or to resist it. Lucario-GX, Greninja-GX, Zygarde-GX, Yveltal-GX, Naganadel-GX, even Volcanion and the majestic Arceus must choose a side. Discover awesome Pokemon and mysterious treasures in the Pokemon TCG: Sun & Moon - Forbidden Light expansion!
<br>
<br><strong>Set Details:</strong> 
<br>• Over 130 cards 
<br>• 5 Prism Star cards featuring a new game mechanic 
<br>• 8 Pokemon-GX and 6 Ultra Beasts 
<br>• 15 Trainer cards and 2 Special Energy cards",,40.0,43.99,51.97,35.49,,Normal,,,,,,,,,,,
164298,Forbidden Light 3 Pack Blister [Garbodor],Forbidden Light 3 Pack Blister Garbodor,https://tcgplayer-cdn.tcgplayer.com/product/164298_200w.jpg,3,2209,https://cpt.tcgcsv.com/-Kk2,2018-10-10T15:13:55.873,1,"3 Pack Blister includes 3 Sun & Moon Forbidden Light Booster Packs, a promotional foil Garbodor, and a collectible Pokemon coin! Each pack contains 10 cards.",,,,,,,,,,,,,,,,,,
164299,Forbidden Light 3 Pack Blister [Regigigas],Forbidden Light 3 Pack Blister Regigigas,https://tcgplayer-cdn.tcgplayer.com/product/164299_200w.jpg,3,2209,https://cpt.tcgcsv.com/_Kk2,2018-10-10T15:14:00.44,1,"3 Pack Blister includes 3 Sun & Moon Forbidden Light Booster Packs, a promotional foil Regigigas, and a collectible Pokemon coin! Each pack contains 10 cards.",,,,,,,,,,,,,,,,,,
164300,Forbidden Light Sleeved Booster Pack,Forbidden Light Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/164300_200w.jpg,3,2209,https://cpt.tcgcsv.com/0Lk2,2021-07-23T13:16:56.1,1,"Each pack contains 10 cards.
<br>Taking the Pokemon world by surprise, Necrozma has absorbed a Legendary Pokemon and taken on a new form as Ultra Necrozma-GX! Other Pokemon gather to welcome this new light...or to resist it. Lucario-GX, Greninja-GX, Zygarde-GX, Yveltal-GX, Naganadel-GX, even Volcanion and the majestic Arceus must choose a side. Discover awesome Pokemon and mysterious treasures in the Pokemon TCG: Sun & Moon - Forbidden Light expansion!
<br>
<br><strong>Set Details:</strong> 
<br>• Over 130 cards 
<br>• 5 Prism Star cards featuring a new game mechanic 
<br>• 8 Pokemon-GX and 6 Ultra Beasts 
<br>• 15 Trainer cards and 2 Special Energy cards",,,,,,,,,,,,,,,,,,
164301,Forbidden Light Single Pack Blister [Exeggcute],Forbidden Light Single Pack Blister Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/164301_200w.jpg,3,2209,https://cpt.tcgcsv.com/2Lk2,2022-03-16T13:21:44.177,1,"Each blister comes with a booster pack containing 10 cards, a promotional foil Exeggcute, and a collectible Pokemon coin!",,72.0,72.0,72.0,,,Normal,,,,,,,,,,,
164302,Forbidden Light Single Pack Blister [Rockruff],Forbidden Light Single Pack Blister Rockruff,https://tcgplayer-cdn.tcgplayer.com/product/164302_200w.jpg,3,2209,https://cpt.tcgcsv.com/3Lk2,2022-03-16T13:21:48.27,1,"Each blister comes with a booster pack containing 10 cards, a promotional foil Rockruff, and a collectible Pokemon coin!",,72.0,72.0,72.0,,,Normal,,,,,,,,,,,
164303,Forbidden Light Elite Trainer Box,Forbidden Light Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/164303_200w.jpg,3,2209,https://cpt.tcgcsv.com/5Lk2,2018-04-05T19:18:20.363,1,"Necrozma’s Power Knows No Limits!
<br>
<br>Taking the Pokemon world by surprise, Necrozma has absorbed a Legendary Pokemon and taken on a new form as Ultra Necrozma-GX! Other Pokemon gather to welcome this new light...or to resist it. Lucario-GX, Greninja-GX, Zygarde-GX, Yveltal-GX, Naganadel-GX, even Volcanion and the majestic Arceus must choose a side. Discover awesome Pokemon.
<br>
<br><strong>Elite Trainer Box includes:</strong>
<br>• 8 Pokemon TCG: Sun & Moon - Forbidden Light booster packs 
<br>• 65 card sleeves featuring Ultra Necrozma! 
<br>• 45 Pokemon TCG Energy cards 
<br>• A player’s guide to the Sun & Moon - Forbidden Light expansion 
<br>• 6 damage-counter dice 
<br>• 1 competition-legal coin-flip die 
<br>• 2 acrylic condition markers and 1 acrylic GX marker 
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized 
<br>• A code card for the Pokemon Trading Card Game Online",0820650804335,898.0,3999.0,4999.99,638.49,,Normal,,,,,,,,,,,
164314,Dawn Wings Necrozma Premium Collection,Dawn Wings Necrozma Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/164314_200w.jpg,3,2209,https://cpt.tcgcsv.com/jLk2,2018-04-06T13:09:09.327,1,"Dawn Wings Necrozma Premium Collection includes:
<br>• Never-before-seen foil promo cards of Dawn Wings Necrozma (SM123) and Dusk Mane Necrozma (SM124).
<br>• Jumbo foil Dawn Wings Necrozma-GX
<br>• Figurine of Dawn Wings Necrozma
<br>• Pin of Dawn Wings Necrozma
<br>• Five booster packs
<br>• Code Card",,,,,,,,,,,,,,,,,,
164315,Dusk Mane Necrozma Premium Collection,Dusk Mane Necrozma Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/164315_200w.jpg,3,2209,https://cpt.tcgcsv.com/kLk2,2018-05-09T20:23:14.71,1,"Dusk Mane Necrozma Premium Collection includes:
<br>• Never-before-seen foil promo cards of Dawn Wings Necrozma (SM123) and Dusk Mane Necrozma (SM124).
<br>• Jumbo foil Dusk Mane Necrozma-GX
<br>• Figurine of Dusk Mane Necrozma
<br>• Pin of Dusk Mane Necrozma
<br>• Five booster packs
<br>• Code Card",,,,,,,,,,,,,,,,,,
169414,Forces of Nature GX Premium Collection,Forces of Nature GX Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/169414_200w.jpg,3,2209,https://cpt.tcgcsv.com/jNm2,2018-06-25T18:43:17.647,1,"Releasing on July 6 is the Forces of Nature GX Premium Collection. 
<br><br><strong> Contents:</strong>
<br>• Never-before-seen foil promo card featuring Tornadus-GX, 
<br>• Never-before seen foil promo card of Thundurus-GX, 
<br>• A collector’s pin and coin featuring Landorus, 
<br>• An oversize foil card will all three Legendary Pokemon pictured, 
<br>• 6 Pokemon TCG Booster Packs, 
<br>• A code card for the online trading card game.",0820650805073,361.0,372.5,384.0,,,Normal,,,,,,,,,,,
267041,Forbidden Light Booster Pack Art Bundle [Set of 4],Forbidden Light Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/267041_200w.jpg,3,2209,https://cpt.tcgcsv.com/RQ83,2022-06-07T19:52:22.707,1,"Collect each of the 4 unique art packs for Sun & Moon—Forbidden Light.
<br>Each Sun & Moon—Forbidden Light booster pack contains 10 random cards.",,139.68,139.68,139.68,139.84,,Normal,,,,,,,,,,,
641117,Forbidden Light 3-Card Booster Pack,Forbidden Light 3 Card Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/641117_200w.jpg,3,2209,https://cpt.tcgcsv.com/ms87,2025-07-01T16:35:09.217,1,"Each pack contains 3 cards.
<br>Taking the Pokemon world by surprise, Necrozma has absorbed a Legendary Pokemon and taken on a new form as Ultra Necrozma-GX! Other Pokemon gather to welcome this new light...or to resist it. Lucario-GX, Greninja-GX, Zygarde-GX, Yveltal-GX, Naganadel-GX, even Volcanion and the majestic Arceus must choose a side. Discover awesome Pokemon and mysterious treasures in the Pokemon TCG: Sun & Moon - Forbidden Light expansion!
<br>
<br><strong>Set Details:</strong> 
<br>• Over 130 cards 
<br>• 5 Prism Star cards featuring a new game mechanic 
<br>• 8 Pokemon-GX and 6 Ultra Beasts 
<br>• 15 Trainer cards and 2 Special Energy cards",0820650804311,,,,,,,,,,,,,,,,,
