productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3,extUPC
175509,Lost Thunder Booster Box,Lost Thunder Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/175509_200w.jpg,3,2328,https://cpt.tcgcsv.com/cdq2,2018-10-30T14:21:38.883,1,"Travel to the forested hills, where the fragrance of incense from ancient shrines and the sparks of high-voltage Pokemon fill the air!
<br>
The Sun & Moon—Lost Thunder expansion fuses the new with the traditional, featuring Celebi Prism Star and Ditto Prism Star, plus Blacephalon GX, Lugia GX, Tyranitar GX, and the newest Mythical Pokemon, Zeraora GX! Call down the big thunder and charge up your deck with the high-powered Pokemon in the Sun & Moon- Lost Thunder expansion!
<br><br>Includes 36 Sun & Moon—Lost Thunder booster packs, each containing 10 cards and 1 basic Energy",1450.0,1872.5,4897.95,1667.49,,Normal,,,,,,,,,,,,
175510,Lost Thunder Booster Pack,Lost Thunder Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/175510_200w.jpg,3,2328,https://cpt.tcgcsv.com/ddq2,2018-09-21T19:19:58.403,1,"Travel to the forested hills, where the fragrance of incense from ancient shrines and the sparks of high-voltage Pokemon fill the air!
<br>
The Sun & Moon—Lost Thunder expansion fuses the new with the traditional, featuring Celebi Prism Star and Ditto Prism Star, plus Blacephalon GX, Lugia GX, Tyranitar GX, and the newest Mythical Pokemon, Zeraora GX! Call down the big thunder and charge up your deck with the high-powered Pokemon in the Sun & Moon- Lost Thunder expansion!
<br><br>Each booster pack contains 10 random cards.",39.76,43.98,65.0,41.07,,Normal,,,,,,,,,,,,
175511,Lost Thunder Elite Trainer Box,Lost Thunder Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/175511_200w.jpg,3,2328,https://cpt.tcgcsv.com/fdq2,2018-09-07T11:51:40.917,1,"Travel to the forested hills, where the fragrance of incense from ancient shrines and the sparks of high-voltage Pokemon fill the air!
<br>
The Sun & Moon—Lost Thunder expansion fuses the new with the traditional, featuring Celebi Prism Star and Ditto Prism Star, plus Blacephalon GX, Lugia GX, Tyranitar GX, and the newest Mythical Pokemon, Zeraora GX! Call down the big thunder and charge up your deck with the high-powered Pokemon in the Sun & Moon- Lost Thunder expansion!
<br><br>Each elite trainer box contains:
<br>• 8 Lost Thunder booster packs <em>(each containing 10 random cards)</em>
<br>• Exclusive 65 card sleeve pack featuring Zeraora
<br>• A pack of 45 Basic Energy cards to get you started
<br>• A player's guide
<br>• 6 sided-dice to track damage
<br>• 1 flip coin
<br>• 3 acrylic markers (2 condition markers and 1 GX marker)
<br>• Box doubles as a collector's box to hold everything <em>(including 4 dividers to help organize)</em>
<br>• 1 code card for the Pokémon Trading Card Game Online",725.0,795.47,899.99,655.55,,Normal,,,,,,,,,,,,
177864,Island Guardians GX Premium Collection,Island Guardians GX Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/177864_200w.jpg,3,2328,https://cpt.tcgcsv.com/j9r2,2018-10-10T12:31:37.247,1,"The Island Guardians watch over the Alola region and stand ready for battle in the Pokemon TCG: Island Guardians GX Premium Collection! Two of those powerful Pokémon are ready to join your team as playable Pokémon GX, with amazing GX attacks to turn the tide in your favor. What's more, this collection includes a beautiful playmat for your next tournament game, as well as a huge oversize card featuring Tapu Lele GX, suitable for adding a little tropical sunshine to any Trainer's home or office!
<br><br>
<strong>Contents:</strong>:
<br>• 1 foil promo card featuring Tapu Lele GX
<br>• 1 foil promo card featuring Tapu Fini GX
<br>• A colorful playmat featuring all four Island Guardians
<br>• 8 Pokémon TCG booster packs
<br>• A bright metallic Tapu Lele coin
<br>• A foil oversize card featuring Tapu Lele GX
<br>• A code card for the Pokémon Trading Card Game Online",549.99,550.0,579.97,,,Normal,,,,,,,,,,,,
177904,Lost Thunder 3 Pack Blister [Altaria],Lost Thunder 3 Pack Blister Altaria,https://tcgplayer-cdn.tcgplayer.com/product/177904_200w.jpg,3,2328,https://cpt.tcgcsv.com/6br2,2018-10-15T13:42:16.47,1,"Each blister contains 3 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Altaria.",210.0,210.0,210.0,,,Normal,,,,,,,,,,,,
177905,Lost Thunder 3 Pack Blister [Alolan Exeggutor],Lost Thunder 3 Pack Blister Alolan Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/177905_200w.jpg,3,2328,https://cpt.tcgcsv.com/7br2,2018-10-15T13:42:19.893,1,"Each blister contains 3 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Exeggutor.",,,,,,,,,,,,,,,,,,
177906,Lost Thunder Single Pack Blister [Salandit],Lost Thunder Single Pack Blister Salandit,https://tcgplayer-cdn.tcgplayer.com/product/177906_200w.jpg,3,2328,https://cpt.tcgcsv.com/8br2,2018-10-15T13:42:08.14,1,"Each blister contains 1 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Exeggutor.",125.0,125.0,125.0,,,Normal,,,,,,,,,,,,
177907,Lost Thunder Single Pack Blister [Rowlett],Lost Thunder Single Pack Blister Rowlett,https://tcgplayer-cdn.tcgplayer.com/product/177907_200w.jpg,3,2328,https://cpt.tcgcsv.com/9br2,2018-10-15T13:42:11.543,1,"Each blister contains 1 Sun & Moon—Lost Thunder booster packs, a coin, and a promotional card of Rowlett.",81.99,99.99,120.0,56.67,,Normal,,,,,,,,,,,,
179423,Lost Thunder Build & Battle Box,Lost Thunder Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/179423_200w.jpg,3,2328,https://cpt.tcgcsv.com/tNr2,2024-12-23T18:10:41.617,1,"Each Pokémon TCG: Sun & Moon—Lost Thunder prerelease kit include: 
<br>• A 23-card Evolution pack featuring key cards from current and prior sets, including 1 of 4 alternate-art promo cards 
<br>• 4 Pokémon TCG: Sun & Moon—Lost Thunder booster packs 
<br>• 1 deck-building tip sheet",150.0,200.0,205.0,160.0,,Normal,,,,,,,,,,,,
180518,Fall 2018 Collector Chest,Fall 2018 Collector Chest,https://tcgplayer-cdn.tcgplayer.com/product/180518_200w.jpg,3,2328,https://cpt.tcgcsv.com/nds2,2018-11-15T14:03:32.58,1,"Battle on the go with the Pokemon TCG: Collector Chest! This sturdy metal case contains more than a dozen Pokemon goodies, including awesome foil promo cards featuring the Legendary Kanto trio Articuno, Zapdos, and Moltres, and other cool stuff not found anywhere else. The Collector Chest includes a notepad and pencils so you can take notes in your next big match! Wherever you go, you'll be ready to battle with the Pokemon TCG: Collector Chest.
<br>
<br>Each Collector Chest comes with:
<br>• 5 Pokemon TCG booster packs
<br>• 3 holofoil promo cards of Articuno, Zapdos, and Moltres
<br>• 1 collectible coin
<br>• 2 colorful sticker sheets
<br>• 1 mini portfolio
<br>• A notepad and 4 pencils
<br>• 1 Pokemon Trading Card Game Online code card",,,,,,,,,,,,,,,,,,
181707,Island Guardians GX Premium Pin Collection,Island Guardians GX Premium Pin Collection,https://tcgplayer-cdn.tcgplayer.com/product/181707_200w.jpg,3,2328,https://cpt.tcgcsv.com/9Js2,2018-12-06T19:27:48.117,1,"The Island Guardians watch over the Alola region and stand ready for battle in the Pokemon TCG: Island Guardians GX Premium Collection! Two of those powerful Pokémon are ready to join your team as playable Pokémon GX, with amazing GX attacks to turn the tide in your favor. What's more, this collection includes a beautiful playmat for your next tournament game, as well as a huge oversize card featuring Tapu Lele GX, suitable for adding a little tropical sunshine to any Trainer's home or office!
<br><br>
<strong>Contents:</strong>:
<br>• 1 foil promo card featuring Tapu Lele GX
<br>• 1 foil promo card featuring Tapu Fini GX
<br>• A colorful playmat featuring all four Island Guardians
<br>• 8 Pokémon TCG booster packs
<br>• A bright metallic Tapu Lele coin
<br>• 4 collectible pins of Tapu Fini, Tapu Bulu, Tapu Lele & Tapu Koko
<br>• A foil oversize card featuring Tapu Lele GX
<br>• A code card for the Pokémon Trading Card Game Online
<br>
<br><em>(Target Exclusive product.)</em>",400.0,400.0,400.0,,,Normal,,,,,,,,,,,,
181708,Flareon GX Special Collection,Flareon GX Special Collection,https://tcgplayer-cdn.tcgplayer.com/product/181708_200w.jpg,3,2328,https://cpt.tcgcsv.com/bJs2,2018-12-06T19:35:02.093,1,"Each Flareon GX Special Collection contains:
<br>• 1 holofoil promo card featuring Flareon GX
<br>• 1 holofoil promo card featuring Eevee GX
<br>• 1 holofoil jumbo card featuring Flareon GX
<br>• 5 Pokémon TCG booster packs
<br>• 1 code card for the Pokémon Trading Card Game Online",584.0,584.0,584.0,,,Normal,,,,,,,,,,,,
181709,Jolteon GX Special Collection,Jolteon GX Special Collection,https://tcgplayer-cdn.tcgplayer.com/product/181709_200w.jpg,3,2328,https://cpt.tcgcsv.com/cJs2,2018-12-06T19:36:05.737,1,"Each Jolteon GX Special Collection contains:
<br>• 1 holofoil promo card featuring Jolteon GX
<br>• 1 holofoil promo card featuring Eevee GX
<br>• 1 holofoil jumbo card featuring Jolteon GX
<br>• 5 Pokémon TCG booster packs
<br>• 1 code card for the Pokémon Trading Card Game Online",585.01,585.01,585.01,240.0,,Normal,,,,,,,,,,,,
