productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
229276,Battle Styles Booster Pack,Battle Styles Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/229276_200w.jpg,3,2765,https://cpt.tcgcsv.com/xKR2,2021-03-19T04:03:23.62,1,Each Battle Styles booster pack contains 10 random cards.,5.0,8.4,201.25,8.13,,Normal,,,,,,,,,,,
229277,Battle Styles Booster Box,Battle Styles Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/229277_200w.jpg,3,2765,https://cpt.tcgcsv.com/zKR2,2021-03-19T04:03:23.62,1,Each Battle Styles booster box contains 36 booster packs. <em>(each pack contains 10 random cards)</em>,259.97,320.0,1100.0,260.19,,Normal,0820650818189,,,,,,,,,,
229278,Battle Styles Build & Battle Box,Battle Styles Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/229278_200w.jpg,3,2765,https://cpt.tcgcsv.com/BKR2,2021-04-14T13:00:13.227,1,"<strong>Build & Battle Box contents:</strong>
<br>• 23-card Evolution pack featuring key cards from current and prior expansions <em>(including 1 of 4 alternate-art promo cards)</em>
<br>• 4 Battle Styles booster packs
<br>• 1 deck-building tip sheet",50.0,55.96,60.0,48.56,,Normal,0820650808326,,,,,,,,,,
229279,Battle Styles Build & Battle Box Display,Battle Styles Build and Battle Box Display,https://tcgplayer-cdn.tcgplayer.com/product/229279_200w.jpg,3,2765,https://cpt.tcgcsv.com/CKR2,2023-05-03T19:15:36.807,1,"Each display contains 10 Battle Styles Build & Battle Boxes.
<br><strong>Build & Battle Box contents:</strong>
<br>• 23-card Evolution pack featuring key cards from current and prior expansions <em>(including 1 of 4 alternate-art promo cards)</em>
<br>• 4 Battle Styles booster packs
<br>• 1 deck-building tip sheet",485.0,499.48,500.0,396.85,,Normal,0820650818325,,,,,,,,,,
229280,Battle Styles Single Pack Blister [Charmander],Battle Styles Single Pack Blister Charmander,https://tcgplayer-cdn.tcgplayer.com/product/229280_200w.jpg,3,2765,https://cpt.tcgcsv.com/DKR2,2021-03-19T04:03:23.62,1,"Each blister comes with 1 Battle Styles booster pack, a coin, and a promotional card of Charmander.",26.95,33.47,39.99,16.4,,Normal,,,,,,,,,,,
229281,Battle Styles Single Pack Blister [Arrokuda],Battle Styles Single Pack Blister Arrokuda,https://tcgplayer-cdn.tcgplayer.com/product/229281_200w.jpg,3,2765,https://cpt.tcgcsv.com/FKR2,2021-09-14T12:11:42.657,1,"Each blister comes with 1 Battle Styles booster pack, a coin, and a promotional card of Arrokuda.",9.0,11.44,11.95,9.6,,Normal,,,,,,,,,,,
229282,Battle Styles 3 Pack Blister [Jolteon],Battle Styles 3 Pack Blister Jolteon,https://tcgplayer-cdn.tcgplayer.com/product/229282_200w.jpg,3,2765,https://cpt.tcgcsv.com/GKR2,2021-03-19T04:03:23.62,1,"Each 3 Pack blister comes with 3 Battle Styles booster packs, 1 coin, and a promotional card of Jolteon.",37.95,42.0,60.0,36.97,,Normal,820650828324,,,,,,,,,,
229283,Battle Styles 3 Pack Blister [Eevee],Battle Styles 3 Pack Blister Eevee,https://tcgplayer-cdn.tcgplayer.com/product/229283_200w.jpg,3,2765,https://cpt.tcgcsv.com/HKR2,2021-03-19T04:03:23.62,1,"Each 3 Pack blister comes with 3 Battle Styles booster packs, 1 coin, and a promotional card of Eevee.",12.99,35.63,50.0,27.63,,Normal,820650828324,,,,,,,,,,
229284,Battle Styles Elite Trainer Box [Single Strike Urshifu] (Red),Battle Styles Elite Trainer Box Single Strike Urshifu Red,https://tcgplayer-cdn.tcgplayer.com/product/229284_200w.jpg,3,2765,https://cpt.tcgcsv.com/JKR2,2021-03-19T04:03:23.62,1,"THE POKÉMON TCG: SWORD & SHIELD — BATTLE STYLES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield — Battle Styles booster packs
<br>• 65 card sleeves featuring Gigantamax Single Strike Urshifu 
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield — Battle Styles expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",85.0,100.0,150.0,81.78,,Normal,0820650808357,,,,,,,,,,
229285,Battle Styles Elite Trainer Box [Rapid Strike Urshifu] (Blue),Battle Styles Elite Trainer Box Rapid Strike Urshifu Blue,https://tcgplayer-cdn.tcgplayer.com/product/229285_200w.jpg,3,2765,https://cpt.tcgcsv.com/KKR2,2021-03-19T04:03:23.62,1,"THE POKÉMON TCG: SWORD & SHIELD — BATTLE STYLES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield — Battle Styles booster packs
<br>• 65 card sleeves featuring Gigantamax Rapid Strike Urshifu 
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield — Battle Styles expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",97.0,110.0,150.0,84.38,,Normal,0820650808357,,,,,,,,,,
230191,Battle Styles Premium Checklane Blister [Tyranitar],Battle Styles Premium Checklane Blister Tyranitar,https://tcgplayer-cdn.tcgplayer.com/product/230191_200w.jpg,3,2765,https://cpt.tcgcsv.com/R5S2,2021-03-19T04:03:23.62,1,"Contains 1 Sword & Shield — Battle Styles booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",,,,,,,,,,,,,,,,,
230192,Battle Styles Premium Checklane Blister [Corviknight],Battle Styles Premium Checklane Blister Corviknight,https://tcgplayer-cdn.tcgplayer.com/product/230192_200w.jpg,3,2765,https://cpt.tcgcsv.com/S5S2,2021-03-19T04:03:23.62,1,"Contains 1 Sword & Shield — Battle Styles booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",,,,,,,,,,,,,,,,,
233335,Battle Styles Booster Box Case,Battle Styles Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/233335_200w.jpg,3,2765,https://cpt.tcgcsv.com/KlT2,2021-03-19T04:03:23.62,1,Each sealed booster box case contains 6 booster boxes of 36 booster packs. <em>(each pack contains 10 random cards)</em>,1679.9,1800.11,3000.0,1683.76,,Normal,0820650808180,,,,,,,,,,
235284,Battle Styles Elite Trainer Box Case,Battle Styles Elite Trainer Box Case,https://tcgplayer-cdn.tcgplayer.com/product/235284_200w.jpg,3,2765,https://cpt.tcgcsv.com/J7V2,2021-03-26T13:07:53.847,1,"Each sealed Elite Trainer Box case contains 10 Elite Trainer Boxes
<br><em>(5 of each variety.)</em>",1098.95,1114.46,1129.97,984.97,,Normal,0820650828355,,,,,,,,,,
236457,Battle Styles Premium Checklane Blister [Golisopod],Battle Styles Premium Checklane Blister Golisopod,https://tcgplayer-cdn.tcgplayer.com/product/236457_200w.jpg,3,2765,https://cpt.tcgcsv.com/9CV2,2021-04-09T12:16:23.963,1,"Contains 1 Sword & Shield — Battle Styles booster pack, a TCGO Code, Coin and 2 cards with an evolution line.",19.0,19.0,19.0,19.0,,Normal,,,,,,,,,,,
236458,Battle Styles Premium Checklane Blister [Toxtricity],Battle Styles Premium Checklane Blister Toxtricity,https://tcgplayer-cdn.tcgplayer.com/product/236458_200w.jpg,3,2765,https://cpt.tcgcsv.com/bCV2,2021-04-09T12:16:47.737,1,"Contains 1 Sword & Shield — Battle Styles booster pack, a TCGO Code, Coin and 2 cards with an evolution line.",17.0,17.0,17.0,19.5,,Normal,,,,,,,,,,,
244414,Battle Styles Elite Trainer Box [Set of 2],Battle Styles Elite Trainer Box Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/244414_200w.jpg,3,2765,https://cpt.tcgcsv.com/jNZ2,2021-07-16T14:22:38.04,1,"THE POKÉMON TCG: SWORD & SHIELD — BATTLE STYLES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield — Battle Styles booster packs
<br>• 65 card sleeves featuring Gigantamax Single Strike Urshifu or Rapid Strike Urshifu
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield — Battle Styles expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",174.99,187.49,500.0,181.2,,Normal,0820650808357,,,,,,,,,,
251879,Battle Styles Sleeved Booster Pack,Battle Styles Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/251879_200w.jpg,3,2765,https://cpt.tcgcsv.com/CM03,2021-10-18T14:19:44.86,1,Each Sword & Shield—Battle Styles sleeved booster pack contains 10 random cards.,9.9,12.0,18.0,10.49,,Normal,0820650808197,,,,,,,,,,
265321,Battle Styles Booster Pack Art Bundle [Set of 4],Battle Styles Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/265321_200w.jpg,3,2765,https://cpt.tcgcsv.com/r883,2022-03-11T20:28:52.727,1,"Collect each of the 4 unique art packs for Battle Styles.
<br>Each Battle Styles booster pack contains 10 random cards.",29.9,32.99,39.95,30.46,,Normal,,,,,,,,,,,
487794,Battle Styles Sleeved Booster Pack Art Bundle [Set of 4],Battle Styles Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/487794_200w.jpg,3,2765,https://cpt.tcgcsv.com/V7W5,2023-03-13T16:42:36.103,1,"Collect each of the 4 unique art packs for Battle Styles.
<br>Each Battle Styles booster pack contains 10 random cards.",39.79,44.0,54.97,35.5,,Normal,,,,,,,,,,,
680964,Battle Styles Sleeved Booster Case,Battle Styles Sleeved Booster Case,https://tcgplayer-cdn.tcgplayer.com/product/680964_200w.jpg,3,2765,https://cpt.tcgcsv.com/jps7,2026-02-26T20:29:31.447,0,"Choose Your Battle Style Wisely!
Be a titan full of power, or strike with impossible speed—it all depends on your martial mastery! Channel the power of Pokémon V like Mimikyu V, Tyranitar V, Empoleon V, and more. You’ll also find a handful of impressive Pokémon VMAX, including Gigantamax Urshifu in both Single Strike and Rapid Strike styles! Unleash epic smashups with the Sword & Shield—Battle Styles expansion!<br><br>

<strong> Case contains 144 Sleeves Booster Packs</strong><br>

Each Sword & Shield—Battle Styles sleeved booster pack contains 10 random cards.",,,,,,,,,,,,,,,,,
