productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
247646,Fusion Strike Booster Pack,Fusion Strike Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/247646_200w.jpg,3,2906,https://cpt.tcgcsv.com/X3_2,2022-02-25T15:32:27.083,1,Each Fusion Strike booster pack contains 10 random cards.,820650829161,12.99,15.99,54.32,14.73,,Normal,,,,,,,,,,
247651,Fusion Strike Booster Pack Art Bundle [Set of 4],Fusion Strike Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/247651_200w.jpg,3,2906,https://cpt.tcgcsv.com/25_2,2021-11-12T05:03:11.043,1,"Collect each of the 4 unique art packs for Fusion Strike.
<br>Each Fusion Strike booster pack contains 10 random cards.",,55.88,64.0,99.95,54.89,,Normal,,,,,,,,,,
247654,Fusion Strike Booster Box,Fusion Strike Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/247654_200w.jpg,3,2906,https://cpt.tcgcsv.com/65_2,2021-11-16T21:04:00.527,1,Each Sword & Shield—Fusion Strike booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,820650829161,980.0,1200.0,3000.0,999.04,,Normal,,,,,,,,,,
247655,Fusion Strike Booster Box Case,Fusion Strike Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/247655_200w.jpg,3,2906,https://cpt.tcgcsv.com/75_2,2021-11-16T21:04:21.883,1,Each sealed booster box case contains 6 booster boxes of 36 booster packs. <em>(Each pack contains 10 random cards)</em>,0820650829161,7200.0,9377.45,91000.0,5932.48,,Normal,,,,,,,,,,
247656,Fusion Strike Sleeved Booster Pack,Fusion Strike Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/247656_200w.jpg,3,2906,https://cpt.tcgcsv.com/85_2,2021-11-17T18:45:32.57,1,Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.,820650829178,19.0,25.0,45.0,20.11,,Normal,,,,,,,,,,
247657,Fusion Strike Sleeved Booster Pack Art Bundle [Set of 4],Fusion Strike Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/247657_200w.jpg,3,2906,https://cpt.tcgcsv.com/95_2,2025-08-04T14:14:13.903,1,"Collect each of the 4 unique art packs for Fusion Strike.
<br>Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.",,74.95,79.87,139.99,76.44,,Normal,,,,,,,,,,
247658,Fusion Strike Sleeved Booster Pack Bundle [Set of 8],Fusion Strike Sleeved Booster Pack Bundle Set of 8,https://tcgplayer-cdn.tcgplayer.com/product/247658_200w.jpg,3,2906,https://cpt.tcgcsv.com/b5_2,2022-03-09T20:08:25.55,1,"Contains 8 Sleeved Booster Packs of Sword & Shield—Fusion Strike.
<br>Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.",,186.01,214.99,239.95,186.72,,Normal,,,,,,,,,,
247659,Fusion Strike Build & Battle Box,Fusion Strike Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/247659_200w.jpg,3,2906,https://cpt.tcgcsv.com/c5_2,2021-11-16T21:16:18.723,1,"EACH POKÉMON TCG: SWORD & SHIELD—FUSION STRIKE BUILD & BATTLE BOX INCLUDES:
<br>• A 23-card Evolution pack featuring key cards from current and prior sets, including 1 of 4 alternate-art promo cards
<br>• 4 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 1 deck-building tip sheet",0820650819308,89.98,108.09,159.95,75.95,,Normal,,,,,,,,,,
247660,Fusion Strike Build & Battle Box Display,Fusion Strike Build and Battle Box Display,https://tcgplayer-cdn.tcgplayer.com/product/247660_200w.jpg,3,2906,https://cpt.tcgcsv.com/d5_2,2023-05-03T19:16:32.373,1,Each display contains 10 Fusion Strike Build & Battle Boxes.,0820650829307,985.0,1126.48,1489.95,801.33,,Normal,,,,,,,,,,
247666,Fusion Strike Build & Battle Stadium,Fusion Strike Build and Battle Stadium,https://tcgplayer-cdn.tcgplayer.com/product/247666_200w.jpg,3,2906,https://cpt.tcgcsv.com/l5_2,2025-08-12T12:49:45.947,2,"Enter the Pokémon Stadium—Ready for Battle!<br>
Build two decks from a powerful set of components—and then play right away, with this two-player Build & Battle Stadium set! Each Pokémon Trading Card Game: Sword & Shield—Fusion Strike Build & Battle Stadium contains a massive set of cards, including two Build & Battle Boxes, one for you and one for a friend. Open the Build & Battle Boxes to start building. Each one holds four booster packs and a 23-card Evolution pack, which includes an exclusive foil card. The selection of cards gives you a strong foundation for building a new deck to play against your friends. Get ready to face your opponents with the Pokémon TCG: Sword & Shield—Fusion Strike Build & Battle Stadium!
<br><br>
The Build & Battle Stadium includes everything you need for two players to prepare and battle. Inside this box, you’ll find:
<br>
• 2 individual Build & Battle Boxes, each containing a 23-card Evolution pack to build your decks<br>
• Evolution packs contain 1 of 4 unique foil promo cards<br>
• 4 additional Pokémon TCG: Sword & Shield—Fusion Strike booster packs, so you get 12 in all<br>
• 121 Pokémon TCG Energy cards<br>
• 6 damage-counter dice<br>
• 1 competition-legal coin-flip die<br>
• 2 acrylic condition markers<br>
• A collector’s box to hold everything<br>",0820650809958,242.0,349.98,599.99,225.88,,Normal,,,,,,,,,,
247667,Fusion Strike 3 Pack Blister [Eevee],Fusion Strike 3 Pack Blister Eevee,https://tcgplayer-cdn.tcgplayer.com/product/247667_200w.jpg,3,2906,https://cpt.tcgcsv.com/m5_2,2021-11-16T21:01:26.657,1,"Each 3 Pack blister comes with 3 Fusion Strike booster packs, 1 coin, and a promotional card of Eevee.",0820650809200,63.0,71.31,149.99,67.32,,Normal,,,,,,,,,,
247668,Fusion Strike 3 Pack Blister [Espeon],Fusion Strike 3 Pack Blister Espeon,https://tcgplayer-cdn.tcgplayer.com/product/247668_200w.jpg,3,2906,https://cpt.tcgcsv.com/n5_2,2021-11-16T21:01:42.463,1,"Each 3 Pack blister comes with 3 Fusion Strike booster packs, 1 coin, and a promotional card of Espeon.",0820650829208,65.0,90.0,125.0,56.63,,Normal,,,,,,,,,,
247669,Fusion Strike Single Pack Blister [Tepig],Fusion Strike Single Pack Blister Tepig,https://tcgplayer-cdn.tcgplayer.com/product/247669_200w.jpg,3,2906,https://cpt.tcgcsv.com/p5_2,2021-11-17T18:46:35,1,"Each blister comes with 1 Fusion Strike booster pack, a coin, and a promotional card of Tepig.",795154635757,24.99,30.0,59.99,27.8,,Normal,,,,,,,,,,
247670,Fusion Strike Single Pack Blister [Blitzle],Fusion Strike Single Pack Blister Blitzle,https://tcgplayer-cdn.tcgplayer.com/product/247670_200w.jpg,3,2906,https://cpt.tcgcsv.com/q5_2,2021-11-17T18:47:35.793,1,"Each blister comes with 1 Fusion Strike booster pack, a coin, and a promotional card of Blitzle.",795154632015,23.49,30.98,59.99,27.85,,Normal,,,,,,,,,,
247671,Fusion Strike Elite Trainer Box,Fusion Strike Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/247671_200w.jpg,3,2906,https://cpt.tcgcsv.com/r5_2,2021-11-16T21:17:44.59,2,"<em><strong>(This product is not the Pokemon Center Exclusive)</em></strong>
<br><br>THE POKÉMON TCG: SWORD & SHIELD — FUSION STRIKE ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 65 card sleeves featuring Mew
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",0820650809330,306.98,349.98,555.0,274.4,,Normal,,,,,,,,,,
247673,Fusion Strike Pokemon Center Elite Trainer Box (Exclusive),Fusion Strike Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/247673_200w.jpg,3,2906,https://cpt.tcgcsv.com/t5_2,2024-06-25T21:06:07.92,2,"This Pokémon TCG: Sword & Shield—Fusion Strike Pokémon Center Elite Trainer Box can be found only at Pokémon Center and comes with exclusive accessories—an extra set of 65 card sleeves and a metallic coin—plus 10 booster packs (two more than in a standard Elite Trainer Box).
<br><br>• 10 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 65 card sleeves featuring Genesect
<br>• 65 card sleeves featuring Mew
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield—Fusion Strike expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 1 metallic coin featuring Mew
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",820650809941,390.0,500.0,999.99,391.7,,Normal,,,,,,,,,,
247675,Fusion Strike Premium Checklane Blister [Cinderace],Fusion Strike Premium Checklane Blister Cinderace,https://tcgplayer-cdn.tcgplayer.com/product/247675_200w.jpg,3,2906,https://cpt.tcgcsv.com/w5_2,2021-11-17T18:55:48.85,1,"Contains 1 Sword & Shield—Evolving Skies booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",,39.98,39.98,39.98,,,Normal,,,,,,,,,,
247676,Fusion Strike Premium Checklane Blister [Rillaboom],Fusion Strike Premium Checklane Blister Rillaboom,https://tcgplayer-cdn.tcgplayer.com/product/247676_200w.jpg,3,2906,https://cpt.tcgcsv.com/x5_2,2021-11-17T18:55:56.287,1,"Contains 1 Sword & Shield—Evolving Skies booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",,,,,,,,,,,,,,,,,
253454,Rapid Strike Urshifu VMAX Premium Collection,Rapid Strike Urshifu VMAX Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/253454_200w.jpg,3,2906,https://cpt.tcgcsv.com/6p23,2021-11-12T05:03:11.043,1,"Each Pokemon TCG: Rapid Strike Urshifu VMAX Premium Collection includes:
<br>• 1 foil promo card featuring Rapid Strike Urshifu V
<br>• 1 etched promo card featuring Rapid Strike Urshifu VMAX
<br>• 1 foil special Rapid Strike Energy card
<br>• 1 oversize card featuring Rapid Strike Urshifu VMAX
<br>• 8 Pokémon TCG booster packs
<br>• A code card for the Pokemon Trading Card Game Online",0820650829123,110.0,128.0,350.0,102.83,,Normal,,,,,,,,,,
253455,Single Strike Urshifu VMAX Premium Collection,Single Strike Urshifu VMAX Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/253455_200w.jpg,3,2906,https://cpt.tcgcsv.com/7p23,2021-11-12T05:03:11.043,1,"Each Pokemon TCG: Single Strike Urshifu VMAX Premium Collection includes:
<br>• 1 foil promo card featuring Single Strike Urshifu V
<br>• 1 etched promo card featuring Single Strike Urshifu VMAX
<br>• 1 foil special Single Strike Energy card
<br>• 1 oversize card featuring Single Strike Urshifu VMAX
<br>• 8 Pokémon TCG booster packs
<br>• A code card for the Pokemon Trading Card Game Online",0820650829123,90.0,100.0,350.0,87.99,,Normal,,,,,,,,,,
256271,Fusion Strike Elite Trainer Box Case,Fusion Strike Elite Trainer Box Case,https://tcgplayer-cdn.tcgplayer.com/product/256271_200w.jpg,3,2906,https://cpt.tcgcsv.com/rw33,2024-06-26T20:50:38.733,1,"<em>(This product is not the Pokemon Center Exclusive)</em>
<br><br>Each sealed Elite Trainer Box case contains 10 Elite Trainer Boxes",,3599.95,3599.95,3599.95,2667.48,,Normal,,,,,,,,,,
263545,Unova Two Pack Blister [Forces of Nature Trio],Unova Two Pack Blister Forces of Nature Trio,https://tcgplayer-cdn.tcgplayer.com/product/263545_200w.jpg,3,2906,https://cpt.tcgcsv.com/Wq73,2022-02-11T16:55:17.463,1,,,25.0,29.99,31.2,26.05,,Normal,,,,,,,,,,
283851,Urshifu VMAX Premium Collection [Set of 2],Urshifu VMAX Premium Collection Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/283851_200w.jpg,3,2906,https://cpt.tcgcsv.com/2zh3,2022-08-29T19:16:02.3,1,"Each Pokemon TCG: Single/Rapid Strike Urshifu VMAX Premium Collection includes:
• 1 foil promo card featuring Single Strike Urshifu V
• 1 etched promo card featuring Single Strike Urshifu VMAX
• 1 foil special Single Strike Energy card
• 1 oversize card featuring Single Strike Urshifu VMAX
• 8 Pokémon TCG booster packs
• A code card for the Pokemon Trading Card Game Online",,,,,,,,,,,,,,,,,
547703,Fusion Strike Sleeved Booster Case,Fusion Strike Sleeved Booster Case,https://tcgplayer-cdn.tcgplayer.com/product/547703_200w.jpg,3,2906,https://cpt.tcgcsv.com/56p6,2024-04-23T12:47:56.173,1,"<strong>Each case contains 144 Sleeved Booster packs</strong>
<br>
Each Sword & Shield—Fusion Strike sleeved booster pack contains 10 random cards.",820650829178,2969.69,3123.98,8499.0,,,Normal,,,,,,,,,,
557076,Fusion Strike Pokemon Center Elite Trainer Box Case (Exclusive),Fusion Strike Pokemon Center Elite Trainer Box Case Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/557076_200w.jpg,3,2906,https://cpt.tcgcsv.com/xRs6,2024-06-27T15:57:24.4,1,"<em>(This product is the Pokemon Center Exclusive)</em>
<br>Each Fusion Strike Pokemon Center Elite Trainer Box Case contains 4 boxes.
<br>
<br>
This Pokémon TCG: Sword & Shield—Fusion Strike Pokémon Center Elite Trainer Box can be found only at Pokémon Center and comes with exclusive accessories—an extra set of 65 card sleeves and a metallic coin—plus 10 booster packs (two more than in a standard Elite Trainer Box).
<br><br>• 10 Pokémon TCG: Sword & Shield—Fusion Strike booster packs
<br>• 65 card sleeves featuring Genesect
<br>• 65 card sleeves featuring Mew
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield—Fusion Strike expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 1 metallic coin featuring Mew
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",,1897.0,1899.97,5999.0,1875.0,,Normal,,,,,,,,,,
638064,Fusion Strike 3-Pack Blister Case,Fusion Strike 3 Pack Blister Case,https://tcgplayer-cdn.tcgplayer.com/product/638064_200w.jpg,3,2906,https://cpt.tcgcsv.com/jf77,2025-06-17T13:22:09.28,0,"Each Case of Fusion Strike 3-Pack Blister comes with the following contents.
<br>12 Fusion Strike 3 Pack Blister [Espeon]
<br>
12 Fusion Strike 3 Pack Blister [Eevee] 
<br><br>
Styles Combine in a New Strategy!
The road ahead reveals limitless potential as the new Fusion Strike style emerges to harness the unbound spirit of Pokémon and Trainers alike! Adaptable new Pokémon V like Genesect V, Hoopa V, and Mew VMAX are eager for battle, while Single Strike and Rapid Strike Pokémon loom large as Rillaboom VMAX, Cinderace VMAX, and Inteleon VMAX appear in their Gigantamax forms. Go with the flow and discover powerful new strategies in Pokémon TCG: Sword & Shield—Fusion Strike!<br><br>

Each Blister Contains: <br>
• 3 Sword & Shield—Fusion Strike booster packs, each containing 10 cards and 1 basic Energy<br>
• A foil promo card featuring Espeon<br>
• A metallic Pokémon coin<br>
• A code card for the Pokémon Trading Card Game Online",,,,,,,,,,,,,,,,,
