productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
283388,Silver Tempest Booster Pack,Silver Tempest Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/283388_200w.jpg,3,3170,https://cpt.tcgcsv.com/Nmh3,2022-11-11T05:03:12.28,1,Each Silver Tempest booster pack contains 10 random cards.,9.0,11.29,266.0,10.64,,Normal,,,,,,,,,,,
283389,Silver Tempest Booster Box,Silver Tempest Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/283389_200w.jpg,3,3170,https://cpt.tcgcsv.com/Pmh3,2023-02-17T20:27:14.373,1,Each Sword & Shield—Silver Tempest booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,459.41,549.99,9999.99,472.36,,Normal,820650860911,,,,,,,,,,
283391,Silver Tempest Booster Box Case,Silver Tempest Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/283391_200w.jpg,3,3170,https://cpt.tcgcsv.com/Rmh3,2022-11-11T16:52:21.343,1,Each sealed booster box case contains 6 booster boxes of 36 booster packs. <em>(Each pack contains 10 random cards)</em>,3320.0,3830.0,4884.0,3127.98,,Normal,820650870910,,,,,,,,,,
283393,Silver Tempest 3 Pack Blister [Togetic],Silver Tempest 3 Pack Blister Togetic,https://tcgplayer-cdn.tcgplayer.com/product/283393_200w.jpg,3,3170,https://cpt.tcgcsv.com/Tmh3,2022-11-11T16:53:46.393,1,"Each 3 Pack blister comes with 3 Silver Tempest booster packs, 1 coin, and a promotional card of Togetic.",37.5,44.75,45.0,41.8,,Normal,820650850967,,,,,,,,,,
283394,Silver Tempest 3 Pack Blister [Manaphy],Silver Tempest 3 Pack Blister Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/283394_200w.jpg,3,3170,https://cpt.tcgcsv.com/Vmh3,2022-11-11T16:53:36.667,1,"Each 3 Pack blister comes with 3 Silver Tempest booster packs, 1 coin, and a promotional card of Manaphy.",37.5,42.85,43.99,38.23,,Normal,820650850967,,,,,,,,,,
283396,Silver Tempest Booster Bundle,Silver Tempest Booster Bundle,https://tcgplayer-cdn.tcgplayer.com/product/283396_200w.jpg,3,3170,https://cpt.tcgcsv.com/Xmh3,2024-07-22T15:43:40.85,1,"Includes six booster packs from Sword & Shield—Silver Tempest
<br>Each Silver Tempest booster pack contains 10 cards.",94.49,105.0,140.0,79.98,,Normal,820650851544,,,,,,,,,,
283397,Silver Tempest Sleeved Booster Pack,Silver Tempest Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/283397_200w.jpg,3,3170,https://cpt.tcgcsv.com/Zmh3,2022-11-11T17:00:25.61,1,Each Silver Tempest sleeved booster pack contains 10 random cards.,10.99,15.4,44.99,12.86,,Normal,820650850929,,,,,,,,,,
283400,Silver Tempest Sleeved Booster Pack Art Bundle [Set of 4],Silver Tempest Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/283400_200w.jpg,3,3170,https://cpt.tcgcsv.com/0nh3,2022-11-11T17:00:34.713,1,"Collect each of the 4 unique art packs for Silver Tempest.
<br>Each Silver Tempest booster pack contains 10 random cards.",58.88,63.78,71.95,49.05,,Normal,820650850929,,,,,,,,,,
283401,Silver Tempest Elite Trainer Box,Silver Tempest Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/283401_200w.jpg,3,3170,https://cpt.tcgcsv.com/2nh3,2022-11-11T16:57:34.327,1,"The Pokémon TCG: Sword & Shield—Silver Tempest Elite Trainer Box includes:
<br>• 8 Pokémon TCG: Sword & Shield—Silver Tempest booster packs
<br>• 65 card sleeves featuring Alolan Vulpix
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield—Silver Tempest expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic VSTAR marker
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized",110.0,134.95,300.0,123.46,,Normal,820650851070,,,,,,,,,,
284930,Fall 2022 Collector Chest,Fall 2022 Collector Chest,https://tcgplayer-cdn.tcgplayer.com/product/284930_200w.jpg,3,3170,https://cpt.tcgcsv.com/D-h3,2022-11-18T05:04:16.427,1,"A Treasure Chest Packed with Pokémon!
<br>
This sturdy metal case contains more than a dozen special Pokémon goodies, including many not found anywhere else.
<br>
The Pokémon Trading Card Game: Collector Chest includes:
<br>
• 5 Pokémon TCG booster packs
<br>
• 3 foil cards featuring Hisuian Voltorb, Hisuian Growlithe, and Hisuian Sneasel!
<br>
• A cool Pokémon coin
<br>
• 4 colorful sticker sheets
<br>
• A mini portfolio to store your favorite cards
<br>
• A Pokémon notebook
<br>
• A code card for Pokémon TCG Live",58.01,69.0,79.43,63.35,,Normal,0820650871153,,,,,,,,,,
285042,Silver Tempest Build & Battle Stadium,Silver Tempest Build and Battle Stadium,https://tcgplayer-cdn.tcgplayer.com/product/285042_200w.jpg,3,3170,https://cpt.tcgcsv.com/S0j3,2024-12-23T19:52:55.287,1,"The Build & Battle Stadium includes everything two players need to battle.
Inside this box, you’ll find:
<br>
• 2 individual Build & Battle Boxes, each containing a ready-to-play 40-card deck
<br>
• Each deck includes 1 of 4 foil promo cards
<br>
• 4 additional Sword & Shield—Silver Tempest booster packs, so you get 12 in all
<br>
• 121 basic Energy cards
<br>
• 6 damage-counter dice
<br>
• 1 competition-legal coin-flip die
<br>
• 2 acrylic condition markers
<br>
• A collector’s box to hold everything",112.73,133.5,200.0,112.73,,Normal,0820650851087,,,,,,,,,,
285280,Fall 2022 Collector Chest Case,Fall 2022 Collector Chest Case,https://tcgplayer-cdn.tcgplayer.com/product/285280_200w.jpg,3,3170,https://cpt.tcgcsv.com/D7j3,2022-11-18T05:04:16.427,1,"Each Case contains 9 Fall 2022 Collector Chests
A Treasure Chest Packed with Pokémon!
<br>
This sturdy metal case contains more than a dozen special Pokémon goodies, including many not found anywhere else.
<br>
The Pokémon Trading Card Game: Collector Chest includes:
<br>
• 5 Pokémon TCG booster packs
<br>
• 3 foil cards featuring Hisuian Voltorb, Hisuian Growlithe, and Hisuian Sneasel!
<br>
• A cool Pokémon coin
<br>
• 4 colorful sticker sheets
<br>
• A mini portfolio to store your favorite cards
<br>
• A Pokémon notebook
<br>
• A code card for Pokémon TCG Live",,,,,,,,,,,,,,,,,
285775,Silver Tempest Build & Battle Box Display,Silver Tempest Build and Battle Box Display,https://tcgplayer-cdn.tcgplayer.com/product/285775_200w.jpg,3,3170,https://cpt.tcgcsv.com/wkj3,2023-05-03T19:16:55.333,1,Each display contains 10 Silver Tempest Build & Battle Boxes.,490.0,497.97,799.95,455.14,,Normal,820650861055,,,,,,,,,,
285776,Silver Tempest Build & Battle Box,Silver Tempest Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/285776_200w.jpg,3,3170,https://cpt.tcgcsv.com/xkj3,2022-11-11T16:55:38.01,1,"EACH POKÉMON TCG: SWORD & SHIELD—SILVER TEMPEST BUILD & BATTLE BOX INCLUDES:
<br>• 40-card ready-to-play decks
<br>• 1 of 4 promo cards
<br>• 4 Pokémon TCG: Sword & Shield—Silver Tempest booster packs
<br>• 1 deck-building tip sheet",43.97,50.0,94.87,45.81,,Normal,820650861055,,,,,,,,,,
285777,Silver Tempest Elite Trainer Box Case,Silver Tempest Elite Trainer Box Case,https://tcgplayer-cdn.tcgplayer.com/product/285777_200w.jpg,3,3170,https://cpt.tcgcsv.com/zkj3,2022-11-11T16:57:43.527,1,Each sealed Elite Trainer Box case contains 10 Elite Trainer Boxes,1595.0,2500.0,25000.0,1190.71,,Normal,820650871078,,,,,,,,,,
285778,Silver Tempest Booster Pack Art Bundle [Set of 4],Silver Tempest Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/285778_200w.jpg,3,3170,https://cpt.tcgcsv.com/Bkj3,2022-11-11T16:55:18.41,1,"Collect each of the 4 unique art packs for Silver Tempest.
<br>Each Silver Tempest booster pack contains 10 random cards.",44.99,49.99,99.99,42.53,,Normal,820650850929,,,,,,,,,,
285779,Silver Tempest 3 Pack Blister [Set of 2],Silver Tempest 3 Pack Blister Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/285779_200w.jpg,3,3170,https://cpt.tcgcsv.com/Ckj3,2022-11-11T16:53:42.593,1,"Collect each of the Silver Tempest 3-Pack Blisters.
<br><br>Each 3 Pack blister comes with 3 Silver Tempest booster packs, 1 coin, and a promotional card of Togetic or Manaphy.",89.99,89.99,89.99,67.5,,Normal,820650850967,,,,,,,,,,
285780,Silver Tempest Single Pack Blister [Basculin],Silver Tempest Single Pack Blister Basculin,https://tcgplayer-cdn.tcgplayer.com/product/285780_200w.jpg,3,3170,https://cpt.tcgcsv.com/Dkj3,2022-11-11T16:59:41.973,1,"Each blister comes with 1 Silver Tempest booster pack, a coin, and a promotional card of Basculin.",9.98,15.94,21.99,9.98,,Normal,820650806568,,,,,,,,,,
285781,Silver Tempest Single Pack Blister [Cranidos],Silver Tempest Single Pack Blister Cranidos,https://tcgplayer-cdn.tcgplayer.com/product/285781_200w.jpg,3,3170,https://cpt.tcgcsv.com/Fkj3,2022-11-11T16:59:49.717,1,"Each blister comes with 1 Silver Tempest booster pack, a coin, and a promotional card of Cranidos.",11.37,15.98,21.99,11.64,,Normal,0820650806568,,,,,,,,,,
285782,Silver Tempest Single Pack Blister [Set of 2],Silver Tempest Single Pack Blister Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/285782_200w.jpg,3,3170,https://cpt.tcgcsv.com/Gkj3,2022-11-11T05:03:12.28,1,"Collect each of the Silver Tempest Single Pack Blisters.
<br>Each blister comes with 1 Silver Tempest booster pack, a coin, and a promotional card of Basculin or Cranidos.",48.94,48.95,48.99,21.0,,Normal,,,,,,,,,,,
285783,Silver Tempest Premium Checklane Blister [Magnezone],Silver Tempest Premium Checklane Blister Magnezone,https://tcgplayer-cdn.tcgplayer.com/product/285783_200w.jpg,3,3170,https://cpt.tcgcsv.com/Hkj3,2022-11-11T16:59:38.56,1,"Contains 1 Sword & Shield — Silver Tempest booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",25.0,25.0,25.0,17.33,,Normal,,,,,,,,,,,
285784,Silver Tempest Premium Checklane Blister [Gallade],Silver Tempest Premium Checklane Blister Gallade,https://tcgplayer-cdn.tcgplayer.com/product/285784_200w.jpg,3,3170,https://cpt.tcgcsv.com/Jkj3,2022-11-11T16:59:34.24,1,"Contains 1 Sword & Shield — Silver Tempest booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",22.99,36.5,50.0,23.49,,Normal,,,,,,,,,,,
285860,Silver Tempest Pokemon Center Elite Trainer Box (Exclusive),Silver Tempest Pokemon Center Elite Trainer Box Exclusive,https://tcgplayer-cdn.tcgplayer.com/product/285860_200w.jpg,3,3170,https://cpt.tcgcsv.com/dmj3,2022-11-11T05:03:12.28,1,"This Pokémon TCG: Sword & Shield—Silver Tempest Pokémon Center Elite Trainer Box can be found only at Pokémon Center and comes with exclusive accessories—an extra set of card sleeves and a metallic coin—plus 10 booster packs (two more than in a standard Elite Trainer Box).
<br>
•10 Pokémon TCG: Sword & Shield—Silver Tempest booster packs
<br>
—Each booster pack contains 10 cards and either 1 basic Energy or 1 VSTAR marker. Cards vary by 
pack.
<br>
•65 card sleeves featuring Alolan Vulpix
<br>
•65 card sleeves featuring Lugia
<br>
•45 Pokémon TCG Energy cards
<br>
•A player’s guide to the Sword & Shield—Silver Tempest expansion
<br>
•6 damage-counter dice
<br>
•1 competition-legal coin-flip die
<br>
•1 metallic Pokémon coin featuring Alolan Vulpix
<br>
•2 acrylic condition markers
<br>
•1 acrylic VSTAR marker
<br>
•A collector’s box to hold everything, with 4 dividers to keep it organized
<br>
•A code card for Pokémon Trading Card Game Live",345.0,414.85,600.0,273.73,,Normal,,,,,,,,,,,
454484,Silver Tempest Sleeved Booster Pack Bundle [Set of 8],Silver Tempest Sleeved Booster Pack Bundle Set of 8,https://tcgplayer-cdn.tcgplayer.com/product/454484_200w.jpg,3,3170,https://cpt.tcgcsv.com/JPF5,2022-11-16T21:16:07.34,1,"Contains 8 Sleeved Booster packs for Silver Tempest.
<br>Each Silver Tempest booster pack contains 10 random cards.",119.9,126.89,143.95,103.93,,Normal,,,,,,,,,,,
486325,Silver Tempest Premium Checklane Blister [Hisuian Sneasler],Silver Tempest Premium Checklane Blister Hisuian Sneasler,https://tcgplayer-cdn.tcgplayer.com/product/486325_200w.jpg,3,3170,https://cpt.tcgcsv.com/wxV5,2023-03-03T16:43:00.44,0,"Contains 1 Sword & Shield — Silver Tempest booster pack, a TCGO Code, Coin and 2 cards with an evolution line.",13.38,13.38,13.38,13.58,,Normal,,,,,,,,,,,
