productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
111278,XY BREAKpoint Booster Box,XY BREAKpoint Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/111278_200w.jpg,3,1701,https://cpt.tcgcsv.com/BwV,2016-02-04T23:22:34.927,1,9499.99,9499.99,9499.99,,,Normal,,,,,,,,,,,
111279,XY BREAKpoint Booster Pack,XY BREAKpoint Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/111279_200w.jpg,3,1701,https://cpt.tcgcsv.com/CwV,2016-01-18T16:45:29.383,1,38.3,45.0,59.99,37.34,,Normal,,,,,,,,,,,
111280,XY BREAKpoint Elite Trainer Box,XY BREAKpoint Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/111280_200w.jpg,3,1701,https://cpt.tcgcsv.com/DwV,2016-02-04T23:22:39.24,1,899.99,1197.5,3999.99,724.76,,Normal,,,,,,,,,,,
117268,BREAKpoint Collector Pin 3 Pack Blister [Shiny Mega Gyarados],BREAKpoint Collector Pin 3 Pack Blister Shiny Mega Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/117268_200w.jpg,3,1701,https://cpt.tcgcsv.com/nWX,2018-10-10T15:24:53.887,1,,,,,,,,,,,,,,,,,"Each blister comes with 3 XY—BREAKpoint booster packs, a coin, and a collectible pin of shiny Mega Gyarados."
117269,BREAKpoint Collector Pin 3 Pack Blister [Mega Scizor],BREAKpoint Collector Pin 3 Pack Blister Mega Scizor,https://tcgplayer-cdn.tcgplayer.com/product/117269_200w.jpg,3,1701,https://cpt.tcgcsv.com/pWX,2018-10-10T15:24:37.283,1,,,,,,,,,,,,,,,,,"Each blister comes with 3 XY—BREAKpoint booster packs, a coin, and a collectible pin of Mega Scizor."
117270,BREAKpoint Single Pack Blister [Hydreigon],BREAKpoint Single Pack Blister Hydreigon,https://tcgplayer-cdn.tcgplayer.com/product/117270_200w.jpg,3,1701,https://cpt.tcgcsv.com/qWX,2018-10-10T15:28:33.547,1,,,,,,,,,,,,,,,,,"Each blister comes with 1 XY—BREAKpoint booster packs, a coin, and a promotional card of Hydreigon."
117271,BREAKpoint Single Pack Blister [Pikachu],BREAKpoint Single Pack Blister Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/117271_200w.jpg,3,1701,https://cpt.tcgcsv.com/rWX,2018-10-10T15:28:47.873,1,399.99,429.69,520.0,,,Normal,,,,,,,,,,,"Each blister comes with 1 XY—BREAKpoint booster packs, a coin, and a promotional card of Pikachu."
117272,BREAKpoint 3 Pack Blister [Pyroar],BREAKpoint 3 Pack Blister Pyroar,https://tcgplayer-cdn.tcgplayer.com/product/117272_200w.jpg,3,1701,https://cpt.tcgcsv.com/sWX,2018-10-10T15:29:07.473,1,,,,,,,,,,,,,,,,,"Each blister comes with 3 XY—BREAKpoint booster packs, a coin, and a promotional card of Pyroar."
117273,BREAKpoint 3 Pack Blister [Umbreon],BREAKpoint 3 Pack Blister Umbreon,https://tcgplayer-cdn.tcgplayer.com/product/117273_200w.jpg,3,1701,https://cpt.tcgcsv.com/tWX,2018-10-10T15:33:11.73,1,,,,,,,,,,,,,,,,,"Each blister comes with 3 XY—BREAKpoint booster packs, a coin, and a promotional card of Umbreon."
117279,Shiny Mega Gyarados Collection,Shiny Mega Gyarados Collection,https://tcgplayer-cdn.tcgplayer.com/product/117279_200w.jpg,3,1701,https://cpt.tcgcsv.com/CWX,2016-04-07T17:45:07.713,1,,,,,,,,,,,,,,,,,
276597,BREAKpoint Sleeved Booster Pack Art Bundle [Set of 4],BREAKpoint Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/276597_200w.jpg,3,1701,https://cpt.tcgcsv.com/ZFd3,2022-06-20T19:41:00.927,1,244.88,244.88,244.88,166.51,,Normal,,,,,,,,,,,"Collect each of the 4 unique art packs for BREAKpoint.
<br>Each BREAKpoint sleeved booster pack contains 10 random cards."
531444,BREAKpoint Booster Pack Art Bundle [Set of 4],BREAKpoint Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/531444_200w.jpg,3,1701,https://cpt.tcgcsv.com/VBg6,2024-02-06T13:51:07.257,1,169.0,169.5,170.0,148.23,,Normal,,,,,,,,,,,"Collect each of the 4 unique art packs for BREAKpoint.
<br>Each BREAKpoint booster pack contains 10 random cards."
542096,XY - BREAKpoint Sleeved Booster Pack,XY BREAKpoint Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/542096_200w.jpg,3,1701,https://cpt.tcgcsv.com/XRl6,2024-03-04T15:19:43.273,1,46.81,51.98,100.0,45.09,,Normal,,,,,,,,,,,"A Rift Torn Betwenn Worlds!

The hour grown desperate, and two stand at the brink! The Pokémn TCG: XY-BREAKpoint expansion reveals the growing rift between the twin world, first discovered by Shiny Gyrados-EX. As the rift tears through the skies, more Pokémon are drawn into the struggle, including Greninja BREAK, luxray BREAK, and Mega Scizor-EX! Can they mend the rift and save both worlds from collision chaos?

Each XY BREAKpoint Sleeved Booster Pack contains 10 random cards.

Cards vary by pack. Booster packs may vary by product."
